Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
O95487;O95487-3;O95487-2,Protein transport protein Sec24B,SEC24B,0.806,0.109,0.295,0.000,
P60228,Eukaryotic translation initiation factor 3 subunit E,EIF3E,0.767,0.108,-0.113,0.000,
Q96HC4;Q96HC4-4;Q96HC4-7,PDZ and LIM domain protein 5,PDLIM5,0.820,0.107,0.866,0.000,
Q969Z0;Q969Z0-2,Protein TBRG4,TBRG4,0.914,0.105,-0.880,0.000,
P30084,"Enoyl-CoA hydratase, mitochondrial",ECHS1,0.985,0.104,-0.878,0.000,
O95881,Thioredoxin domain-containing protein 12,TXNDC12,0.913,0.104,0.704,0.000,
Q8N8S7;Q8N8S7-2;Q8N8S7-3,Protein enabled homolog,ENAH,0.953,0.103,-0.227,0.000,
O00186,Syntaxin-binding protein 3,STXBP3,0.825,0.102,-0.583,0.000,
Q15437,Protein transport protein Sec23B,SEC23B,0.940,0.098,-0.346,0.000,
O00411,"DNA-directed RNA polymerase, mitochondrial",POLRMT,0.948,0.097,-0.618,0.000,
Q02241,Kinesin-like protein KIF23,KIF23,0.760,0.097,-0.931,0.000,
O75718,Cartilage-associated protein,CRTAP,0.824,0.097,-0.169,0.000,
A2RRP1;A2RRP1-2,Neuroblastoma-amplified sequence,NBAS,0.766,0.097,-0.338,0.000,
Q6IAA8,Ragulator complex protein LAMTOR1,LAMTOR1,0.833,0.096,-0.342,0.000,
P08240;P08240-2,Signal recognition particle receptor subunit alpha,SRPR,0.882,0.096,-0.004,0.000,
P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB,0.780,0.095,-0.512,0.000,
P32119,Peroxiredoxin-2,PRDX2,0.783,0.095,-0.305,0.000,
O14980,Exportin-1,XPO1,0.752,0.094,-0.744,0.000,
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,0.979,0.093,-0.815,0.000,
O94925-3,"Glutaminase kidney isoform, mitochondrial",GLS,0.994,0.092,0.972,0.000,
P62879;P62879-2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,0.774,0.092,-0.481,0.000,
Q15818,Neuronal pentraxin-1,NPTX1,0.846,0.091,-0.419,0.000,
P54136;P54136-2,"Arginine--tRNA ligase, cytoplasmic",RARS,0.807,0.091,0.671,0.000,
Q9Y3D6,Mitochondrial fission 1 protein,FIS1,0.975,0.090,-0.921,0.000,
P28340,DNA polymerase delta catalytic subunit,POLD1,0.806,0.089,0.315,0.000,
P16989;P16989-3,Y-box-binding protein 3,YBX3,0.777,0.089,-0.381,0.000,
Q9NSE4,"Isoleucine--tRNA ligase, mitochondrial",IARS2,0.981,0.087,-0.973,0.000,
Q10713;Q10713-2,Mitochondrial-processing peptidase subunit alpha,PMPCA,0.985,0.087,-0.473,0.000,
P23368;P23368-2,"NAD-dependent malic enzyme, mitochondrial",ME2,0.916,0.087,-0.924,0.000,
Q13405,"39S ribosomal protein L49, mitochondrial",MRPL49,0.978,0.087,-0.962,0.000,
P28838;P28838-2,Cytosol aminopeptidase,LAP3,0.820,0.083,0.211,0.000,
Q96IZ0,PRKC apoptosis WT1 regulator protein,PAWR,0.838,0.082,-0.951,0.000,
O75369-8;O75369;O75369-2;O75369-9;O75369-6;O75369-3;O75369-7;O75369-5;O75369-4,Filamin-B,FLNB,0.901,0.081,0.390,0.000,
Q92616,Translational activator GCN1,GCN1L1,0.856,0.081,-0.670,0.000,
Q9Y2Z4,"Tyrosine--tRNA ligase, mitochondrial",YARS2,0.919,0.080,-0.893,0.000,
P60866;P60866-2,40S ribosomal protein S20,RPS20,0.946,0.080,0.314,0.000,
P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2,Plasma membrane calcium-transporting ATPase 1,ATP2B1,0.923,0.080,-0.440,0.000,
Q96D15,Reticulocalbin-3,RCN3,0.891,0.078,-0.219,0.000,
P14735,Insulin-degrading enzyme,IDE,0.871,0.078,-0.832,0.000,
Q9H7E9;Q9H7E9-2,UPF0488 protein C8orf33,C8orf33,0.910,0.078,-0.630,0.000,
Q9Y679-2;Q9Y679;Q9Y679-3,Ancient ubiquitous protein 1,AUP1,0.898,0.077,0.277,0.000,
P52292,Importin subunit alpha-1,KPNA2,0.895,0.075,-0.474,0.000,
P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",HIBADH,0.767,0.074,-0.136,0.000,
P48735;P48735-2,"Isocitrate dehydrogenase [NADP], mitochondrial",IDH2,0.985,0.072,-0.944,0.000,
P08195;P08195-4,4F2 cell-surface antigen heavy chain,SLC3A2,0.753,0.072,0.181,0.000,
Q93009;Q93009-3,Ubiquitin carboxyl-terminal hydrolase 7,USP7,0.762,0.072,0.019,0.000,
Q9NYP7;Q9NYP7-2,Elongation of very long chain fatty acids protein 5,ELOVL5,0.818,0.070,-0.318,0.000,
Q9H0H5,Rac GTPase-activating protein 1,RACGAP1,0.979,0.070,-0.774,0.000,
Q7KZF4,Staphylococcal nuclease domain-containing protein 1,SND1,0.973,0.070,-0.571,0.000,
Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",PNPT1,0.990,0.068,-0.910,0.000,
Q9Y450;Q9Y450-4,HBS1-like protein,HBS1L,0.811,0.068,-0.228,0.000,
P41247;P41247-2,Patatin-like phospholipase domain-containing protein 4,PNPLA4,0.836,0.067,-0.635,0.000,
Q5VT66;Q5VT66-2;Q5VT66-3,Mitochondrial amidoxime-reducing component 1,36951,0.896,0.067,-0.347,0.000,
Q9BYD2,"39S ribosomal protein L9, mitochondrial",MRPL9,0.780,0.067,-0.925,0.000,
Q9HCN8,Stromal cell-derived factor 2-like protein 1,SDF2L1,0.884,0.066,0.487,0.000,
A3KMH1;A3KMH1-3;A3KMH1-2,von Willebrand factor A domain-containing protein 8,VWA8,0.947,0.066,-0.917,0.000,
P20340-2;P20340-4,Ras-related protein Rab-6A,RAB6A,0.878,0.065,-0.602,0.000,
P40939,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",HADHA,0.910,0.065,-0.666,0.000,
P31040;P31040-2;P31040-3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,0.995,0.064,-0.992,0.000,
Q9Y697;Q9Y697-2;Q9Y697-3,"Cysteine desulfurase, mitochondrial",NFS1,0.988,0.063,-0.978,0.000,
P62906,60S ribosomal protein L10a,RPL10A,0.919,0.062,-0.731,0.000,
P62913;P62913-2,60S ribosomal protein L11,RPL11,0.942,0.062,-0.194,0.000,
Q8WU90,Zinc finger CCCH domain-containing protein 15,ZC3H15,0.802,0.062,-0.002,0.000,
P35580;P35580-2;P35580-5;P35580-3;P35580-4,Myosin-10,MYH10,0.820,0.062,-0.441,0.000,
Q7Z478,ATP-dependent RNA helicase DHX29,DHX29,0.792,0.061,-0.298,0.000,
P62158,Calmodulin,CALM1,0.847,0.061,-0.472,0.000,
Q8NCW5;Q8NCW5-2,NAD(P)H-hydrate epimerase,APOA1BP,0.941,0.061,-0.195,0.000,
P62266,40S ribosomal protein S23,RPS23,0.917,0.061,0.114,0.000,
Q9H2U2;Q9H2U2-2;Q9H2U2-3;Q9H2U2-6,"Inorganic pyrophosphatase 2, mitochondrial",PPA2,0.955,0.061,-0.974,0.000,
P30533,Alpha-2-macroglobulin receptor-associated protein,LRPAP1,0.943,0.061,-0.317,0.000,
Q6PI48,"Aspartate--tRNA ligase, mitochondrial",DARS2,0.879,0.061,-0.660,0.000,
Q9Y446;Q9Y446-2,Plakophilin-3,PKP3,0.856,0.061,-0.565,0.000,
Q92643;Q92643-2,GPI-anchor transamidase,PIGK,0.973,0.061,-0.254,0.000,
Q7L1W4,Volume-regulated anion channel subunit LRRC8D,LRRC8D,0.872,0.061,-0.873,0.000,
Q969V3-2;Q969V3,Nicalin,NCLN,0.971,0.061,-0.229,0.000,
P49411,"Elongation factor Tu, mitochondrial",TUFM,0.907,0.061,-0.978,0.000,
P13797;P13797-2;P13797-3,Plastin-3,PLS3,0.838,0.060,-0.078,0.000,
O95573,Long-chain-fatty-acid--CoA ligase 3,ACSL3,0.931,0.060,-0.666,0.000,
Q9Y606;Q9Y606-2,"tRNA pseudouridine synthase A, mitochondrial",PUS1,0.910,0.059,-0.527,0.000,
Q15006,ER membrane protein complex subunit 2,EMC2,0.868,0.059,0.601,0.000,
Q9NQC3;Q9NQC3-4;Q9NQC3-6,Reticulon-4,RTN4,0.903,0.059,-0.867,0.000,
Q969S3,Zinc finger protein 622,ZNF622,0.755,0.059,0.879,0.000,
P13693;P13693-2,Translationally-controlled tumor protein,TPT1,0.778,0.058,-0.714,0.000,
Q9UHG3;Q9UHG3-2,Prenylcysteine oxidase 1,PCYOX1,0.969,0.058,-0.358,0.000,
Q8N1G4,Leucine-rich repeat-containing protein 47,LRRC47,0.805,0.058,-0.721,0.000,
P32969,60S ribosomal protein L9,RPL9,0.838,0.058,-0.204,0.000,
P62937;P62937-2,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed",PPIA,0.794,0.058,-0.488,0.000,
P51648;P51648-2,Fatty aldehyde dehydrogenase,ALDH3A2,0.936,0.057,-0.619,0.000,
Q9HB71;Q9HB71-3,Calcyclin-binding protein,CACYBP,0.847,0.056,-0.150,0.000,
P62277,40S ribosomal protein S13,RPS13,0.895,0.056,0.253,0.000,
P56537;P56537-2,Eukaryotic translation initiation factor 6,EIF6,0.754,0.056,0.322,0.000,
Q8NF37,Lysophosphatidylcholine acyltransferase 1,LPCAT1,0.799,0.056,-0.893,0.000,
O43670-2;O43670;O43670-4;O43670-3,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207,0.812,0.055,-0.152,0.000,
Q9BWS9;Q9BWS9-3;Q9BWS9-2,Chitinase domain-containing protein 1,CHID1,0.988,0.055,0.197,0.000,
A1L0T0,Acetolactate synthase-like protein,ILVBL,0.894,0.054,-0.521,0.000,
P21953,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",BCKDHB,0.901,0.053,-0.055,0.000,
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,0.809,0.053,-0.455,0.000,
Q8TC12;Q8TC12-2;Q8TC12-3,Retinol dehydrogenase 11,RDH11,0.857,0.053,-0.670,0.000,
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,0.997,0.053,-0.970,0.000,
P46778,60S ribosomal protein L21,RPL21,0.883,0.052,-0.440,0.000,
P53396;P53396-2;P53396-3,ATP-citrate synthase,ACLY,0.751,0.049,-0.505,0.000,
P80303;P80303-2,Nucleobindin-2;Nesfatin-1,NUCB2,0.947,0.048,-0.714,0.000,
O94874;O94874-2;O94874-3,E3 UFM1-protein ligase 1,UFL1,0.929,0.048,-0.557,0.000,
P00505;P00505-2,"Aspartate aminotransferase, mitochondrial",GOT2,0.980,0.048,-0.979,0.000,
P62136;P62136-2;P62136-3,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,PPP1CA,0.856,0.047,0.029,0.000,
Q9UKV8;Q9UKV8-2,Protein argonaute-2,AGO2,0.892,0.046,-0.793,0.000,
Q9NZM1;Q9NZM1-6;Q9NZM1-2;Q9NZM1-5,Myoferlin,MYOF,0.929,0.046,-0.045,0.000,
Q86UP2;Q86UP2-4;Q86UP2-3;Q86UP2-2,Kinectin,KTN1,0.977,0.044,0.669,0.000,
P51572-2;P51572,B-cell receptor-associated protein 31,BCAP31,0.968,0.044,0.069,0.000,
Q96A72;P61326;P61326-2,Protein mago nashi homolog 2;Protein mago nashi homolog,MAGOHB;MAGOH,0.900,0.043,-0.754,0.000,
P60842;P60842-2,Eukaryotic initiation factor 4A-I,EIF4A1,0.946,0.043,-0.078,0.000,
Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,CISD1,0.985,0.043,-0.962,0.000,
O00410;O00410-3,Importin-5,IPO5,0.769,0.043,-0.184,0.000,
P46977;P46977-2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,STT3A,0.946,0.043,0.549,0.000,
Q86V81,THO complex subunit 4,ALYREF,0.930,0.043,-0.274,0.000,
Q5JRX3;Q5JRX3-2;Q5JRX3-3,"Presequence protease, mitochondrial",PITRM1,0.943,0.043,-0.437,0.000,
Q15363,Transmembrane emp24 domain-containing protein 2,TMED2,0.919,0.043,-0.828,0.000,
Q9NP97;Q8TF09,Dynein light chain roadblock-type 1;Dynein light chain roadblock-type 2,DYNLRB1;DYNLRB2,0.961,0.043,-0.658,0.000,
P11182,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",DBT,0.831,0.042,-0.986,0.000,
Q9UJS0;Q9UJS0-2,Calcium-binding mitochondrial carrier protein Aralar2,SLC25A13,0.980,0.041,-0.874,0.000,
O94905,Erlin-2,ERLIN2,0.851,0.041,0.412,0.000,
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,0.998,0.041,-0.960,0.000,
P28331;P28331-2;P28331-4;P28331-5;P28331-3,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,0.964,0.041,-0.728,0.000,
Q6YN16;Q6YN16-2,Hydroxysteroid dehydrogenase-like protein 2,HSDL2,0.820,0.040,-0.918,0.000,
P53618,Coatomer subunit beta,COPB1,0.948,0.040,-0.133,0.000,
Q96CS3,FAS-associated factor 2,FAF2,0.933,0.040,-0.212,0.000,
Q93096,Protein tyrosine phosphatase type IVA 1,PTP4A1,0.943,0.040,-0.685,0.000,
Q96E11;Q96E11-3;Q96E11-8;Q96E11-2,"Ribosome-recycling factor, mitochondrial",MRRF,0.981,0.039,-0.264,0.000,
O43615,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44,0.878,0.038,-0.503,0.000,
Q9HD20;Q9HD20-2,Manganese-transporting ATPase 13A1,ATP13A1,0.829,0.037,-0.969,0.000,
Q9BYD6,"39S ribosomal protein L1, mitochondrial",MRPL1,0.883,0.037,0.080,0.000,
P31327;P31327-3;P31327-2,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",CPS1,0.977,0.036,-0.934,0.000,
P34897;P34897-3;P34897-2,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,0.987,0.036,-0.970,0.000,
Q00341;Q00341-2,Vigilin,HDLBP,0.876,0.035,-0.469,0.000,
Q9NVV4,"Poly(A) RNA polymerase, mitochondrial",MTPAP,0.959,0.034,-0.315,0.000,
Q96A33;Q96A33-2,Coiled-coil domain-containing protein 47,CCDC47,0.968,0.034,0.744,0.000,
Q9Y3I0,tRNA-splicing ligase RtcB homolog,RTCB,0.836,0.033,-0.432,0.000,
P50402,Emerin,EMD,0.898,0.032,-0.122,0.000,
Q9BQ52;Q9BQ52-4;Q9BQ52-3;Q9BQ52-2,Zinc phosphodiesterase ELAC protein 2,ELAC2,0.852,0.032,-0.706,0.000,
Q14318-2;Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8,FKBP8,0.958,0.031,-0.623,0.000,
P55010,Eukaryotic translation initiation factor 5,EIF5,0.823,0.031,0.550,0.000,
O60869;O60869-2;O60869-3,Endothelial differentiation-related factor 1,EDF1,0.831,0.030,-0.393,0.000,
Q9NUQ3;Q9NUQ3-2,Gamma-taxilin,TXLNG,0.842,0.030,0.374,0.000,
Q92542;Q92542-2,Nicastrin,NCSTN,0.761,0.028,0.165,0.000,
Q9NQH7;Q9NQH7-4;Q9NQH7-2,Probable Xaa-Pro aminopeptidase 3,XPNPEP3,0.918,0.028,-0.831,0.000,
P80723;P80723-2,Brain acid soluble protein 1,BASP1,0.906,0.028,0.178,0.000,
P05023;P05023-4;P05023-3;P05023-2,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,0.809,0.027,-0.226,0.000,
P62249,40S ribosomal protein S16,RPS16,0.949,0.027,-0.442,0.000,
Q01082;Q01082-2,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,0.970,0.027,0.437,0.000,
Q9Y5L4,Mitochondrial import inner membrane translocase subunit Tim13,TIMM13,0.914,0.026,-0.406,0.000,
P26373;P26373-2,60S ribosomal protein L13,RPL13,0.926,0.024,-0.197,0.000,
P48047,"ATP synthase subunit O, mitochondrial",ATP5O,0.995,0.024,0.713,0.000,
Q9Y512,Sorting and assembly machinery component 50 homolog,SAMM50,0.922,0.021,-0.804,0.000,
Q9H2U1;Q9H2U1-2;Q9H2U1-3,ATP-dependent RNA helicase DHX36,DHX36,0.891,0.021,-0.288,0.000,
Q9NUL7,Probable ATP-dependent RNA helicase DDX28,DDX28,0.863,0.021,-0.514,0.000,
P0DMV9;P0DMV8;P0DMV8-2,Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,0.753,0.021,0.493,0.000,
Q9BTV4,Transmembrane protein 43,TMEM43,0.962,0.021,0.199,0.000,
P62820;P62820-2,Ras-related protein Rab-1A,RAB1A,0.808,0.021,-0.493,0.000,
Q07065,Cytoskeleton-associated protein 4,CKAP4,0.760,0.019,0.653,0.000,
P41091,Eukaryotic translation initiation factor 2 subunit 3,EIF2S3,0.836,0.019,-0.218,0.000,
Q8NBS9;Q8NBS9-2,Thioredoxin domain-containing protein 5,TXNDC5,0.898,0.019,-0.265,0.000,
Q04837,"Single-stranded DNA-binding protein, mitochondrial",SSBP1,1.000,0.019,-0.902,0.000,
P36957;P36957-2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,0.820,0.019,-0.566,0.000,
P49748;P49748-3;P49748-2,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,0.997,0.019,-0.965,0.000,
O75439,Mitochondrial-processing peptidase subunit beta,PMPCB,0.871,0.019,-0.961,0.000,
P61247,40S ribosomal protein S3a,RPS3A,0.905,0.018,0.268,0.000,
P25398,40S ribosomal protein S12,RPS12,0.787,0.017,-0.469,0.000,
Q96I99;Q96I99-2,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG2,0.852,0.017,-0.852,0.000,
P62241,40S ribosomal protein S8,RPS8,0.803,0.017,-0.120,0.000,
Q96IR7,4-hydroxyphenylpyruvate dioxygenase-like protein,HPDL,0.926,0.017,-0.873,0.000,
Q53GQ0,Very-long-chain 3-oxoacyl-CoA reductase,HSD17B12,0.796,0.017,-0.340,0.000,
P16435,NADPH--cytochrome P450 reductase,POR,0.920,0.017,-0.781,0.000,
Q14160;Q14160-3;Q14160-2,Protein scribble homolog,SCRIB,0.825,0.017,-0.788,0.000,
P62753,40S ribosomal protein S6,RPS6,0.771,0.017,0.107,0.000,
P53701,Cytochrome c-type heme lyase,HCCS,0.923,0.017,-0.745,0.000,
P62851,40S ribosomal protein S25,RPS25,0.916,0.017,0.360,0.000,
P15924;P15924-3;P15924-2,Desmoplakin,DSP,0.820,0.017,-0.833,0.000,
P62854;Q5JNZ5,40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1,RPS26;RPS26P11,0.855,0.017,0.391,0.000,
P13473-2,Lysosome-associated membrane glycoprotein 2,LAMP2,0.751,0.016,0.111,0.000,
Q12931;Q12931-2,"Heat shock protein 75 kDa, mitochondrial",TRAP1,0.844,0.016,-0.735,0.000,
Q14697-2,Neutral alpha-glucosidase AB,GANAB,0.965,0.016,-0.918,0.000,
Q9Y6E2;Q9Y6E2-2,Basic leucine zipper and W2 domain-containing protein 2,BZW2,0.796,0.016,0.175,0.000,
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PPP2R1A,0.841,0.016,-0.161,0.000,
P61224;P61224-3;A6NIZ1;P61224-4;P61224-2,Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein,RAP1B,0.802,0.016,-0.736,0.000,
P67809,Nuclease-sensitive element-binding protein 1,YBX1,0.891,0.016,-0.644,0.000,
Q9Y305;Q9Y305-2;Q9Y305-4;Q9Y305-3,"Acyl-coenzyme A thioesterase 9, mitochondrial",ACOT9,0.841,0.015,-0.610,0.000,
Q15366-5;Q15366-8,Poly(rC)-binding protein 2,PCBP2,0.856,0.015,-0.403,0.000,
Q99623;Q99623-2,Prohibitin-2,PHB2,0.980,0.015,-0.969,0.000,
Q14974;Q14974-2,Importin subunit beta-1,KPNB1,0.756,0.015,-0.313,0.000,
Q08J23;Q08J23-2;Q08J23-3,tRNA (cytosine(34)-C(5))-methyltransferase,NSUN2,0.811,0.015,-0.148,0.000,
A4D1E9;A4D1E9-2,GTP-binding protein 10,GTPBP10,0.981,0.014,-0.878,0.000,
P30044;P30044-2;P30044-3;P30044-4,"Peroxiredoxin-5, mitochondrial",PRDX5,0.828,0.014,0.060,0.000,
P50914,60S ribosomal protein L14,RPL14,0.847,0.014,0.203,0.000,
P63173,60S ribosomal protein L38,RPL38,0.825,0.014,0.128,0.000,
Q8NHP6,Motile sperm domain-containing protein 2,MOSPD2,0.840,0.014,-0.347,0.000,
P40926;P40926-2,"Malate dehydrogenase, mitochondrial",MDH2,0.991,0.014,-0.812,0.000,
P49821;P49821-2,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,0.885,0.014,-0.880,0.000,
P42167;P42167-2,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin",TMPO,0.796,0.014,0.608,0.000,
P08865,40S ribosomal protein SA,RPSA,0.760,0.014,-0.596,0.000,
P60981;P60981-2,Destrin,DSTN,0.839,0.014,0.408,0.000,
P00367;P00367-3;P00367-2;P49448,"Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial",GLUD1;GLUD2,0.792,0.014,-0.464,0.000,
P49257,Protein ERGIC-53,LMAN1,0.770,0.014,0.098,0.000,
P11021,78 kDa glucose-regulated protein,HSPA5,0.829,0.014,0.739,0.000,
P06730;P06730-3;P06730-2,Eukaryotic translation initiation factor 4E,EIF4E,0.901,0.014,-0.545,0.000,
P21333;P21333-2,Filamin-A,FLNA,0.831,0.014,0.795,0.000,
P23258,Tubulin gamma-1 chain,TUBG1,0.781,0.014,-0.333,0.000,
P27797,Calreticulin,CALR,0.890,0.014,0.933,0.000,
P82673,"28S ribosomal protein S35, mitochondrial",MRPS35,0.927,0.014,-0.914,0.000,
P46783,40S ribosomal protein S10,RPS10,0.816,0.013,-0.411,0.000,
O60841,Eukaryotic translation initiation factor 5B,EIF5B,0.839,0.013,-0.388,0.000,
P61254,60S ribosomal protein L26,RPL26,0.819,0.013,-0.510,0.000,
Q96N67;Q96N67-2;Q96N67-6;Q96N67-3;Q96N67-4;Q96N67-5,Dedicator of cytokinesis protein 7,DOCK7,0.908,0.013,-0.875,0.000,
P05198,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,0.784,0.013,-0.453,0.000,
Q9BRJ2,"39S ribosomal protein L45, mitochondrial",MRPL45,0.867,0.013,0.392,0.000,
Q02978;Q02978-2,Mitochondrial 2-oxoglutarate/malate carrier protein,SLC25A11,0.914,0.013,-0.921,0.000,
Q9HAV7,"GrpE protein homolog 1, mitochondrial",GRPEL1,0.951,0.013,-0.957,0.000,
Q8NBJ5,Procollagen galactosyltransferase 1,COLGALT1,0.920,0.013,-0.715,0.000,
Q9Y295,Developmentally-regulated GTP-binding protein 1,DRG1,0.877,0.013,0.000,0.000,
P38646,"Stress-70 protein, mitochondrial",HSPA9,0.838,0.013,-0.643,0.000,
Q9NVI7-2;Q9NVI7;Q9NVI7-3,ATPase family AAA domain-containing protein 3A,ATAD3A,0.767,0.013,-0.546,0.000,
O95197;O95197-2;O95197-7,Reticulon-3,RTN3,0.831,0.012,-0.530,0.000,
P02545;P02545-6;P02545-3;P02545-5;P02545-4,Prelamin-A/C;Lamin-A/C,LMNA,0.916,0.012,-0.178,0.000,
P62269,40S ribosomal protein S18,RPS18,0.846,0.012,-0.117,0.000,
Q92552;Q92552-2,"28S ribosomal protein S27, mitochondrial",MRPS27,0.976,0.012,-0.979,0.000,
Q15084;Q15084-3;Q15084-4;Q15084-5;Q15084-2,Protein disulfide-isomerase A6,PDIA6,0.813,0.012,0.295,0.000,
O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",CLPX,0.894,0.012,-0.850,0.000,
P08559;P08559-4;P08559-2;P08559-3,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",PDHA1,0.994,0.012,-0.916,0.000,
Q5JPE7;Q5JPE7-2;P69849;Q5JPE7-3,Nodal modulator 2;Nodal modulator 3,NOMO2;NOMO3,0.928,0.012,-0.721,0.000,
P06748;P06748-3,Nucleophosmin,NPM1,0.921,0.012,0.054,0.000,
P62910,60S ribosomal protein L32,RPL32,0.881,0.012,0.274,0.000,
P12236,"ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed",SLC25A6,0.990,0.012,-0.985,0.000,
Q8NFQ8,Torsin-1A-interacting protein 2,TOR1AIP2,0.913,0.012,-0.711,0.000,
O75616,"GTPase Era, mitochondrial",ERAL1,0.982,0.012,-0.595,0.000,
Q9Y2Q3;Q9Y2Q3-3;Q9Y2Q3-2;Q9Y2Q3-4,Glutathione S-transferase kappa 1,GSTK1,0.812,0.012,-0.841,0.000,
P05387,60S acidic ribosomal protein P2,RPLP2,0.944,0.012,-0.510,0.000,
O43660;O43660-2,Pleiotropic regulator 1,PLRG1,0.800,0.012,-0.602,0.000,
P18124,60S ribosomal protein L7,RPL7,0.751,0.011,-0.407,0.000,
Q6Y7W6;Q6Y7W6-4;Q6Y7W6-5;Q6Y7W6-3,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2,0.826,0.011,-0.377,0.000,
Q09666,Neuroblast differentiation-associated protein AHNAK,AHNAK,0.754,0.011,-0.678,0.000,
P63261,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,0.888,0.011,0.109,0.000,
Q15477,Helicase SKI2W,SKIV2L,0.852,0.011,0.413,0.000,
Q02218;Q02218-2,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,0.977,0.011,-0.961,0.000,
Q6PKG0;Q6PKG0-3,La-related protein 1,LARP1,0.847,0.011,-0.475,0.000,
O75390,"Citrate synthase, mitochondrial",CS,0.967,0.011,-0.919,0.000,
P30048;P30048-2,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,0.984,0.011,-0.976,0.000,
P36578,60S ribosomal protein L4,RPL4,0.882,0.011,-0.345,0.000,
Q9Y3F4;Q9Y3F4-2,Serine-threonine kinase receptor-associated protein,STRAP,0.769,0.011,-0.732,0.000,
Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",ECH1,0.820,0.011,-0.891,0.000,
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,0.904,0.011,-0.914,0.000,
P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",OXCT1,0.946,0.010,-0.910,0.000,
Q9GZT3;Q9GZT3-2,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,0.926,0.010,0.515,0.000,
P04181;P04181-2,"Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form",OAT,0.973,0.010,-0.887,0.000,
Q14204,Cytoplasmic dynein 1 heavy chain 1,DYNC1H1,0.833,0.009,-0.434,0.000,
P49755,Transmembrane emp24 domain-containing protein 10,TMED10,0.918,0.009,-0.837,0.000,
Q9Y224,UPF0568 protein C14orf166,C14orf166,0.840,0.009,-0.647,0.000,
