UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q8K2M0,"39S ribosomal protein L38, mitochondrial GN=Mrpl38 PE=2 SV=2 - [RM38_MOUSE]",6,6,16.1,0.018,0.013,0.026,0.009,0.037,0.091,0.196,0.285,0.065,0.260
Q8K2T8,RNA polymerase II-associated factor 1 homolog GN=Paf1 PE=2 SV=1 - [PAF1_MOUSE],6,6,16.1,0.452,0.000,0.031,0.000,0.017,0.035,0.035,0.106,0.232,0.092
Q8K3X4,Interferon regulatory factor 2-binding protein-like GN=Irf2bpl PE=1 SV=1 - [I2BPL_MOUSE],6,6,16.5,0.183,0.011,0.031,0.012,0.026,0.034,0.076,0.274,0.110,0.243
Q8VBT0,Thioredoxin-related transmembrane protein 1 GN=Tmx1 PE=1 SV=1 - [TMX1_MOUSE],6,6,19.1,0.024,0.070,0.085,0.064,0.139,0.195,0.110,0.162,0.029,0.121
Q8VD65,Phosphoinositide 3-kinase regulatory subunit 4 GN=Pik3r4 PE=1 SV=3 - [PI3R4_MOUSE],6,6,5.6,0.222,0.148,0.193,0.085,0.146,0.045,0.010,0.016,0.019,0.116
Q8VDG5,Phosphopantothenate--cysteine ligase GN=Ppcs PE=2 SV=1 - [PPCS_MOUSE],6,6,23.8,0.470,0.118,0.135,0.046,0.085,0.050,0.020,0.029,0.009,0.038
Q91YR1,Twinfilin-1 GN=Twf1 PE=1 SV=2 - [TWF1_MOUSE],6,6,22.0,0.313,0.163,0.128,0.058,0.109,0.084,0.039,0.054,0.013,0.039
Q91Z53,Glyoxylate reductase/hydroxypyruvate reductase GN=Grhpr PE=1 SV=1 - [GRHPR_MOUSE],6,6,38.7,0.480,0.093,0.098,0.061,0.053,0.040,0.054,0.064,0.000,0.057
Q923T9-3,Isoform 3 of Calcium/calmodulin-dependent protein kinase type II subunit gamma GN=Camk2g - [KCC2G_MOUSE],6,6,13.9,0.039,0.064,0.049,0.020,0.042,0.064,0.106,0.293,0.069,0.253
Q99J09,Methylosome protein 50 GN=Wdr77 PE=1 SV=1 - [MEP50_MOUSE],6,6,49.4,0.622,0.105,0.092,0.038,0.044,0.042,0.028,0.000,0.000,0.030
Q9CZS1,"Aldehyde dehydrogenase X, mitochondrial GN=Aldh1b1 PE=2 SV=1 - [AL1B1_MOUSE]",6,6,17.9,0.025,0.012,0.023,0.010,0.042,0.088,0.196,0.302,0.031,0.271
Q9D6M3,Mitochondrial glutamate carrier 1 GN=Slc25a22 PE=1 SV=1 - [GHC1_MOUSE],6,6,22.9,0.002,0.002,0.019,0.009,0.042,0.067,0.165,0.342,0.061,0.291
Q9D773,"39S ribosomal protein L2, mitochondrial GN=Mrpl2 PE=2 SV=1 - [RM02_MOUSE]",6,6,18.0,0.000,0.021,0.021,0.016,0.047,0.072,0.147,0.345,0.055,0.275
Q9EPR4,Solute carrier family 23 member 2 GN=Slc23a2 PE=1 SV=2 - [S23A2_MOUSE],6,6,12.5,0.000,0.172,0.146,0.110,0.227,0.174,0.087,0.052,0.002,0.031
Q9ER41,Torsin-1B GN=Tor1b PE=2 SV=2 - [TOR1B_MOUSE],6,6,28.0,0.027,0.073,0.070,0.055,0.145,0.205,0.116,0.146,0.003,0.160
Q9ESV0,ATP-dependent RNA helicase DDX24 GN=Ddx24 PE=1 SV=2 - [DDX24_MOUSE],6,6,10.3,0.215,0.023,0.035,0.011,0.025,0.032,0.043,0.113,0.319,0.184
Q9QXS6-3,Isoform E2 of Drebrin GN=Dbn1 - [DREB_MOUSE],6,6,22.7,0.151,0.165,0.078,0.054,0.114,0.161,0.057,0.023,0.181,0.015
Q9R1P3,Proteasome subunit beta type-2 GN=Psmb2 PE=1 SV=1 - [PSB2_MOUSE],6,6,31.8,0.724,0.021,0.075,0.025,0.029,0.029,0.019,0.023,0.022,0.034
Q9Z1Y4,Thyroid receptor-interacting protein 6 GN=Trip6 PE=1 SV=1 - [TRIP6_MOUSE],6,6,20.8,0.058,0.250,0.210,0.091,0.140,0.069,0.021,0.062,0.022,0.076
Q9Z210,Peroxisomal membrane protein 11B GN=Pex11b PE=2 SV=1 - [PX11B_MOUSE],6,6,25.9,0.007,0.027,0.035,0.023,0.044,0.103,0.107,0.360,0.032,0.262
P43274,Histone H1.4 GN=Hist1h1e PE=1 SV=2 - [H14_MOUSE],5,19,40.6,0.026,0.001,0.004,0.002,0.007,0.024,0.090,0.342,0.223,0.281
P35821,Tyrosine-protein phosphatase non-receptor type 1 GN=Ptpn1 PE=1 SV=2 - [PTN1_MOUSE],5,17,12.3,0.000,0.060,0.065,0.043,0.129,0.238,0.165,0.141,0.021,0.139
Q8VDN2;Q6PIC6;Q6PIE5,Sodium/potassium-transporting ATPase subunit alpha-1 GN=Atp1a1 PE=1 SV=1 - [AT1A1_MOUSE]|Sodium/potassium-transporting ATPase subunit alpha-3 GN=Atp1a3 PE=1 SV=1 - [AT1A3_MOUSE]|Sodium/potassium-transporting ATPase subunit alpha-2 GN=Atp1a2 PE=1 SV=1 - [AT1A2_MOUSE],5,17,42.9,0.000,0.320,0.197,0.109,0.164,0.111,0.052,0.034,0.000,0.014
Q9QZ88,Vacuolar protein sorting-associated protein 29 GN=Vps29 PE=1 SV=1 - [VPS29_MOUSE],5,17,30.2,0.110,0.089,0.121,0.091,0.294,0.187,0.043,0.029,0.015,0.022
Q9CQ22,Ragulator complex protein LAMTOR1 GN=Lamtor1 PE=1 SV=1 - [LTOR1_MOUSE],5,16,67.1,0.000,0.109,0.183,0.151,0.303,0.153,0.043,0.030,0.010,0.019
Q9CZM2,60S ribosomal protein L15 GN=Rpl15 PE=2 SV=4 - [RL15_MOUSE],5,16,39.7,0.158,0.045,0.069,0.032,0.086,0.135,0.114,0.096,0.081,0.185
P20108,"Thioredoxin-dependent peroxide reductase, mitochondrial GN=Prdx3 PE=1 SV=1 - [PRDX3_MOUSE]",5,15,19.8,0.000,0.031,0.034,0.026,0.051,0.091,0.210,0.310,0.000,0.247
P53994,Ras-related protein Rab-2A GN=Rab2a PE=1 SV=1 - [RAB2A_MOUSE],5,15,29.7,0.006,0.085,0.114,0.085,0.164,0.200,0.122,0.107,0.010,0.107
P62911,60S ribosomal protein L32 GN=Rpl32 PE=2 SV=2 - [RL32_MOUSE],5,15,29.6,0.139,0.106,0.099,0.044,0.071,0.131,0.084,0.079,0.075,0.171
P61082,NEDD8-conjugating enzyme Ubc12 GN=Ube2m PE=2 SV=1 - [UBC12_MOUSE],5,14,29.5,0.470,0.123,0.119,0.049,0.063,0.045,0.019,0.048,0.021,0.044
P63001,Ras-related C3 botulinum toxin substrate 1 GN=Rac1 PE=1 SV=1 - [RAC1_MOUSE],5,14,24.5,0.027,0.232,0.192,0.120,0.228,0.123,0.040,0.024,0.003,0.011
O70401,Tetraspanin-6 GN=Tspan6 PE=1 SV=1 - [TSN6_MOUSE],5,13,22.9,0.002,0.063,0.115,0.142,0.328,0.218,0.064,0.038,0.000,0.030
P16045,Galectin-1 GN=Lgals1 PE=1 SV=3 - [LEG1_MOUSE],5,13,33.3,0.473,0.105,0.116,0.046,0.088,0.058,0.030,0.041,0.019,0.025
P30412,Peptidyl-prolyl cis-trans isomerase C GN=Ppic PE=1 SV=1 - [PPIC_MOUSE],5,13,32.5,0.000,0.269,0.199,0.107,0.190,0.130,0.042,0.032,0.017,0.014
P52503,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial GN=Ndufs6 PE=1 SV=2 - [NDUS6_MOUSE]",5,13,59.5,0.003,0.020,0.019,0.013,0.031,0.083,0.304,0.233,0.079,0.214
Q61545,RNA-binding protein EWS GN=Ewsr1 PE=1 SV=2 - [EWS_MOUSE],5,13,9.2,0.409,0.025,0.048,0.010,0.027,0.034,0.044,0.059,0.250,0.094
Q8BTS4,Nuclear pore complex protein Nup54 GN=Nup54 PE=1 SV=1 - [NUP54_MOUSE],5,13,16.5,0.066,0.053,0.034,0.017,0.029,0.044,0.059,0.127,0.431,0.139
Q99KW9,T-cell immunomodulatory protein GN=Itfg1 PE=2 SV=2 - [TIP_MOUSE],5,13,11.6,0.000,0.055,0.123,0.107,0.300,0.256,0.075,0.060,0.000,0.023
Q9ES46,Beta-parvin GN=Parvb PE=1 SV=1 - [PARVB_MOUSE],5,13,23.3,0.030,0.293,0.184,0.107,0.126,0.100,0.040,0.048,0.032,0.040
O35566,CD151 antigen GN=Cd151 PE=2 SV=2 - [CD151_MOUSE],5,12,16.6,0.002,0.249,0.136,0.120,0.205,0.162,0.054,0.039,0.007,0.027
P17047;P17047-3,Lysosome-associated membrane glycoprotein 2 GN=Lamp2 PE=2 SV=2 - [LAMP2_MOUSE]|Isoform LAMP-2C of Lysosome-associated membrane glycoprotein 2 GN=Lamp2 - [LAMP2_MOUSE],5,12,9.9,0.000,0.120,0.206,0.160,0.292,0.143,0.039,0.024,0.000,0.017
P62075,Mitochondrial import inner membrane translocase subunit Tim13 GN=Timm13 PE=1 SV=1 - [TIM13_MOUSE],5,12,53.7,0.026,0.035,0.030,0.018,0.042,0.093,0.186,0.240,0.080,0.249
Q9CPP6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 GN=Ndufa5 PE=1 SV=3 - [NDUA5_MOUSE],5,12,54.3,0.000,0.010,0.001,0.001,0.021,0.090,0.368,0.216,0.072,0.220
Q9CQW1,Synaptobrevin homolog YKT6 GN=Ykt6 PE=2 SV=1 - [YKT6_MOUSE],5,12,31.8,0.308,0.138,0.129,0.068,0.094,0.070,0.043,0.069,0.017,0.065
Q9D6K8,FUN14 domain-containing protein 2 GN=Fundc2 PE=2 SV=1 - [FUND2_MOUSE],5,12,27.8,0.000,0.014,0.015,0.014,0.036,0.127,0.353,0.226,0.015,0.201
P15532,Nucleoside diphosphate kinase A GN=Nme1 PE=1 SV=1 - [NDKA_MOUSE],5,11,49.3,0.620,0.080,0.099,0.050,0.055,0.052,0.017,0.017,0.000,0.012
P48024,Eukaryotic translation initiation factor 1 GN=Eif1 PE=2 SV=2 - [EIF1_MOUSE],5,11,63.7,0.250,0.053,0.047,0.024,0.030,0.045,0.108,0.155,0.120,0.168
P97823-2,Isoform 2 of Acyl-protein thioesterase 1 GN=Lypla1 - [LYPA1_MOUSE],5,11,28.1,0.251,0.068,0.092,0.051,0.061,0.065,0.174,0.134,0.009,0.093
Q80X85,"28S ribosomal protein S7, mitochondrial GN=Mrps7 PE=2 SV=1 - [RT07_MOUSE]",5,11,25.6,0.000,0.014,0.012,0.008,0.025,0.086,0.319,0.252,0.064,0.220
Q8VCH6,Delta(24)-sterol reductase GN=Dhcr24 PE=2 SV=1 - [DHC24_MOUSE],5,11,10.9,0.000,0.038,0.057,0.054,0.143,0.257,0.155,0.150,0.017,0.130
Q8VDW0,ATP-dependent RNA helicase DDX39A GN=Ddx39a PE=2 SV=1 - [DX39A_MOUSE],5,11,18.5,0.237,0.020,0.033,0.011,0.014,0.015,0.024,0.089,0.426,0.129
Q9D0J4,ADP-ribosylation factor-like protein 2 GN=Arl2 PE=1 SV=1 - [ARL2_MOUSE],5,11,41.3,0.308,0.143,0.109,0.044,0.051,0.065,0.079,0.105,0.006,0.089
Q9D7P6,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial GN=Iscu PE=1 SV=1 - [ISCU_MOUSE]",5,11,29.8,0.028,0.019,0.020,0.014,0.030,0.086,0.296,0.255,0.022,0.229
Q9Z0M5,Lysosomal acid lipase/cholesteryl ester hydrolase GN=Lipa PE=2 SV=2 - [LICH_MOUSE],5,11,16.6,0.000,0.107,0.139,0.136,0.285,0.211,0.062,0.030,0.000,0.029
P24638,Lysosomal acid phosphatase GN=Acp2 PE=2 SV=2 - [PPAL_MOUSE],5,10,19.4,0.000,0.067,0.123,0.150,0.347,0.175,0.061,0.040,0.000,0.037
P56542,Deoxyribonuclease-2-alpha GN=Dnase2 PE=2 SV=1 - [DNS2A_MOUSE],5,10,22.7,0.000,0.123,0.175,0.137,0.283,0.171,0.045,0.037,0.002,0.027
P57746,V-type proton ATPase subunit D GN=Atp6v1d PE=1 SV=1 - [VATD_MOUSE],5,10,27.5,0.164,0.131,0.143,0.109,0.231,0.117,0.036,0.030,0.014,0.024
P62983;P0CG49;P62984,Ubiquitin-40S ribosomal protein S27a GN=Rps27a PE=1 SV=2 - [RS27A_MOUSE]|Polyubiquitin-B GN=Ubb PE=1 SV=1 - [UBB_MOUSE]|Ubiquitin-60S ribosomal protein L40 GN=Uba52 PE=1 SV=2 - [RL40_MOUSE],5,10,53.2,0.000,0.154,0.192,0.098,0.196,0.152,0.092,0.065,0.000,0.051
Q6ZWV7,60S ribosomal protein L35 GN=Rpl35 PE=2 SV=1 - [RL35_MOUSE],5,10,29.3,0.166,0.040,0.040,0.027,0.068,0.115,0.100,0.118,0.083,0.244
Q7TML3,Solute carrier family 35 member F2 GN=Slc35f2 PE=2 SV=2 - [S35F2_MOUSE],5,10,20.5,0.000,0.081,0.145,0.144,0.267,0.180,0.078,0.055,0.010,0.041
Q8BIG7,Catechol O-methyltransferase domain-containing protein 1 GN=Comtd1 PE=2 SV=1 - [CMTD1_MOUSE],5,10,35.1,0.000,0.011,0.016,0.019,0.040,0.105,0.317,0.236,0.052,0.204
Q8BU14,Translocation protein SEC62 GN=Sec62 PE=1 SV=1 - [SEC62_MOUSE],5,10,9.0,0.002,0.049,0.059,0.048,0.134,0.234,0.145,0.166,0.028,0.136
Q9CZG9,PDZ domain-containing protein 11 GN=Pdzd11 PE=1 SV=1 - [PDZ11_MOUSE],5,10,50.0,0.042,0.240,0.154,0.081,0.118,0.123,0.075,0.077,0.033,0.056
Q9DC37,Major facilitator superfamily domain-containing protein 1 GN=Mfsd1 PE=1 SV=1 - [MFSD1_MOUSE],5,10,13.1,0.003,0.099,0.172,0.162,0.325,0.128,0.043,0.042,0.001,0.026
Q9DC70,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial GN=Ndufs7 PE=1 SV=1 - [NDUS7_MOUSE]",5,10,18.3,0.001,0.012,0.012,0.010,0.031,0.095,0.287,0.245,0.083,0.224
Q9ERE7,LDLR chaperone MESD GN=Mesdc2 PE=1 SV=1 - [MESD_MOUSE],5,10,22.3,0.025,0.037,0.040,0.044,0.132,0.215,0.159,0.186,0.010,0.152
Q9JIW9,Ras-related protein Ral-B GN=Ralb PE=2 SV=1 - [RALB_MOUSE],5,10,22.3,0.004,0.278,0.180,0.127,0.182,0.111,0.048,0.035,0.012,0.024
Q9Z1B5,Mitotic spindle assembly checkpoint protein MAD2A GN=Mad2l1 PE=2 SV=2 - [MD2L1_MOUSE],5,10,24.4,0.459,0.030,0.046,0.031,0.041,0.031,0.035,0.082,0.134,0.111
O35215,D-dopachrome decarboxylase GN=Ddt PE=1 SV=3 - [DOPD_MOUSE],5,9,58.5,0.742,0.062,0.105,0.035,0.036,0.014,0.000,0.006,0.000,0.000
O54984,ATPase Asna1 GN=Asna1 PE=1 SV=2 - [ASNA_MOUSE],5,9,35.9,0.514,0.114,0.123,0.038,0.060,0.047,0.011,0.036,0.017,0.038
P00375,Dihydrofolate reductase GN=Dhfr PE=1 SV=3 - [DYR_MOUSE],5,9,36.9,0.515,0.128,0.111,0.047,0.058,0.043,0.018,0.033,0.023,0.023
P11157,Ribonucleoside-diphosphate reductase subunit M2 GN=Rrm2 PE=1 SV=1 - [RIR2_MOUSE],5,9,22.8,0.372,0.165,0.147,0.070,0.093,0.049,0.025,0.042,0.008,0.030
P13864,DNA (cytosine-5)-methyltransferase 1 GN=Dnmt1 PE=1 SV=5 - [DNMT1_MOUSE],5,9,23.3,0.040,0.010,0.011,0.005,0.010,0.031,0.138,0.302,0.189,0.265
P55096,ATP-binding cassette sub-family D member 3 GN=Abcd3 PE=1 SV=2 - [ABCD3_MOUSE],5,9,12.6,0.000,0.023,0.023,0.015,0.022,0.160,0.216,0.256,0.058,0.227
P70318,Nucleolysin TIAR GN=Tial1 PE=2 SV=1 - [TIAR_MOUSE],5,9,14.0,0.181,0.027,0.028,0.005,0.012,0.014,0.041,0.079,0.493,0.120
Q60760-2,Isoform 2 of Growth factor receptor-bound protein 10 GN=Grb10 - [GRB10_MOUSE],5,9,12.4,0.065,0.281,0.185,0.103,0.099,0.087,0.050,0.046,0.018,0.064
Q64008,Ras-related protein Rab-34 GN=Rab34 PE=1 SV=2 - [RAB34_MOUSE],5,9,28.6,0.006,0.211,0.175,0.115,0.209,0.128,0.048,0.066,0.008,0.035
Q78JW9,Ubiquitin domain-containing protein UBFD1 GN=Ubfd1 PE=1 SV=2 - [UBFD1_MOUSE],5,9,14.9,0.249,0.097,0.094,0.046,0.065,0.041,0.051,0.164,0.070,0.122
Q8BSM7,Large neutral amino acids transporter small subunit 3 GN=Slc43a1 PE=1 SV=1 - [LAT3_MOUSE],5,9,14.2,0.000,0.318,0.200,0.114,0.160,0.110,0.058,0.025,0.000,0.015
Q8R1S9,Sodium-coupled neutral amino acid transporter 4 GN=Slc38a4 PE=1 SV=1 - [S38A4_MOUSE],5,9,14.3,0.000,0.136,0.144,0.131,0.220,0.212,0.098,0.034,0.002,0.023
Q99JY8,Lipid phosphate phosphohydrolase 3 GN=Ppap2b PE=1 SV=1 - [LPP3_MOUSE],5,9,26.0,0.000,0.116,0.205,0.149,0.255,0.131,0.062,0.054,0.000,0.028
Q99LC8,Translation initiation factor eIF-2B subunit alpha GN=Eif2b1 PE=2 SV=1 - [EI2BA_MOUSE],5,9,29.5,0.522,0.090,0.074,0.019,0.043,0.056,0.042,0.065,0.020,0.069
Q9CQ40,"39S ribosomal protein L49, mitochondrial GN=Mrpl49 PE=2 SV=1 - [RM49_MOUSE]",5,9,34.9,0.000,0.009,0.009,0.011,0.034,0.091,0.209,0.320,0.056,0.261
Q9CQU0,Thioredoxin domain-containing protein 12 GN=Txndc12 PE=2 SV=1 - [TXD12_MOUSE],5,9,35.3,0.041,0.090,0.116,0.059,0.137,0.243,0.123,0.075,0.009,0.105
Q9CWY8,Ribonuclease H2 subunit A GN=Rnaseh2a PE=1 SV=2 - [RNH2A_MOUSE],5,9,31.6,0.234,0.038,0.046,0.008,0.007,0.037,0.097,0.227,0.094,0.211
Q9CXS4,Centromere protein V GN=Cenpv PE=2 SV=2 - [CENPV_MOUSE],5,9,46.0,0.080,0.004,0.010,0.000,0.013,0.038,0.087,0.257,0.239,0.271
Q9CZX7,Transmembrane protein 55A GN=Tmem55a PE=1 SV=1 - [TM55A_MOUSE],5,9,47.9,0.003,0.115,0.199,0.148,0.310,0.125,0.037,0.033,0.007,0.024
Q9D1M7,Peptidyl-prolyl cis-trans isomerase FKBP11 GN=Fkbp11 PE=2 SV=1 - [FKB11_MOUSE],5,9,34.8,0.000,0.028,0.050,0.029,0.096,0.248,0.166,0.187,0.032,0.164
Q9D365,Signal peptidase complex subunit 3 GN=Spcs3 PE=2 SV=1 - [SPCS3_MOUSE],5,9,30.0,0.003,0.039,0.031,0.047,0.104,0.246,0.164,0.156,0.059,0.150
Q9DC48,Pre-mRNA-processing factor 17 GN=Cdc40 PE=1 SV=1 - [PRP17_MOUSE],5,9,12.6,0.144,0.009,0.026,0.000,0.014,0.034,0.053,0.090,0.417,0.212
Q9ER39,Torsin-1A GN=Tor1a PE=1 SV=1 - [TOR1A_MOUSE],5,9,17.4,0.000,0.032,0.062,0.036,0.160,0.278,0.159,0.137,0.000,0.136
Q9JKB1,Ubiquitin carboxyl-terminal hydrolase isozyme L3 GN=Uchl3 PE=1 SV=2 - [UCHL3_MOUSE],5,9,28.3,0.555,0.164,0.138,0.048,0.046,0.041,0.007,0.000,0.000,0.000
Q9QZ06,Toll-interacting protein GN=Tollip PE=1 SV=1 - [TOLIP_MOUSE],5,9,21.5,0.047,0.181,0.193,0.124,0.191,0.128,0.054,0.042,0.009,0.031
Q9R0N0,Galactokinase GN=Galk1 PE=2 SV=1 - [GALK1_MOUSE],5,9,20.4,0.515,0.135,0.125,0.050,0.061,0.042,0.021,0.022,0.011,0.018
Q9WVD5,Mitochondrial ornithine transporter 1 GN=Slc25a15 PE=2 SV=1 - [ORNT1_MOUSE],5,9,55.5,0.000,0.006,0.000,0.006,0.041,0.084,0.308,0.251,0.064,0.240
Q9Z1N5,Spliceosome RNA helicase Ddx39b GN=Ddx39b PE=1 SV=1 - [DX39B_MOUSE],5,9,19.2,0.212,0.010,0.029,0.004,0.008,0.014,0.035,0.095,0.418,0.175
B2RSH2,Guanine nucleotide-binding protein G(i) subunit alpha-1 GN=Gnai1 PE=2 SV=1 - [GNAI1_MOUSE],5,8,28.8,0.000,0.283,0.169,0.141,0.202,0.109,0.048,0.026,0.010,0.011
O54825,Bystin GN=Bysl PE=1 SV=3 - [BYST_MOUSE],5,8,17.9,0.320,0.024,0.030,0.011,0.019,0.022,0.031,0.158,0.189,0.195
O89090,Transcription factor Sp1 GN=Sp1 PE=1 SV=2 - [SP1_MOUSE],5,8,12.2,0.137,0.012,0.017,0.000,0.012,0.023,0.087,0.202,0.370,0.141
P06837,Neuromodulin GN=Gap43 PE=1 SV=1 - [NEUM_MOUSE],5,8,36.6,0.016,0.332,0.188,0.129,0.140,0.117,0.034,0.017,0.013,0.015
P56371,Ras-related protein Rab-4A GN=Rab4a PE=1 SV=2 - [RAB4A_MOUSE],5,8,29.8,0.017,0.047,0.093,0.105,0.344,0.185,0.065,0.076,0.009,0.061
P59999,Actin-related protein 2/3 complex subunit 4 GN=Arpc4 PE=1 SV=3 - [ARPC4_MOUSE],5,8,33.3,0.143,0.157,0.114,0.064,0.122,0.074,0.039,0.103,0.064,0.119
P63085,Mitogen-activated protein kinase 1 GN=Mapk1 PE=1 SV=3 - [MK01_MOUSE],5,8,22.9,0.268,0.150,0.116,0.064,0.093,0.070,0.048,0.070,0.030,0.092
P83917,Chromobox protein homolog 1 GN=Cbx1 PE=1 SV=1 - [CBX1_MOUSE],5,8,45.4,0.385,0.000,0.026,0.000,0.001,0.009,0.059,0.138,0.265,0.116
Q02248;Q02257,Catenin beta-1 GN=Ctnnb1 PE=1 SV=1 - [CTNB1_MOUSE]|Junction plakoglobin GN=Jup PE=1 SV=3 - [PLAK_MOUSE],5,8,43.9,0.000,0.311,0.225,0.139,0.118,0.109,0.037,0.043,0.006,0.011
Q0P678,Zinc finger CCCH domain-containing protein 18 GN=Zc3h18 PE=1 SV=1 - [ZCH18_MOUSE],5,8,7.2,0.359,0.010,0.030,0.004,0.010,0.013,0.043,0.057,0.399,0.074
Q3TBW2,"39S ribosomal protein L10, mitochondrial GN=Mrpl10 PE=2 SV=2 - [RM10_MOUSE]",5,8,35.9,0.000,0.007,0.010,0.003,0.019,0.089,0.335,0.245,0.069,0.224
Q3V0K9,Plastin-1 GN=Pls1 PE=2 SV=1 - [PLSI_MOUSE],5,8,16.7,0.107,0.358,0.173,0.100,0.097,0.084,0.034,0.026,0.005,0.018
Q5XJY4,"Presenilins-associated rhomboid-like protein, mitochondrial GN=Parl PE=1 SV=1 - [PARL_MOUSE]",5,8,18.8,0.000,0.004,0.003,0.007,0.026,0.102,0.251,0.300,0.071,0.236
Q5Y5T1,Probable palmitoyltransferase ZDHHC20 GN=Zdhhc20 PE=2 SV=1 - [ZDH20_MOUSE],5,8,16.6,0.000,0.172,0.145,0.110,0.239,0.163,0.076,0.047,0.017,0.031
Q61103,Zinc finger protein ubi-d4 GN=Dpf2 PE=1 SV=1 - [REQU_MOUSE],5,8,46.0,0.100,0.002,0.014,0.004,0.007,0.027,0.080,0.287,0.221,0.258
Q62348,Translin GN=Tsn PE=1 SV=1 - [TSN_MOUSE],5,8,38.6,0.454,0.130,0.146,0.052,0.065,0.043,0.040,0.034,0.002,0.035
Q7TMF3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 GN=Ndufa12 PE=1 SV=2 - [NDUAC_MOUSE],5,8,40.0,0.010,0.016,0.020,0.013,0.035,0.075,0.211,0.263,0.087,0.269
Q80UP8,Sodium-dependent phosphate transporter 2 GN=Slc20a2 PE=1 SV=2 - [S20A2_MOUSE],5,8,11.7,0.000,0.076,0.075,0.102,0.318,0.232,0.096,0.055,0.008,0.039
Q80WQ6,Inactive rhomboid protein 2 GN=Rhbdf2 PE=1 SV=1 - [RHDF2_MOUSE],5,8,8.2,0.010,0.201,0.177,0.091,0.194,0.143,0.069,0.070,0.010,0.035
Q811I0,ATP synthase mitochondrial F1 complex assembly factor 1 GN=Atpaf1 PE=2 SV=1 - [ATPF1_MOUSE],5,8,28.1,0.032,0.026,0.021,0.014,0.030,0.097,0.198,0.308,0.012,0.262
Q8BH69,"Selenide, water dikinase 1 GN=Sephs1 PE=2 SV=1 - [SPS1_MOUSE]",5,8,15.8,0.136,0.023,0.026,0.008,0.008,0.014,0.069,0.284,0.164,0.266
Q8BTJ4-2,Isoform 2 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 4 GN=Enpp4 - [ENPP4_MOUSE],5,8,13.0,0.001,0.047,0.130,0.138,0.385,0.173,0.057,0.041,0.002,0.025
Q8BU88,"39S ribosomal protein L22, mitochondrial GN=Mrpl22 PE=2 SV=1 - [RM22_MOUSE]",5,8,37.9,0.005,0.027,0.027,0.010,0.025,0.086,0.243,0.262,0.066,0.249
Q8BWH0,Putative sodium-coupled neutral amino acid transporter 7 GN=Slc38a7 PE=1 SV=1 - [S38A7_MOUSE],5,8,12.5,0.001,0.119,0.222,0.156,0.276,0.143,0.042,0.027,0.002,0.014
Q8C5L3-3,Isoform 3 of CCR4-NOT transcription complex subunit 2 GN=Cnot2 - [CNOT2_MOUSE],5,8,11.0,0.118,0.032,0.027,0.026,0.071,0.104,0.087,0.141,0.051,0.342
Q8K1Z0,"Ubiquinone biosynthesis protein COQ9, mitochondrial GN=Coq9 PE=1 SV=1 - [COQ9_MOUSE]",5,8,16.3,0.000,0.012,0.016,0.009,0.028,0.098,0.267,0.282,0.004,0.284
Q9CQ01,Ribonuclease T2 GN=Rnaset2 PE=2 SV=1 - [RNT2_MOUSE],5,8,22.0,0.001,0.052,0.105,0.144,0.265,0.275,0.081,0.049,0.000,0.028
Q9CQ75,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 GN=Ndufa2 PE=1 SV=3 - [NDUA2_MOUSE],5,8,49.5,0.008,0.023,0.018,0.012,0.033,0.074,0.173,0.329,0.065,0.265
Q9CQL4,"39S ribosomal protein L20, mitochondrial GN=Mrpl20 PE=1 SV=1 - [RM20_MOUSE]",5,8,33.6,0.000,0.018,0.013,0.013,0.026,0.089,0.263,0.289,0.028,0.260
Q9CWZ3-2,Isoform 2 of RNA-binding protein 8A GN=Rbm8a - [RBM8A_MOUSE],5,8,45.1,0.290,0.022,0.035,0.013,0.021,0.025,0.037,0.099,0.298,0.160
Q9D0P7,Proline/serine-rich coiled-coil protein 1 GN=Psrc1 PE=1 SV=2 - [PSRC1_MOUSE],5,8,23.1,0.108,0.064,0.040,0.019,0.030,0.063,0.108,0.238,0.110,0.220
Q9D868-2,Isoform 2 of Peptidyl-prolyl cis-trans isomerase H GN=Ppih - [PPIH_MOUSE],5,8,23.7,0.380,0.032,0.052,0.024,0.040,0.036,0.042,0.078,0.192,0.125
Q9DCA5,Ribosome biogenesis protein BRX1 homolog GN=Brix1 PE=2 SV=3 - [BRX1_MOUSE],5,8,19.5,0.217,0.008,0.025,0.009,0.025,0.028,0.029,0.123,0.349,0.186
Q9JIM1;Q9JIM1-2,Equilibrative nucleoside transporter 1 GN=Slc29a1 PE=1 SV=3 - [S29A1_MOUSE]|Isoform 2 of Equilibrative nucleoside transporter 1 GN=Slc29a1 - [S29A1_MOUSE],5,8,15.0,0.000,0.251,0.190,0.104,0.212,0.113,0.051,0.043,0.005,0.032
