IPI accession no.,Protein name, MascotScore.1 , NbPeptides.1,NbQuantAC.1,NbQuantBD.1,AC114.1,AC115.1,AC116.1,AC117.1,BD114.1,BD115.1,BD116.1,BD117.1, MascotScore.2 , NbPeptides.2,NbQuantAC.2,NbQuantBD.2,AC114.2,AC115.2,AC116.2,AC117.2,BD114.2,BD115.2,BD116.2,BD117.2
IPI00589875.2,"Similar to RNA polymerase II transcription factor SIII p18 subunit, partial",88.64,2,4,10,0.181,0.241,0.382,0.196,0.203,0.312,0.246,0.238,47.65,1,5,11,0.207,0.287,0.304,0.202,0.172,0.226,0.310,0.292
IPI00589917.1,Caspase 8,101.13,2,3,6,0.165,0.173,0.429,0.233,0.184,0.317,0.246,0.253,120.45,3,5,5,0.282,0.427,0.137,0.155,0.146,0.173,0.328,0.353
IPI00589939.1,dUTP pyrophosphatase ,580.14,10,43,79,0.110,0.181,0.405,0.305,0.144,0.370,0.250,0.236,540.92,10,76,81,0.202,0.325,0.237,0.236,0.111,0.258,0.328,0.304
IPI00589958.1,"Protein disulfide isomerase family A, member 4",1935.42,34,127,316,0.153,0.201,0.360,0.286,0.122,0.146,0.274,0.458,1532.36,29,152,189,0.229,0.297,0.160,0.313,0.128,0.121,0.351,0.400
IPI00589985.3,Elongation factor 1-alpha 1,934.97,16,329,415,0.168,0.168,0.226,0.438,0.232,0.206,0.240,0.322,1168.14,21,489,444,0.245,0.362,0.117,0.276,0.163,0.160,0.359,0.318
IPI00589987.3,Similar to aspartyl(asparaginyl)beta-hydroxylase; HAAH,733.58,14,18,59,0.065,0.108,0.251,0.576,0.135,0.143,0.248,0.474,505.87,10,26,20,0.273,0.244,0.174,0.309,0.119,0.098,0.415,0.368
IPI00590008.2,Hypothetical protein,486.67,11,53,19,0.139,0.481,0.217,0.163,0.277,0.262,0.210,0.251,232.97,6,26,29,0.257,0.402,0.220,0.120,0.183,0.297,0.335,0.185
IPI00590015.1,P60=60 kDa stress-related protein (Fragment),188.75,3,15,29,0.164,0.111,0.395,0.329,0.222,0.227,0.277,0.274,59.89,1,8,22,0.242,0.281,0.188,0.289,0.097,0.170,0.386,0.348
IPI00590033.2,"Eukaryotic translation initiation factor 2, subunit 1 alpha",669.75,14,23,43,0.206,0.145,0.317,0.332,0.239,0.224,0.247,0.290,570.89,11,42,26,0.195,0.402,0.125,0.279,0.168,0.164,0.337,0.331
IPI00590038.1,Treacher Collins-Franceschetti syndrome 1,412.11,7,17,9,0.232,0.217,0.289,0.262,0.198,0.224,0.211,0.367,636.95,12,25,14,0.288,0.266,0.199,0.247,0.199,0.169,0.298,0.335
IPI00590039.1,Huntingtin interacting protein-1-related ,431.61,7,13,8,0.378,0.157,0.243,0.222,0.343,0.180,0.225,0.252,130.04,3,4,8,0.202,0.451,0.137,0.210,0.202,0.163,0.335,0.301
IPI00590098.3,Similar to mKIAA1232 protein,92.78,2,5,4,0.467,0.234,0.155,0.145,0.463,0.163,0.170,0.204,165.79,4,7,2,0.418,0.232,0.162,0.189,0.383,0.132,0.241,0.245
IPI00590205.2,Pseudouridylate synthase 7 homolog ,234.12,5,9,20,0.122,0.174,0.416,0.287,0.114,0.341,0.269,0.277,136.89,3,6,10,0.165,0.343,0.289,0.203,0.111,0.182,0.379,0.329
IPI00590221.3,Transgelin 3,368.02,6,14,30,0.394,0.283,0.189,0.134,0.397,0.191,0.193,0.219,318.63,6,19,8,0.391,0.262,0.185,0.163,0.393,0.140,0.225,0.241
IPI00590239.1,40S ribosomal protein SA,590.1,9,34,79,0.151,0.199,0.388,0.262,0.146,0.277,0.251,0.326,437.17,8,32,19,0.195,0.425,0.124,0.255,0.162,0.191,0.335,0.312
IPI00590254.1,SERPINE1 mRNA binding protein 1,485.97,8,18,18,0.156,0.159,0.273,0.413,0.186,0.223,0.238,0.353,392.6,7,23,19,0.205,0.455,0.111,0.229,0.169,0.156,0.368,0.307
IPI00590272.3,Similar to Ribosomal protein L8,211.53,4,31,61,0.163,0.137,0.242,0.458,0.167,0.184,0.240,0.408,213.18,4,47,29,0.265,0.390,0.140,0.205,0.155,0.127,0.389,0.329
IPI00590301.2,Voltage-dependent anion channel 1,114.35,2,37,24,0.044,0.083,0.136,0.738,0.134,0.134,0.234,0.498,134.24,2,42,4,0.084,0.109,0.089,0.718,0.061,0.088,0.414,0.438
IPI00590344.3,Hypothetical protein,419.29,8,12,3,0.194,0.141,0.200,0.464,0.237,0.171,0.217,0.375,46.96,1,3,3,0.199,0.338,0.157,0.307,0.211,0.127,0.332,0.330
IPI00590345.2,Similar to multisynthetase complex p38 auxiliary component,149.17,3,6,1,0.127,0.122,0.166,0.586,0.254,0.198,0.266,0.281,95.92,2,5,1,0.213,0.160,0.187,0.439,0.160,0.137,0.347,0.356
IPI00590347.1,RNA-binding protein HuA,420.64,7,10,22,0.092,0.097,0.369,0.442,0.127,0.264,0.288,0.320,144.38,3,3,6,0.142,0.422,0.120,0.317,0.121,0.170,0.358,0.351
IPI00590367.1,Hypothetical protein,105.94,2,2,8,0.118,0.251,0.395,0.238,0.221,0.273,0.240,0.266,217.35,5,8,5,0.181,0.324,0.311,0.184,0.114,0.208,0.342,0.337
IPI00590375.1,78 kDa glucose-regulated protein precursor,2207.23,35,213,518,0.128,0.192,0.335,0.345,0.122,0.153,0.278,0.447,2015.58,32,281,341,0.200,0.227,0.309,0.265,0.118,0.127,0.376,0.380
IPI00590445.1,Similar to golgin-84,194.36,4,4,7,0.178,0.306,0.338,0.178,0.154,0.339,0.260,0.247,83.7,2,8,3,0.209,0.268,0.288,0.234,0.136,0.221,0.374,0.270
IPI00590454.1,Hypothetical protein (Fragment),200.4,3,34,96,0.479,0.276,0.132,0.113,0.592,0.172,0.114,0.122,155.22,2,50,10,0.670,0.211,0.059,0.060,0.366,0.116,0.259,0.258
IPI00590462.3,"Similar to Mahogunin, ring finger 1",142.65,3,4,11,0.376,0.261,0.164,0.199,0.460,0.189,0.143,0.208,115.66,3,5,1,0.439,0.296,0.146,0.119,0.259,0.126,0.327,0.288
IPI00590533.3,N-acetyltransferase 13 ,136.97,3,3,3,0.135,0.117,0.316,0.433,0.149,0.260,0.278,0.313,134.84,3,6,5,0.191,0.254,0.279,0.274,0.139,0.177,0.356,0.328
IPI00590569.1,Monocarboxylate transporter 4,359.33,6,46,85,0.427,0.261,0.145,0.168,0.539,0.136,0.144,0.181,235.98,4,13,9,0.561,0.262,0.070,0.106,0.408,0.087,0.271,0.234
IPI00590621.2,Electron-transferring-flavoprotein dehydrogenase ,389.08,8,27,1,0.061,0.073,0.086,0.780,0.120,0.135,0.208,0.537,394.15,7,19,9,0.178,0.187,0.079,0.556,0.105,0.108,0.398,0.389
IPI00590633.2,Similar to Heat-shock protein 105 kDa,581.36,11,16,21,0.186,0.127,0.413,0.274,0.180,0.297,0.271,0.253,531.92,11,17,19,0.187,0.174,0.383,0.256,0.128,0.202,0.352,0.318
IPI00590654.1,Phosphoribosyl pyrophosphate synthetase-associated protein 2,381.29,7,6,6,0.210,0.141,0.281,0.369,0.223,0.249,0.266,0.262,233.38,5,6,2,0.241,0.213,0.252,0.294,0.154,0.216,0.333,0.298
IPI00590689.2,Similar to copper chaperone,149.63,3,4,6,0.188,0.304,0.350,0.157,0.258,0.344,0.216,0.183,213.45,4,23,5,0.250,0.344,0.221,0.185,0.217,0.262,0.270,0.251
IPI00590781.1,Similar to turkey RAP1Ab,654.2,11,21,28,0.440,0.274,0.165,0.122,0.458,0.138,0.184,0.220,561.98,10,39,28,0.536,0.236,0.116,0.113,0.413,0.109,0.270,0.207
IPI00590829.2,Hypothetical protein isoform 1,72.22,1,3,5,0.090,0.136,0.519,0.254,0.105,0.329,0.278,0.288,94.91,2,1,3,0.199,0.231,0.373,0.198,0.076,0.245,0.359,0.320
IPI00590835.3,"Protein phosphatase 6, catalytic subunit ",100.16,2,3,4,0.200,0.130,0.374,0.295,0.183,0.276,0.268,0.274,132.31,3,3,7,0.186,0.166,0.330,0.318,0.139,0.186,0.350,0.325
IPI00590885.1,"Alkaline phosphatase, tissue-nonspecific isozyme precursor",554.14,9,20,34,0.369,0.257,0.177,0.197,0.423,0.180,0.151,0.245,343.73,6,22,3,0.480,0.254,0.152,0.114,0.285,0.136,0.341,0.239
IPI00590958.1,Cell cycle control protein 50A,253.36,4,11,9,0.280,0.306,0.237,0.176,0.343,0.251,0.198,0.208,322.67,5,9,11,0.396,0.294,0.153,0.157,0.257,0.156,0.328,0.258
IPI00591027.2,Similar to Vesicle amine transport protein 1 homolog,776.72,13,61,67,0.303,0.243,0.200,0.254,0.358,0.203,0.198,0.241,661.27,13,60,63,0.394,0.308,0.116,0.182,0.262,0.167,0.301,0.269
IPI00591045.1,S-phase kinase-associated protein 1,116.69,2,4,10,0.217,0.185,0.322,0.277,0.239,0.219,0.240,0.302,208.57,5,15,10,0.252,0.279,0.187,0.281,0.154,0.195,0.339,0.312
IPI00591069.3,Similar to Slc7a3-prov protein,679.52,11,47,59,0.273,0.315,0.211,0.200,0.458,0.216,0.162,0.164,409.29,6,43,10,0.519,0.271,0.101,0.110,0.308,0.154,0.312,0.226
IPI00591072.2,"Calcium regulated heat stable protein 1, 24kDa",166.2,3,6,9,0.134,0.228,0.329,0.310,0.168,0.317,0.250,0.265,119.22,2,14,1,0.186,0.316,0.323,0.174,0.155,0.272,0.299,0.274
IPI00591099.1,EH-domain containing 3,1083.18,21,70,91,0.348,0.226,0.181,0.245,0.453,0.178,0.164,0.206,871.19,17,69,43,0.404,0.276,0.125,0.195,0.307,0.156,0.305,0.232
IPI00591146.3,Nucleosome assembly protein 1-like 4,562.69,10,9,21,0.132,0.132,0.480,0.255,0.154,0.292,0.259,0.295,558.47,10,16,22,0.134,0.161,0.448,0.257,0.101,0.230,0.337,0.332
IPI00591151.3,Integral membrane protein 2A,140.67,3,11,7,0.141,0.380,0.252,0.227,0.229,0.329,0.178,0.264,132.75,3,6,1,0.280,0.394,0.205,0.121,0.166,0.174,0.406,0.254
IPI00591166.2,Similar to Acyl-CoA synthetase long-chain family member 3,578.34,11,24,33,0.090,0.152,0.267,0.491,0.156,0.165,0.253,0.426,271.61,6,3,11,0.228,0.249,0.229,0.294,0.115,0.118,0.426,0.341
IPI00591175.2,Hypothetical protein,272.13,5,6,6,0.159,0.334,0.241,0.266,0.231,0.240,0.240,0.290,186.02,4,4,3,0.173,0.308,0.300,0.219,0.184,0.227,0.305,0.284
IPI00591219.2,Hypothetical protein ,155.11,3,2,2,0.123,0.245,0.403,0.230,0.146,0.339,0.280,0.235,106.94,2,6,2,0.132,0.170,0.256,0.442,0.133,0.251,0.298,0.319
IPI00591231.1,"Lectin, mannose-binding, 1",801.95,13,43,88,0.087,0.213,0.354,0.346,0.107,0.293,0.258,0.342,961.94,17,52,41,0.214,0.419,0.215,0.152,0.110,0.181,0.406,0.303
IPI00591354.2,Hypothetical protein,106.31,2,3,3,0.094,0.167,0.302,0.436,0.093,0.098,0.305,0.504,81.74,2,1,3,0.510,0.230,0.099,0.161,0.089,0.143,0.455,0.313
IPI00591371.1,"Splicing factor, arginine/serine-rich 2",128.18,2,6,15,0.099,0.123,0.406,0.372,0.105,0.279,0.284,0.332,81.31,2,2,4,0.208,0.168,0.374,0.251,0.118,0.220,0.327,0.335
IPI00591387.1,Dynamitin,624.58,11,16,22,0.255,0.216,0.166,0.364,0.336,0.197,0.209,0.258,373.42,7,9,11,0.227,0.218,0.181,0.375,0.230,0.171,0.295,0.304
IPI00591430.3,Similar to Enhancer of mRNA decapping 4,259.44,5,8,3,0.121,0.111,0.341,0.427,0.124,0.195,0.331,0.350,240.32,5,7,12,0.162,0.148,0.281,0.409,0.113,0.127,0.384,0.376
IPI00591433.1,Hypothetical protein,504.16,6,43,35,0.088,0.165,0.305,0.442,0.157,0.181,0.285,0.378,522.92,7,58,68,0.233,0.246,0.268,0.253,0.110,0.136,0.397,0.357
IPI00591483.1,Tubulin beta-7 chain,1485.13,23,168,386,0.192,0.165,0.237,0.405,0.248,0.224,0.245,0.283,1478.39,23,316,453,0.247,0.318,0.163,0.272,0.123,0.180,0.376,0.321
IPI00591488.1,Ig mu chain C region,654.64,11,74,113,0.230,0.265,0.242,0.264,0.296,0.172,0.216,0.316,478.39,9,74,34,0.457,0.266,0.122,0.154,0.232,0.131,0.335,0.302
IPI00591510.1,Similar to AKR1B1,402.62,8,16,32,0.177,0.224,0.352,0.247,0.142,0.399,0.237,0.222,382.29,7,15,12,0.159,0.270,0.372,0.199,0.110,0.255,0.342,0.293
IPI00591538.1,Similar to Ac39/physophilin,288.2,5,20,36,0.113,0.349,0.328,0.210,0.225,0.332,0.245,0.197,353.18,8,22,9,0.280,0.343,0.247,0.131,0.151,0.186,0.399,0.265
IPI00591591.2,Similar to RAS protein activator like 2,153.04,3,8,11,0.414,0.217,0.187,0.182,0.408,0.192,0.160,0.240,152.2,3,9,5,0.455,0.311,0.092,0.142,0.337,0.121,0.276,0.266
IPI00591604.1,Protein serine/threonine kinase (Fragment),93.06,2,4,7,0.255,0.176,0.377,0.193,0.187,0.328,0.240,0.245,125.48,3,7,4,0.307,0.288,0.191,0.215,0.137,0.230,0.341,0.291
IPI00591640.3,Similar to cytochrome b-5 reductase,329.66,6,35,24,0.077,0.135,0.186,0.601,0.174,0.161,0.240,0.425,263.53,5,23,22,0.194,0.233,0.169,0.403,0.107,0.121,0.404,0.368
IPI00591767.2,Myristoylated alanine-rich C-kinase substrate,760.82,11,28,24,0.398,0.278,0.128,0.195,0.511,0.145,0.148,0.196,647.13,9,31,25,0.546,0.234,0.103,0.117,0.416,0.108,0.253,0.223
IPI00591819.2,RNA binding motif protein 25 ,258.78,5,10,7,0.128,0.121,0.317,0.434,0.143,0.234,0.284,0.338,185.61,4,6,2,0.201,0.327,0.180,0.291,0.125,0.158,0.363,0.355
IPI00591852.1,14-3-3 protein beta/alpha,702.44,12,19,35,0.213,0.202,0.330,0.254,0.206,0.343,0.236,0.215,825.7,14,60,39,0.289,0.299,0.221,0.190,0.164,0.208,0.362,0.266
IPI00591857.3,Similar to translocated promoter region,636.93,12,14,18,0.081,0.090,0.360,0.469,0.134,0.252,0.305,0.309,397.64,10,14,23,0.274,0.178,0.181,0.366,0.112,0.171,0.368,0.349
IPI00591896.2,Similar to Dodecenoyl-Coenzyme A delta isomerase,96.91,2,4,2,0.116,0.127,0.140,0.618,0.135,0.237,0.252,0.377,175.17,4,9,1,0.113,0.242,0.090,0.555,0.124,0.174,0.321,0.382
IPI00591966.1,Ras-related protein Rab-8A,541.47,10,33,25,0.205,0.194,0.153,0.448,0.307,0.214,0.189,0.289,490.3,10,18,14,0.433,0.273,0.127,0.167,0.224,0.138,0.347,0.291
IPI00591975.3,Similar to DnaJ domain-containing protein RME-8,1795.05,34,79,62,0.167,0.426,0.263,0.144,0.190,0.321,0.253,0.236,1103.42,23,72,21,0.260,0.420,0.168,0.152,0.167,0.245,0.339,0.249
IPI00592028.2,Hypothetical protein,569.44,10,14,32,0.160,0.392,0.291,0.158,0.256,0.363,0.208,0.172,428.07,8,18,1,0.311,0.338,0.272,0.079,0.212,0.298,0.309,0.181
IPI00592043.1,Phosphatidylinositol-4-phosphate 5-kinase type-2 alpha,274.49,5,4,7,0.504,0.213,0.128,0.154,0.586,0.133,0.135,0.146,195.03,4,6,8,0.580,0.215,0.077,0.128,0.391,0.112,0.242,0.255
IPI00592089.1,Hypothetical protein,58.8,1,1,2,0.223,0.175,0.334,0.268,0.103,0.165,0.325,0.407,99.25,2,2,4,0.273,0.244,0.312,0.172,0.099,0.232,0.366,0.303
IPI00592098.1,Hypothetical protein,275.01,5,23,51,0.107,0.199,0.283,0.410,0.172,0.233,0.240,0.355,368.65,7,33,15,0.259,0.337,0.209,0.195,0.151,0.217,0.325,0.307
IPI00592100.1,"Adaptor-related protein complex 1, gamma 1 subunit ",411.03,9,15,44,0.214,0.203,0.283,0.300,0.252,0.224,0.240,0.284,377.69,9,28,11,0.351,0.294,0.139,0.216,0.159,0.135,0.351,0.356
IPI00592131.3,Similar to KIAA1902 protein,85.15,2,3,1,0.144,0.204,0.454,0.197,0.070,0.444,0.278,0.208,112.78,3,2,1,0.150,0.206,0.435,0.210,0.068,0.260,0.371,0.302
IPI00592166.2,Nucleoporin 93kDa,293.07,6,10,9,0.195,0.147,0.326,0.333,0.142,0.248,0.286,0.324,274.04,6,7,11,0.147,0.145,0.311,0.396,0.104,0.174,0.369,0.353
IPI00592172.3,"Eukaryotic translation initiation factor 3, subunit 3 gamma",184.53,3,2,5,0.273,0.123,0.239,0.366,0.198,0.221,0.245,0.336,140.2,2,7,6,0.228,0.210,0.201,0.361,0.163,0.129,0.383,0.325
IPI00592181.2,Uncharacterized protein KIAA0776 homolog,719.97,15,27,44,0.108,0.159,0.266,0.468,0.187,0.175,0.235,0.403,395.85,9,10,19,0.237,0.275,0.253,0.235,0.099,0.112,0.409,0.379
IPI00592268.1,Protein O-fucosyltransferase 1,173.01,4,4,10,0.156,0.224,0.348,0.272,0.147,0.189,0.281,0.382,107.77,2,1,5,0.252,0.241,0.266,0.241,0.139,0.131,0.320,0.411
IPI00592304.1,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa",465.92,9,20,2,0.095,0.114,0.159,0.631,0.153,0.180,0.223,0.444,710.03,13,30,6,0.147,0.189,0.090,0.574,0.126,0.118,0.387,0.369
IPI00592307.1,Hypothetical protein,1430.95,25,122,137,0.441,0.226,0.147,0.186,0.516,0.145,0.148,0.191,1216.9,23,110,52,0.525,0.248,0.087,0.140,0.414,0.125,0.246,0.215
IPI00592352.3,Similar to KIAA1008 protein,182.45,4,5,11,0.138,0.168,0.353,0.341,0.154,0.228,0.276,0.341,73.92,2,5,6,0.223,0.302,0.129,0.346,0.142,0.181,0.342,0.335
IPI00592409.2,Similar to Transmembrane 9 superfamily protein member 3 precursor,324.11,7,22,39,0.110,0.327,0.346,0.218,0.129,0.465,0.209,0.196,250.32,6,15,9,0.177,0.415,0.263,0.145,0.123,0.295,0.378,0.204
IPI00592465.1,CDK5 regulatory subunit associated protein 3,392.87,8,8,27,0.165,0.201,0.334,0.300,0.152,0.154,0.277,0.416,156.42,3,4,6,0.169,0.241,0.152,0.439,0.127,0.131,0.379,0.363
IPI00592494.1,Septin 9,891.99,17,114,183,0.478,0.274,0.127,0.121,0.589,0.122,0.134,0.155,738.94,14,102,74,0.543,0.225,0.077,0.155,0.417,0.119,0.234,0.229
IPI00592517.2,"Similar to thimet oligopeptidase, partial",265.33,6,7,14,0.122,0.127,0.516,0.235,0.126,0.417,0.249,0.208,191.3,5,11,14,0.123,0.165,0.438,0.273,0.096,0.255,0.365,0.284
IPI00592530.1,Nuclear transport factor 2,133.79,2,8,21,0.130,0.206,0.480,0.184,0.129,0.386,0.246,0.239,74.15,1,17,31,0.142,0.243,0.413,0.201,0.107,0.274,0.341,0.278
IPI00592577.1,Similar to RIKEN cDNA 1700012G19 ,200.49,4,6,11,0.158,0.149,0.465,0.228,0.175,0.347,0.240,0.238,176.02,4,5,11,0.334,0.326,0.125,0.215,0.123,0.228,0.331,0.318
IPI00592623.1,"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2",728.48,14,41,33,0.155,0.126,0.175,0.543,0.241,0.183,0.254,0.323,669.19,13,70,48,0.256,0.288,0.107,0.349,0.171,0.137,0.336,0.356
IPI00592693.2,Similar to KIAA1919,169.4,3,3,2,0.104,0.372,0.287,0.236,0.254,0.347,0.202,0.198,54.18,1,2,3,0.290,0.361,0.162,0.189,0.129,0.227,0.372,0.271
IPI00592719.2,Similar to Hydroxymethylbilane synthase,117.25,3,3,4,0.110,0.248,0.477,0.166,0.135,0.387,0.250,0.228,196.06,5,8,9,0.168,0.268,0.351,0.212,0.133,0.231,0.338,0.298
IPI00592868.1,Hydrogen voltage-gated channel 1,229.2,4,21,18,0.136,0.385,0.234,0.245,0.278,0.253,0.195,0.273,203.12,4,18,10,0.350,0.366,0.190,0.094,0.255,0.271,0.302,0.173
IPI00592914.4,Histone-binding protein RBBP4,423.08,7,9,10,0.111,0.147,0.397,0.346,0.123,0.331,0.274,0.273,419.25,7,36,24,0.185,0.316,0.215,0.284,0.103,0.195,0.373,0.328
IPI00592949.1,Proteasome alpha 5 subunit,465.43,7,33,10,0.135,0.143,0.163,0.559,0.259,0.250,0.226,0.265,501.67,8,38,20,0.234,0.261,0.169,0.336,0.176,0.174,0.328,0.322
IPI00592971.2,T-complex protein 1 subunit zeta,927.22,16,76,64,0.189,0.149,0.185,0.477,0.262,0.200,0.223,0.314,1010.83,19,113,105,0.243,0.310,0.136,0.311,0.136,0.147,0.346,0.372
IPI00592982.3,Similar to HIV-1 Rev binding protein,272.52,5,11,27,0.428,0.250,0.187,0.135,0.465,0.180,0.180,0.175,245.53,5,16,16,0.512,0.234,0.137,0.118,0.370,0.129,0.268,0.232
IPI00592986.2,Hypothetical protein,207.11,4,5,5,0.072,0.174,0.249,0.504,0.158,0.140,0.224,0.478,123.46,3,4,6,0.268,0.220,0.309,0.204,0.099,0.097,0.407,0.398
IPI00592996.2,"Similar to Chain A, Human Thymidylate Synthase Complexed With Dump And Raltitrexed, An Antifolate Drug, Is In The Closed Conformation",219.8,4,5,13,0.162,0.183,0.421,0.233,0.185,0.312,0.256,0.248,202.78,5,9,8,0.144,0.212,0.393,0.251,0.122,0.241,0.337,0.300
IPI00593013.2,Hypothetical protein,192.35,5,10,29,0.292,0.307,0.214,0.187,0.487,0.170,0.156,0.187,183.7,5,13,9,0.558,0.266,0.091,0.086,0.387,0.138,0.262,0.213
IPI00593024.3,Minichromosome maintenance complex component 5,414.43,8,22,17,0.115,0.145,0.242,0.499,0.150,0.166,0.287,0.396,367.49,7,18,14,0.202,0.336,0.174,0.288,0.120,0.175,0.366,0.339
IPI00593042.1,Similar to thioredoxin-like protein,178.31,3,8,9,0.115,0.143,0.265,0.478,0.185,0.315,0.244,0.257,130.59,2,6,3,0.153,0.219,0.269,0.360,0.138,0.209,0.332,0.321
IPI00593144.1,Ras-GTPase-activating protein SH3-domain-binding protein,663.44,12,31,42,0.131,0.145,0.301,0.423,0.158,0.225,0.257,0.360,424.77,9,30,19,0.228,0.347,0.206,0.219,0.176,0.164,0.333,0.327
IPI00593255.1,"Eukaryotic translation initiation factor 3, subunit 6 48kDa",208.28,4,7,13,0.181,0.137,0.214,0.468,0.234,0.196,0.246,0.324,207.57,4,13,10,0.240,0.352,0.127,0.281,0.170,0.130,0.375,0.324
IPI00593326.1,Mitogen-activated protein kinase kinase 1-interacting protein 1,151.43,3,7,18,0.213,0.277,0.255,0.255,0.243,0.318,0.232,0.207,152.99,3,10,6,0.258,0.266,0.313,0.164,0.118,0.177,0.480,0.225
IPI00593340.2,Similar to KIAA1706 protein,782.81,15,23,75,0.462,0.245,0.171,0.122,0.581,0.151,0.118,0.149,846.89,18,42,15,0.552,0.231,0.088,0.130,0.462,0.138,0.242,0.158
IPI00593376.1,"Similar to NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5",152.52,3,7,3,0.201,0.149,0.173,0.477,0.174,0.191,0.257,0.378,101.57,2,9,1,0.186,0.191,0.106,0.517,0.265,0.119,0.300,0.317
IPI00593381.2,"RAP1, GTP-GDP dissociation stimulator 1",269.53,5,7,21,0.167,0.174,0.459,0.200,0.147,0.364,0.257,0.232,392.13,8,12,17,0.196,0.220,0.364,0.220,0.115,0.261,0.332,0.292
IPI00593463.3,RTN3w (Fragment),149.42,3,19,19,0.166,0.198,0.280,0.356,0.173,0.137,0.269,0.422,103.48,2,26,22,0.261,0.276,0.276,0.187,0.125,0.138,0.392,0.345
IPI00593478.1,Replication factor C (activator 1) 3,164.9,3,4,1,0.129,0.201,0.252,0.418,0.201,0.193,0.276,0.330,106.53,2,2,1,0.191,0.259,0.219,0.332,0.105,0.157,0.355,0.384
IPI00593518.1,Signal recognition particle receptor ('docking protein'),1062.96,19,22,58,0.073,0.121,0.241,0.566,0.145,0.156,0.248,0.451,413.33,9,10,8,0.264,0.308,0.155,0.273,0.120,0.121,0.426,0.334
IPI00593521.3,Similar to WASP-family protein,220.64,4,7,10,0.454,0.248,0.169,0.129,0.507,0.142,0.167,0.184,129.16,3,4,3,0.440,0.270,0.103,0.186,0.339,0.128,0.257,0.276
IPI00593550.2,Hypothetical protein,94.15,2,4,2,0.222,0.280,0.310,0.188,0.204,0.355,0.234,0.207,161.28,3,9,2,0.196,0.299,0.305,0.199,0.187,0.230,0.309,0.275
IPI00593582.3,Similar to oxytocinase splice,1078.68,19,73,79,0.209,0.383,0.244,0.163,0.328,0.322,0.169,0.181,489.35,11,37,9,0.403,0.329,0.156,0.113,0.284,0.291,0.252,0.173
IPI00593602.2,Similar to FKBP-rapamycin associated protein,347.13,7,29,29,0.255,0.276,0.253,0.217,0.356,0.208,0.199,0.236,71.77,2,15,9,0.632,0.209,0.079,0.080,0.411,0.135,0.233,0.221
IPI00593622.2,Prolylcarboxypeptidase (angiotensinase C),269.89,6,8,19,0.151,0.368,0.335,0.146,0.098,0.179,0.342,0.381,76.67,2,3,9,0.161,0.349,0.279,0.212,0.120,0.151,0.355,0.375
IPI00593635.3,Similar to Cation-dependent mannose-6-phosphate receptor precursor,306.35,6,17,33,0.128,0.333,0.297,0.242,0.188,0.367,0.232,0.213,72.48,2,5,3,0.220,0.347,0.344,0.089,0.113,0.223,0.388,0.275
IPI00593691.2,Epsin 4,583.62,10,37,36,0.183,0.238,0.284,0.294,0.240,0.230,0.264,0.266,456.39,8,26,24,0.209,0.280,0.324,0.187,0.124,0.199,0.370,0.307
IPI00593747.3,Similar to Acyl-CoA synthetase,362.33,7,6,17,0.471,0.212,0.171,0.146,0.441,0.168,0.189,0.202,271.45,6,25,10,0.456,0.253,0.115,0.175,0.273,0.159,0.282,0.286
IPI00593783.1,Myosin IG,1730.8,31,83,111,0.507,0.207,0.137,0.149,0.543,0.140,0.145,0.172,1094.79,22,61,30,0.544,0.224,0.079,0.153,0.389,0.109,0.265,0.237
IPI00593819.1,Similar to elongation factor SIII p15 subunit ,192.7,4,8,2,0.182,0.205,0.353,0.260,0.273,0.344,0.211,0.173,189.27,4,6,3,0.206,0.241,0.313,0.241,0.105,0.231,0.352,0.312
IPI00593871.3,Hypothetical protein,164.08,3,20,6,0.296,0.304,0.187,0.214,0.519,0.166,0.147,0.168,74.59,2,7,8,0.588,0.208,0.095,0.109,0.352,0.105,0.287,0.257
IPI00593872.2,26 kDa protein,287.75,5,10,5,0.178,0.155,0.162,0.506,0.291,0.241,0.226,0.243,218.6,4,3,1,0.260,0.319,0.097,0.324,0.197,0.147,0.289,0.367
IPI00593920.1,"Phenylalanyl-tRNA synthetase, beta subunit ",385.55,8,18,22,0.202,0.161,0.277,0.360,0.216,0.231,0.254,0.300,294.34,6,17,15,0.228,0.321,0.202,0.249,0.157,0.191,0.336,0.316
IPI00593934.1,B6.1,357.65,6,127,157,0.461,0.307,0.150,0.082,0.581,0.177,0.129,0.113,254.01,4,111,37,0.651,0.220,0.076,0.053,0.541,0.116,0.184,0.159
IPI00593986.1,Bleomycin hydrolase,154.85,3,7,5,0.185,0.130,0.215,0.470,0.246,0.157,0.277,0.320,88.66,2,2,5,0.195,0.204,0.248,0.354,0.150,0.095,0.397,0.358
IPI00594001.2,Similar to KIAA0255,386.67,8,48,63,0.141,0.434,0.249,0.177,0.218,0.434,0.179,0.169,601.77,13,51,22,0.245,0.454,0.198,0.103,0.161,0.306,0.343,0.191
IPI00594086.1,Lamin-B receptor,444.77,10,50,68,0.075,0.120,0.205,0.600,0.113,0.176,0.290,0.421,256.34,6,37,41,0.195,0.291,0.201,0.312,0.075,0.115,0.418,0.391
