Lead gene name,Lead ID,Lead protein name,Majority protein IDs,Organellar markers,Profiled in how many Control Maps,Log2 Ratio H/L Con1_03K,Log2 Ratio H/L Con1_06K,Log2 Ratio H/L Con1_12K,Log2 Ratio H/L Con1_24K,Log2 Ratio H/L Con1_80K,Log2 Ratio H/L Con2_03K,Log2 Ratio H/L Con2_06K,Log2 Ratio H/L Con2_12K,Log2 Ratio H/L Con2_24K,Log2 Ratio H/L Con2_80K,Log2 Ratio H/L Con3_03K,Log2 Ratio H/L Con3_06K,Log2 Ratio H/L Con3_12K,Log2 Ratio H/L Con3_24K,Log2 Ratio H/L Con3_80K
LMAN1,P49257,Protein ERGIC-53,P49257,Ergic/cisGolgi,3,0.738897511,-0.03157742,-0.458723069,-0.397106092,0.008630305,0.77677779,-0.100020088,-0.41077343,-0.169842049,0.018064389,0.825052902,0.018634174,-0.398569706,-0.278741098,0.102322191
LMAN2,Q12907,Vesicular integral-membrane protein VIP36,Q12907,Ergic/cisGolgi,3,0.582748671,0.135140816,-0.375814863,-0.426916369,-0.027792614,0.669208225,0.059493725,-0.343732465,-0.304380267,-0.119917928,0.774671112,0.23511432,-0.304344637,-0.375571523,0.026587622
LMAN2L,Q9H0V9,VIP36-like protein,Q9H0V9;Q9H0V9-2;Q9H0V9-3,Ergic/cisGolgi,3,1.11483341,-0.026601793,-0.594617512,-0.561749738,-0.037754539,0.701415981,-0.013130388,-0.421515294,-0.238204128,-0.127084583,0.855351901,0.301704696,-0.319387583,-0.4416148,-0.006579242
LMBRD2,Q68DH5,LMBR1 domain-containing protein 2,Q68DH5,,1,,,,,,,,,,,0.799501814,0.164142649,-0.445578142,-0.673715778,-0.460965297
LMNA,P02545,Prelamin-A/C,P02545;P02545-6;P02545-3;P02545-5;P02545-4,,3,-1.551817933,-0.174800523,-0.391493519,0.40522998,2.004069868,-1.597277823,-0.226408699,-0.587662866,0.306612224,1.582796834,-1.849596299,0.155490198,-0.302724361,0.314174451,1.963548106
LMNB1,P20700,Lamin-B1,P20700,,3,-1.975907311,-0.353726725,-0.030707656,0.997328542,2.28359587,-1.965897,-0.422269069,-0.081537435,1.093830572,1.925429821,-2.327420779,-0.301408114,0.239275826,1.194591403,2.239550797
LMO7,Q8WWI1-3,LIM domain only protein 7,Q8WWI1-3;Q8WWI1;Q8WWI1-2;Q8WWI1-4;Q8WWI1-5,Actin binding proteins,3,-1.40801427,-0.183146385,1.280778192,1.354903461,1.117163075,-1.10166006,-0.17078366,1.401903472,1.578214165,1.180466161,-1.17078366,-0.280387211,1.269631651,1.415920879,1.340733161
LNP,Q9C0E8,Protein lunapark,Q9C0E8;Q9C0E8-2;Q9C0E8-4;Q9C0E8-3,,2,,,,,,0.308826824,-0.644848384,-0.63039393,0.679153521,1.755400369,0.751720787,-0.37900078,-0.538471441,1.091327478,2.673420741
LNPEP,Q9UIQ6,Leucyl-cystinyl aminopeptidase,Q9UIQ6;Q9UIQ6-3;Q9UIQ6-2,,3,1.390777727,0.016924144,-1.096714873,-0.587120944,0.270229907,1.375289709,-0.126265532,-1.045818582,-0.190371534,0.308710351,1.487023213,-0.089144561,-0.98034078,-0.388733175,0.422017657
LOH12CR1,Q969J3,Loss of heterozygosity 12 chromosomal region 1 protein,Q969J3;Q969J3-2,,1,,,,,,,,,,,1.74196308,-0.044092087,-0.723110332,-0.510148829,0.415434186
LONP1,P36776,"Lon protease homolog, mitochondrial",P36776;P36776-2;P36776-3,Mitochondrion,3,-1.152676508,-0.542857524,3.269212724,5.333244817,5.385154897,-0.981878622,-0.627783363,3.258081678,5.23935985,5.332886917,-0.906899612,-0.375964631,3.351062899,4.778734244,5.211362698
LONP2,Q86WA8,"Lon protease homolog 2, peroxisomal",Q86WA8;Q86WA8-2,,3,0.685805625,-0.754601697,-0.675350665,0.931985556,1.800496148,0.714047649,-0.802210079,-0.665637675,1.355692898,3.165156235,0.550014095,-0.943888199,-0.95452907,0.762051103,3.583759754
LPCAT1,Q8NF37,Lysophosphatidylcholine acyltransferase 1,Q8NF37,,3,0.468739698,-0.768149836,-0.768198977,0.733788169,3.059459115,0.469365054,-0.699114851,-0.614668367,1.238909117,3.101717302,0.688851744,-0.594530372,-0.663670904,0.957840327,2.799398198
LPCAT2,Q7L5N7,Lysophosphatidylcholine acyltransferase 2,Q7L5N7;Q7L5N7-2,,2,,,,,,0.394953085,-0.66154706,-0.70188133,1.094438776,2.040050759,0.462471189,-0.67035971,-0.67592677,1.007913082,2.22607689
LPCAT3,Q6P1A2,Lysophospholipid acyltransferase 5,Q6P1A2;Q6P1A2-2,,3,0.527971113,-0.681168364,-0.70966997,0.803723007,3.248079368,0.474565835,-0.725016799,-0.605354161,1.108089492,3.184312037,0.698396303,-0.368364848,-0.511279347,1.162274498,3.265226838
LPCAT4,Q643R3,Lysophospholipid acyltransferase LPCAT4,Q643R3,,1,0.182819402,-0.589550345,-0.860268578,0.681674142,1.60757888,,,,,,,,,,
LPGAT1,Q92604,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,Q92604,,3,0.608430781,-0.481283591,-0.703078655,0.849118567,2.58748501,0.487177608,-0.607220989,-0.632942111,1.398569276,2.954345226,0.500598124,-0.584933647,-0.784010846,1.03231247,3.33714018
LPL,P06858,Lipoprotein lipase,P06858,,1,0.640713465,-0.488896349,-0.475494955,0.59091335,1.376179232,,,,,,,,,,
LPP,Q93052,Lipoma-preferred partner,Q93052,,2,,,,,,-1.225261426,-0.658788451,-0.527637008,0.314638527,0.70194821,-1.066457576,-0.550021394,-0.151955004,0.272142662,1.447526301
LRCH3,Q96II8,Leucine-rich repeat and calponin homology domain-containing protein 3,Q96II8;Q96II8-2;Q96II8-4;Q96II8-3,,3,1.089226942,1.063710013,0.389897162,-0.235416048,-0.406120405,0.771885579,0.589667624,0.161952159,-0.310682946,-0.527491433,0.55345881,0.531468799,0.082838815,-0.414345172,-0.524977393
LRP1,Q07954,Prolow-density lipoprotein receptor-related protein 1,Q07954,,3,0.957914599,-0.578413127,-0.858488733,0.473838853,1.474254316,1.06502077,-0.585669595,-0.83681045,0.563548655,1.343123519,0.210014738,-1.070814986,-1.478667789,0.098150021,1.352927978
LRP8,Q14114,Low-density lipoprotein receptor-related protein 8,Q14114;Q14114-4;Q14114-2;Q14114-3,,3,0.651499503,0.260025656,-0.607330877,-0.830639363,-0.078441799,0.682932803,0.327802315,-0.636974742,-0.286409752,-0.172457349,0.74002087,0.352871496,-0.598522439,-0.693107849,0.001153695
LRPAP1,P30533,Alpha-2-macroglobulin receptor-associated protein,P30533,ER,3,0.560519322,-0.633993989,-0.594704658,0.895225055,2.153902593,0.47518867,-0.751635188,-0.502382525,1.297367523,2.270259814,0.318692833,-0.8342874,-0.836037619,0.769179309,2.05630606
LRPPRC,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",P42704,,3,-1.033658135,-0.560834342,3.09080263,4.900818516,4.754887502,-0.948029365,-0.614845103,3.082821787,4.941575862,4.656610775,-0.853058092,-0.368886402,3.24011585,4.941012382,4.878136767
LRRC1,Q9BTT6,Leucine-rich repeat-containing protein 1,Q9BTT6,,1,,,,,,,,,,,-0.655739605,-0.322090407,0.168770384,0.926151273,2.848738101
LRRC16A,Q5VZK9,Leucine-rich repeat-containing protein 16A,Q5VZK9;Q5VZK9-2,,3,0.655351829,1.108357178,0.339593501,-0.404076291,-0.875565983,0.511468039,0.790271594,0.027295624,-0.595859834,-0.816316587,0.396707521,0.578310793,-0.095666201,-0.743182559,-1.063107698
LRRC40,Q9H9A6,Leucine-rich repeat-containing protein 40,Q9H9A6,,3,-0.218934102,0.805127331,0.170822399,-0.24249878,-0.645119101,0.159500022,0.428356822,0.046421211,-0.382362984,-0.579037992,-0.020647749,0.563841479,0.179638435,-0.599199786,-0.825874861
LRRC47,Q8N1G4,Leucine-rich repeat-containing protein 47,Q8N1G4,,3,1.571142829,1.615275034,0.868923771,0.094641454,-1.296084248,1.385486259,1.268134924,0.660928617,0.114100452,-1.439363296,1.125584982,1.222680931,0.720190894,-0.20999538,-1.646925179
LRRC57,Q8N9N7,Leucine-rich repeat-containing protein 57,Q8N9N7,,2,,,,,,-0.245163795,-0.362009598,-0.374392843,0.724562965,1.771927824,-0.185178904,-0.240060167,-0.235144329,0.509949146,1.853396894
LRRC59,Q96AG4,Leucine-rich repeat-containing protein 59,Q96AG4,,3,0.617110375,-0.694764872,-0.622576357,1.411643176,4.025294623,0.604545816,-0.754260968,-0.461561165,2.022048165,4.226431461,0.564231818,-0.758672323,-0.631198133,1.659193895,4.285254243
LRRC8A,Q8IWT6,Volume-regulated anion channel subunit LRRC8A,Q8IWT6,Plasma membrane,3,-0.568986872,-0.5107037,-0.307769222,1.068326861,3.316884283,-0.506619097,-0.492098826,-0.297129725,1.21263159,2.679671508,-0.465579761,-0.565865542,-0.277254207,1.479178814,3.607626221
LRRC8D,Q7L1W4,Volume-regulated anion channel subunit LRRC8D,Q7L1W4,,3,-0.228773607,-0.434207879,-0.521763316,0.938473998,3.337425664,-0.091417635,-0.504816522,-0.243984431,1.449376487,3.246149626,-0.238272198,-0.644081628,-0.439030762,1.162274498,3.157884498
LRRC8E,Q6NSJ5,Volume-regulated anion channel subunit LRRC8E,Q6NSJ5,,1,,,,,,-0.206328808,-0.568687273,-0.249050548,1.615133758,2.364516404,,,,,
LRRFIP1,Q32MZ4-3,Leucine-rich repeat flightless-interacting protein 1,Q32MZ4-3;Q32MZ4;Q32MZ4-2,,3,0.511771626,0.791939065,0.187641078,-0.48630714,-1.077162787,0.45817199,0.766043843,-0.231294811,-0.63890543,-1.106125267,0.374622206,0.781065898,-0.060713233,-0.918278613,-1.227083991
LSG1,Q9H089,Large subunit GTPase 1 homolog,Q9H089,,3,0.555325359,-0.580741585,-0.628786868,0.601411277,1.273277161,0.638398262,-0.550148135,-0.522820061,1.159887479,1.29130886,0.655809754,-0.421264124,-0.612086076,0.864413986,1.596171862
LSM12,Q3MHD2,Protein LSM12 homolog,Q3MHD2;Q3MHD2-2,,3,1.998376054,1.246651303,-0.007347569,-0.939952616,-0.86988623,1.962104764,1.016852849,-0.162751033,-0.915473058,-1.090065646,1.743644217,1.007482576,-0.297661613,-1.308358642,-1.135015579
LSM14A,Q8ND56,Protein LSM14 homolog A,Q8ND56;Q8ND56-2;Q8ND56-3,,3,2.423255444,1.922844822,0.027578727,-0.959851021,-1.219673101,2.362077074,1.547844628,-0.064796754,-0.770461296,-1.27519259,2.181102551,1.428892762,-0.101365965,-1.110728955,-1.341025376
LSM14B,Q9BX40,Protein LSM14 homolog B,Q9BX40;Q9BX40-2,,3,1.914487986,1.70372089,0.164657575,-0.872551608,-1.119416339,1.492776126,1.608478094,0.001586092,-0.785974694,-1.335480751,1.686791838,1.28475101,-0.137489097,-1.133305624,-1.373887989
LSM2,Q9Y333,U6 snRNA-associated Sm-like protein LSm2,Q9Y333,,3,0.502534286,1.009705472,-0.245899248,-1.22610492,-1.650589427,0.151858817,0.735955354,-0.196260464,-1.018118128,-1.585972741,0.046840254,1.058039361,0.024177814,-1.031533182,-1.549704589
LSM3,P62310,U6 snRNA-associated Sm-like protein LSm3,P62310,,1,,,,,,0.122473941,0.360645202,-0.086032577,-1.151394084,-1.843215092,,,,,
LSM4,Q9Y4Z0,U6 snRNA-associated Sm-like protein LSm4,Q9Y4Z0,,3,0.463622457,1.503196061,-0.224148769,-1.200912694,-1.744632212,0.21126145,1.065848003,0.021479727,-0.934951648,-1.703266561,-0.043571567,0.976070301,-0.035593974,-1.227523101,-1.42813877
LSM8,O95777,U6 snRNA-associated Sm-like protein LSm8,O95777,,1,,,,,,,,,,,-0.403618196,0.94912401,-0.005014858,-1.279248741,-1.514078619
LSR,Q86X29,Lipolysis-stimulated lipoprotein receptor,Q86X29;Q86X29-6;Q86X29-5;Q86X29-4;Q86X29-3;Q86X29-2,Plasma membrane,1,,,,,,-0.035224339,-0.415133682,-0.582339182,0.680054248,2.735283875,,,,,
LSS,P48449,Lanosterol synthase,P48449;P48449-3;P48449-2,ER,3,0.317304068,-0.645344737,-0.650906527,0.742696124,2.28682202,0.324925784,-0.654830749,-0.607264943,1.178109076,2.394376945,0.356031095,-0.627961713,-0.532303164,1.112433251,2.908005849
LTA4H,P09960,Leukotriene A-4 hydrolase,P09960;P09960-4;P09960-2;P09960-3,,3,-0.878772356,-0.880444615,-1.537717287,-1.817612798,-0.819699346,-1.14566916,-1.065491047,-2.231548867,-1.706982728,-0.980483104,-1.21380514,-0.726257355,-1.153061458,-1.735091309,-0.125856181
LTBR,P36941,Tumor necrosis factor receptor superfamily member 3,P36941;P36941-2,,1,0.281312491,-0.404458148,-0.835213722,0.698218478,1.999061943,,,,,,,,,,
LTN1,O94822,E3 ubiquitin-protein ligase listerin,O94822;O94822-3,,2,1.364012054,0.979147348,0.677530793,0.111832587,-1.426974555,1.41921526,1.059770581,0.367594722,0.163885117,-1.475896194,,,,,
LTV1,Q96GA3,Protein LTV1 homolog,Q96GA3,,1,,,,,,0.900026299,1.410286826,0.842053602,0.47238379,-1.484146282,,,,,
LUC7L,Q9NQ29,Putative RNA-binding protein Luc7-like 1,Q9NQ29;Q9NQ29-2;Q9NQ29-3,,3,1.207955305,1.138879985,-0.04352696,-1.099030819,-1.644081628,0.410341105,0.864017717,-0.45341911,-1.175044822,-1.692221773,0.626953042,0.822281466,-0.299453748,-1.479271015,-1.817867094
LUC7L2,Q9Y383,Putative RNA-binding protein Luc7-like 2,Q9Y383,,3,0.808673355,1.305970521,0.134878054,-1.112661902,-1.683390816,0.759922794,0.956651456,-0.228824326,-1.316635909,-1.913053227,0.525668007,0.757706017,-0.445185246,-1.384320049,-1.778531199
LUC7L3,O95232,Luc7-like protein 3,O95232,,3,0.27464931,1.145481822,-0.434188385,-1.394221232,-1.953550849,0.354000719,1.05088474,-0.449000861,-1.487580936,-1.884540539,0.265436896,1.26116972,-0.301230335,-1.236435453,-1.802839148
LUZP1,Q86V48,Leucine zipper protein 1,Q86V48;Q86V48-2;Q86V48-3,,3,0.748976389,1.614851162,-0.001602281,-0.946165759,-0.730224745,0.834549424,1.095721922,-0.226628134,-0.832282407,-0.791507711,0.570851483,0.814509408,-0.399159372,-1.213504003,-0.91207557
LY6K,Q17RY6,Lymphocyte antigen 6K,Q17RY6;Q17RY6-2,,1,,,,,,0.301236441,-1.013625474,-0.692454898,1.37928825,3.208657714,,,,,
LYAR,Q9NX58,Cell growth-regulating nucleolar protein,Q9NX58,,1,,,,,,-0.685199082,0.832201406,-0.486468829,-1.060607907,-2.419044132,,,,,
LYN,P07948-2,Tyrosine-protein kinase Lyn,P07948-2,,3,-0.549599003,-0.314929991,-0.359194004,0.475914972,2.25664839,-0.289351135,-0.356753333,-0.172311027,0.84020136,2.561081695,-0.342927124,-0.386788982,-0.251126627,0.599793852,2.542827585
LYPD3,O95274,Ly6/PLAUR domain-containing protein 3,O95274,Plasma membrane,3,-0.53914213,-0.471288669,-0.44803617,0.271784214,2.500343172,-0.332153279,-0.483561187,-0.655716877,0.669571076,2.355467388,-0.487702308,-0.409623139,-0.488855857,0.347325492,2.465896126
LYPLA1,O75608,Acyl-protein thioesterase 1,O75608;O75608-2,,1,,,,,,,,,,,-0.78361343,-0.271112991,1.449429314,1.624194497,2.775303439
M6PR,P20645,Cation-dependent mannose-6-phosphate receptor,P20645,Endosome,3,1.739761711,1.018206857,-0.44907964,-0.931810741,-0.895555981,1.977573013,0.764091329,-0.410600828,-0.710732103,-0.818121434,1.892235576,0.895380183,-0.390377401,-0.888300928,-0.774231504
MACF1,Q9UPN3-2,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5",Q9UPN3-2;Q9UPN3-3,,3,-0.063951979,0.40599236,0.370945413,-0.114972363,-0.571128672,0.037593076,0.352419559,0.238175419,-0.206412036,-0.650612074,-0.005087245,0.265796925,0.201884743,-0.115347381,-0.644081628
MACROD1,Q9BQ69,O-acetyl-ADP-ribose deacetylase MACROD1,Q9BQ69,,3,-0.991771296,-0.578456212,2.410938033,3.407896549,3.516519498,-0.949700311,-0.60695729,2.249232941,3.657754319,2.867085956,-0.822834837,-0.374467651,2.117562069,3.245647774,3.626322315
MAGED2,Q9UNF1,Melanoma-associated antigen D2,Q9UNF1;Q9UNF1-2,,3,-0.183277429,0.224904644,-0.59948393,-1.279073672,-1.24694321,-0.055891201,-0.026807543,-0.80112872,-1.221219506,-1.198725436,0.099766486,0.167100969,-0.506373159,-1.325503191,-0.995678394
MAGOHB,Q96A72,Protein mago nashi homolog 2,Q96A72,,3,1.312490925,1.858458498,-0.119134272,-1.334279794,-1.936441836,1.182056609,1.55350796,-0.08311067,-1.03646669,-1.709292511,1.118891252,1.850519416,0.307894776,-1.086752489,-1.683205481
MAGT1,Q9H0U3,Magnesium transporter protein 1,Q9H0U3,,3,0.455544225,-0.712953307,-0.702796842,1.196544098,0.158078456,0.656450606,-0.739203506,-0.518763067,1.704030885,3.705867346,0.616169466,-0.647829066,-0.740456327,1.409255147,3.245495663
MAN1B1,Q9UKM7,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",Q9UKM7,,3,-1.197434523,-0.197401438,1.551442189,1.842536405,1.874639608,-0.843888197,-0.705829222,1.106616329,1.985354696,1.757321999,-0.777220164,-0.105519794,1.67337551,2.124261955,2.217602977
MAN2A1,Q16706,Alpha-mannosidase 2,Q16706,Golgi,3,-0.889182436,-0.254203342,1.097745622,2.043344505,2.216516949,-0.728956862,-0.629099212,1.026800059,1.941857519,2.061257771,-0.682325464,-0.243164572,1.196292286,2.302231302,1.27369491
MAN2B1,O00754,Lysosomal alpha-mannosidase,O00754;O00754-2,Lysosome,3,1.529321225,-0.818197745,-0.854935617,0.787432465,3.007446695,1.428410425,-0.763415542,-1.051279556,1.005615567,2.477107389,1.313361959,-0.701552826,-0.950341354,1.145220937,3.103833306
MANBAL,Q9NQG1,Protein MANBAL,Q9NQG1,,1,,,,,,,,,,,0.907736729,-0.658902338,-0.536524017,1.600412493,3.438825113
MANF,P55145,Mesencephalic astrocyte-derived neurotrophic factor,P55145,,3,0.542208514,-0.738168341,-0.653627396,1.13389227,2.923681653,0.587461007,-0.729387339,-0.481787174,1.564670824,2.799087306,0.760263535,-0.558282819,-0.477421921,1.429428502,3.154453593
MAP2K1,Q02750,Dual specificity mitogen-activated protein kinase kinase 1,Q02750;Q02750-2,,1,,,,,,-1.078411334,-0.294243218,-0.875936604,-0.608276265,-0.512616557,,,,,
MAP2K2,P36507,Dual specificity mitogen-activated protein kinase kinase 2,P36507,,2,,,,,,-1.351737055,-0.928374606,-1.289368766,-0.813398026,-0.199139435,-1.156337684,-0.422327067,-0.552727624,-0.452648888,0.537544572
MAP2K3,P46734,Dual specificity mitogen-activated protein kinase kinase 3,P46734;P46734-2;P46734-3,,3,0.010636636,0.713959698,-0.082652269,-0.347105134,-0.869200889,0.215616477,0.909888285,-0.433214065,-0.691359537,-1.122240047,0.21549223,0.457016363,-0.236061587,-1.00993099,-1.294490912
MAP4,P27816,Microtubule-associated protein 4,P27816;P27816-6;P27816-2,,3,2.677215051,2.308943288,0.59664896,-0.52755382,-1.300697129,2.441563155,1.753305013,0.083111227,-0.76748659,-1.438307279,2.229434109,1.681044399,0.127501219,-0.949282393,-1.697546411
MAP4,P27816-4,Microtubule-associated protein 4,P27816-4,,3,2.520120477,2.285905225,0.193708673,-0.818782929,-1.224823004,2.207549312,1.767951357,-0.286532923,-1.13289427,-1.464584016,1.618567571,1.836812856,-0.312401761,-1.365536836,-1.684364216
MAP4K4,O95819,Mitogen-activated protein kinase kinase kinase kinase 4,O95819,,3,-0.240094245,0.054501216,0.091395186,-0.006724178,0.659559273,-0.335043924,-0.061601281,-0.158912489,-0.051458955,0.637563879,-0.248587697,-0.124204213,-0.164560947,0.201006466,0.674641429
MAP7,Q14244,Ensconsin,Q14244;Q14244-2;Q14244-6;Q14244-7;Q14244-3;Q14244-4;Q14244-5,,3,2.217075579,1.934252282,0.094911647,-0.807073624,-1.054152617,2.046211644,1.274887812,-0.190618485,-0.904332082,-1.214775896,1.720935081,1.004177761,-0.414787454,-1.315881465,-1.607308899
MAP7D1,Q3KQU3,MAP7 domain-containing protein 1,Q3KQU3;Q3KQU3-4;Q3KQU3-2,,3,1.852318513,1.908543938,0.183962835,-0.945998986,-1.071148385,1.89219671,1.961178784,-0.138743331,-0.971232844,-1.114128928,1.165043649,0.851838973,-0.632718407,-1.720516818,-2.004450358
MAP7D3,Q8IWC1,MAP7 domain-containing protein 3,Q8IWC1;Q8IWC1-2;Q8IWC1-4;Q8IWC1-3,,1,,,,,,1.159693763,1.613437356,-0.314176438,-1.005232032,-1.103301897,,,,,
MAPK1,P28482,Mitogen-activated protein kinase 1,P28482;P28482-2,,3,-0.316079019,-0.093017075,-0.407344438,-0.578542387,-0.73048803,-0.166729367,-0.18917031,-0.614403304,-0.716623415,-0.68334448,-0.408492913,-0.12440864,-0.252775893,-0.780140701,-0.787069643
MAPRE1,Q15691,Microtubule-associated protein RP/EB family member 1,Q15691,,3,0.030689204,0.346985247,-0.111367788,-0.426761217,-0.415229871,0.078473209,0.061707085,-0.369631808,-0.546624656,-0.546097929,-0.100932672,0.153416242,-0.356864183,-0.841637118,-0.690288287
MARC1,Q5VT66,Mitochondrial amidoxime-reducing component 1,Q5VT66;Q5VT66-2;Q5VT66-3,Mitochondrion,3,-0.868990081,-0.530114024,0.934101278,2.750863723,4.439556652,-0.811092733,-0.714585944,1.224410782,3.191625815,4.182612852,-0.845857534,-0.61098394,1.047398789,2.891613607,-2.030206674
MARC2,Q969Z3,Mitochondrial amidoxime reducing component 2,Q969Z3;Q969Z3-2,Mitochondrion,2,-0.916534714,-0.601693415,1.731487392,2.969086007,2.305036624,-0.80432484,-0.757086582,1.511164389,3.341416524,3.106532581,,,,,
MARCH5,Q9NX47,E3 ubiquitin-protein ligase MARCH5,Q9NX47,,2,-0.833387379,-0.703595456,1.117495578,2.476977826,3.617886163,-0.639669438,-0.602985671,1.064469017,2.83935498,4.04290694,,,,,
MARCKS,P29966,Myristoylated alanine-rich C-kinase substrate,P29966,,3,-0.223053808,-0.104619817,-0.127147606,0.16889872,0.612305313,-0.002382413,-0.125242372,-0.107305894,0.252900029,0.660746113,-0.042902603,-0.090833666,-0.134888846,0.220206113,0.810895482
MARCKSL1,P49006,MARCKS-related protein,P49006,,3,-0.107383601,-0.030589763,-0.221320416,0.21673422,1.086579981,0.10353121,-0.188068696,-0.330555911,0.366476094,1.214995135,0.13395801,0.081748651,-0.137870015,0.320195821,1.429803402
MARK2,Q7KZI7-14,Serine/threonine-protein kinase MARK2,Q7KZI7-14;Q7KZI7;Q7KZI7-13;Q7KZI7-15;Q7KZI7-16;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-10;Q7KZI7-7;Q7KZI7-2;Q7KZI7-5;Q7KZI7-9,,3,0.270229907,0.868370697,-0.006564749,-0.343329739,-0.471088675,0.399444565,0.492314685,-0.127935628,-0.571664619,-0.458782552,0.201006466,0.345623464,-0.326859711,-0.613696707,-0.636212159
MARK3,P27448,MAP/microtubule affinity-regulating kinase 3,P27448;P27448-3;P27448-4;P27448-6;P27448-2;P27448-7;P27448-8,,1,0.245982361,0.597602681,0.27464931,-0.467952402,-0.667721717,,,,,,,,,,
MARS,P56192,"Methionine--tRNA ligase, cytoplasmic",P56192;P56192-2,Large Protein Complex,3,0.878215257,-0.103425885,-0.094525864,0.99703944,-0.370843914,0.846473257,-0.196640688,0.053250385,1.314116431,-0.414537452,0.931607422,-0.152275628,-0.078000108,0.987830177,-0.205080968
MAT2A,P31153,S-adenosylmethionine synthase isoform type-2,P31153;P31153-2,,3,-1.401672911,-1.002339061,-1.538094315,-1.54229015,-0.862181741,-1.194856156,-1.417309127,-1.081674833,-1.479230792,-0.974886135,-1.328217508,-0.941143244,-1.319009591,-2.023035214,-0.770461296
MATR3,P43243,Matrin-3,P43243,,3,-0.200266113,1.461109415,-0.809827655,-1.867646899,-1.655171503,-0.400434636,1.275066662,-0.509183452,-1.346004484,-1.35298949,-0.521452656,1.576425391,-0.353542381,-1.453715458,-1.323191006
MAVS,Q7Z434,Mitochondrial antiviral-signaling protein,Q7Z434;Q7Z434-4,Mitochondrion,2,-1.225767463,-0.776602165,2.092342769,3.047852439,4.188717409,-1.022448967,-0.76544963,1.953227984,3.432825818,4.496398433,,,,,
MB21D1,Q8N884,Cyclic GMP-AMP synthase,Q8N884;Q8N884-2,,3,1.214560036,0.933421563,0.482951513,-0.359656718,-1.205164124,0.917622702,1.395117654,0.210887549,-0.831537671,-0.992086918,0.202637126,1.03885755,-0.106047628,-0.859797229,-1.469649538
MBLAC2,Q68D91,Metallo-beta-lactamase domain-containing protein 2,Q68D91;Q68D91-2,,3,-0.083798545,-0.438756969,0.037733627,0.823912367,1.23087931,-0.152131339,-0.411943833,0.266636643,1.651591345,2.176833371,-0.333552428,-0.441046698,0.2391536,1.158337027,0.796182411
MBNL1,Q9NR56,Muscleblind-like protein 1,Q9NR56,,3,1.425513015,1.025099687,-0.399711214,-1.324418893,-1.372281112,1.227864273,0.947404335,-0.415980368,-1.147329926,-1.405642549,1.194717463,1.153156788,-0.356660965,-1.374935291,-1.19063495
MBNL2,Q5VZF2,Muscleblind-like protein 2,Q5VZF2;Q5VZF2-3;Q5VZF2-2,,2,,,,,,1.674731809,1.227433038,-0.145764921,-1.134793803,-0.967758069,1.326537348,1.217106608,-0.318523748,-1.416384643,-1.267913184
MBOAT7,Q96N66,Lysophospholipid acyltransferase 7,Q96N66;Q96N66-2;Q96N66-3,,3,0.486147994,-0.650498839,-0.730057225,0.813442599,3.282069075,0.51752767,-0.736677084,-0.590397258,1.455807217,3.335283154,0.654710488,-0.625199763,-0.633300111,1.159758338,3.440686484
MCAM,P43121,Cell surface glycoprotein MUC18,P43121,Plasma membrane,3,-0.640973681,-0.421302762,-0.335717421,0.633663697,2.805560743,-0.451168846,-0.477100581,-0.29523425,0.874600266,2.726874802,-0.419159873,-0.372766724,-0.301888227,0.645332754,2.741294392
MCAT,Q8IVS2,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",Q8IVS2,Mitochondrion,3,-1.108456381,-0.553214438,0.015069322,2.482280384,2.66060922,-0.894080599,-0.619026799,3.0223323,3.031448132,3.193440595,-0.825593581,-0.359582674,3.485941983,3.364572432,3.708849377
MCCC2,Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Q9HCC0;Q9HCC0-2,Mitochondrion,3,-1.006709684,-0.57765934,3.328405659,4.104588271,3.680324357,-0.961198625,-0.576755314,3.438292852,5.448207181,4.322288724,-0.879727695,-0.459377519,3.341131829,4.532940288,4.754032318
MCFD2,Q8NI22,Multiple coagulation factor deficiency protein 2,Q8NI22;Q8NI22-2;Q8NI22-3,,3,0.798755614,0.063502942,-0.542542289,-0.344116991,0.050188223,0.878529177,-0.036851444,-0.343421257,0.04949137,-0.023592369,0.927289674,0.019203734,-0.271391571,-0.2187662,0.371056968
MCM2,P49736,DNA replication licensing factor MCM2,P49736,,2,,,,,,-1.884593809,-0.712385866,-0.627137029,-1.220311633,-1.129891782,-2.115722496,0.173383321,-0.720897226,-1.402969476,-0.296881577
MCM3,P25205,DNA replication licensing factor MCM3,P25205;P25205-2,,3,-0.963025516,0.239886801,-0.592114325,-0.975311537,-0.947695408,-1.312222623,-0.258528699,-0.57361715,-0.902524041,-0.995304464,-1.330211257,0.290778251,-0.558389042,-1.239668327,-1.076128226
