UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q9JJ48,Zinc finger CCCH domain-containing protein 8 GN=Zc3h8 PE=1 SV=2 - [ZC3H8_MOUSE],3,4,6.9,0.232,0.016,0.037,0.034,0.039,0.050,0.071,0.044,0.244,0.233
Q9JK38,Glucosamine 6-phosphate N-acetyltransferase GN=Gnpnat1 PE=2 SV=1 - [GNA1_MOUSE],3,4,33.2,0.265,0.076,0.107,0.089,0.091,0.068,0.035,0.033,0.072,0.164
Q9JLR1,Protein transport protein Sec61 subunit alpha isoform 2 GN=Sec61a2 PE=2 SV=3 - [S61A2_MOUSE],3,4,6.3,0.044,0.110,0.074,0.083,0.166,0.189,0.180,0.082,0.037,0.035
Q9JMH7,Sialidase-3 GN=Neu3 PE=2 SV=1 - [NEUR3_MOUSE],3,4,4.8,0.000,0.138,0.174,0.199,0.195,0.195,0.058,0.028,0.008,0.004
Q9QXK2,E3 ubiquitin-protein ligase RAD18 GN=Rad18 PE=1 SV=2 - [RAD18_MOUSE],3,4,6.9,0.107,0.065,0.067,0.040,0.053,0.066,0.056,0.160,0.271,0.115
Q9QXX3,Group 10 secretory phospholipase A2 GN=Pla2g10 PE=1 SV=1 - [PA2GX_MOUSE],3,4,23.2,0.047,0.065,0.120,0.189,0.200,0.177,0.102,0.052,0.029,0.020
Q9QXY9,Peroxisomal biogenesis factor 3 GN=Pex3 PE=2 SV=1 - [PEX3_MOUSE],3,4,9.9,0.001,0.018,0.039,0.055,0.049,0.194,0.202,0.254,0.022,0.166
Q9R1Q8,Transgelin-3 GN=Tagln3 PE=1 SV=1 - [TAGL3_MOUSE],3,4,17.1,0.074,0.144,0.125,0.141,0.122,0.125,0.054,0.030,0.122,0.063
Q9R207,Nibrin GN=Nbn PE=1 SV=1 - [NBN_MOUSE],3,4,5.6,0.075,0.043,0.056,0.044,0.059,0.067,0.088,0.132,0.308,0.128
Q9Z129,ATP-dependent DNA helicase Q1 GN=Recql PE=1 SV=2 - [RECQ1_MOUSE],3,4,4.5,0.090,0.044,0.040,0.028,0.037,0.076,0.131,0.134,0.263,0.158
A2AJQ3-2,Isoform 2 of Protein dpy-19 homolog 4 GN=Dpy19l4 - [D19L4_MOUSE],3,3,5.8,0.000,0.036,0.098,0.110,0.130,0.277,0.144,0.144,0.034,0.027
A2ASZ8-2,Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-2 GN=Slc25a25 - [SCMC2_MOUSE],3,3,7.6,0.003,0.014,0.018,0.023,0.029,0.121,0.305,0.294,0.080,0.112
A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3 GN=Mocs3 PE=2 SV=1 - [MOCS3_MOUSE],3,3,7.0,0.242,0.068,0.098,0.084,0.075,0.073,0.046,0.079,0.121,0.115
B2RR83,Probable ATP-dependent RNA helicase YTHDC2 GN=Ythdc2 PE=2 SV=1 - [YTDC2_MOUSE],3,3,2.6,0.133,0.030,0.057,0.055,0.050,0.084,0.109,0.102,0.112,0.268
B2RRE7,OTU domain-containing protein 4 GN=Otud4 PE=1 SV=1 - [OTUD4_MOUSE],3,3,3.6,0.289,0.045,0.066,0.050,0.057,0.084,0.079,0.057,0.082,0.189
O08734,Bcl-2 homologous antagonist/killer GN=Bak1 PE=1 SV=2 - [BAK_MOUSE],3,3,28.8,0.015,0.024,0.028,0.027,0.041,0.074,0.369,0.198,0.101,0.123
O35621,Phosphomannomutase 1 GN=Pmm1 PE=1 SV=1 - [PMM1_MOUSE],3,3,16.0,0.471,0.077,0.133,0.083,0.075,0.064,0.027,0.019,0.022,0.029
O35654,DNA polymerase delta subunit 2 GN=Pold2 PE=2 SV=2 - [DPOD2_MOUSE],3,3,9.8,0.389,0.033,0.074,0.034,0.039,0.034,0.070,0.075,0.092,0.160
O35657,Sialidase-1 GN=Neu1 PE=2 SV=1 - [NEUR1_MOUSE],3,3,10.8,0.005,0.078,0.112,0.173,0.345,0.163,0.086,0.027,0.003,0.010
O54786-2,Isoform ICAD-S of DNA fragmentation factor subunit alpha GN=Dffa - [DFFA_MOUSE],3,3,11.7,0.399,0.058,0.070,0.050,0.067,0.053,0.082,0.049,0.123,0.049
O55013,Trafficking protein particle complex subunit 3 GN=Trappc3 PE=1 SV=1 - [TPPC3_MOUSE],3,3,20.6,0.122,0.081,0.088,0.093,0.176,0.143,0.087,0.023,0.020,0.167
O55102,Biogenesis of lysosome-related organelles complex 1 subunit 1 GN=Bloc1s1 PE=1 SV=2 - [BL1S1_MOUSE],3,3,22.4,0.017,0.061,0.137,0.247,0.233,0.172,0.061,0.031,0.015,0.025
O70228,Probable phospholipid-transporting ATPase IIA GN=Atp9a PE=2 SV=3 - [ATP9A_MOUSE],3,3,7.0,0.000,0.031,0.140,0.242,0.266,0.225,0.074,0.023,0.000,0.000
O70422,General transcription factor IIH subunit 4 GN=Gtf2h4 PE=2 SV=1 - [TF2H4_MOUSE],3,3,8.2,0.173,0.023,0.044,0.035,0.041,0.069,0.058,0.061,0.283,0.212
O70551,SRSF protein kinase 1 GN=Srpk1 PE=1 SV=2 - [SRPK1_MOUSE],3,3,12.0,0.211,0.066,0.079,0.087,0.075,0.095,0.058,0.042,0.071,0.214
O88502,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A GN=Pde8a PE=1 SV=1 - [PDE8A_MOUSE]",3,3,4.1,0.007,0.169,0.147,0.185,0.174,0.160,0.073,0.040,0.025,0.019
O88545,COP9 signalosome complex subunit 6 GN=Cops6 PE=1 SV=1 - [CSN6_MOUSE],3,3,15.7,0.411,0.087,0.106,0.102,0.077,0.065,0.033,0.028,0.042,0.050
O88597,Beclin-1 GN=Becn1 PE=1 SV=3 - [BECN1_MOUSE],3,3,7.6,0.090,0.099,0.099,0.142,0.236,0.086,0.070,0.030,0.018,0.130
O88643,Serine/threonine-protein kinase PAK 1 GN=Pak1 PE=1 SV=1 - [PAK1_MOUSE],3,3,5.1,0.266,0.151,0.108,0.116,0.114,0.073,0.055,0.036,0.034,0.046
P03958,Adenosine deaminase GN=Ada PE=1 SV=3 - [ADA_MOUSE],3,3,9.7,0.272,0.140,0.139,0.124,0.154,0.073,0.057,0.020,0.006,0.014
P10287,Cadherin-3 GN=Cdh3 PE=2 SV=2 - [CADH3_MOUSE],3,3,5.7,0.011,0.114,0.120,0.159,0.312,0.150,0.094,0.028,0.000,0.012
P11403,Fibroblast growth factor 4 GN=Fgf4 PE=2 SV=2 - [FGF4_MOUSE],3,3,16.8,0.016,0.066,0.110,0.211,0.205,0.168,0.116,0.040,0.029,0.040
P11627,Neural cell adhesion molecule L1 GN=L1cam PE=1 SV=1 - [L1CAM_MOUSE],3,3,3.6,0.008,0.146,0.160,0.174,0.156,0.208,0.095,0.034,0.011,0.009
P12815,Programmed cell death protein 6 GN=Pdcd6 PE=1 SV=2 - [PDCD6_MOUSE],3,3,16.8,0.411,0.074,0.098,0.097,0.114,0.084,0.047,0.020,0.028,0.029
P14231,Sodium/potassium-transporting ATPase subunit beta-2 GN=Atp1b2 PE=1 SV=2 - [AT1B2_MOUSE],3,3,17.6,0.000,0.153,0.161,0.180,0.142,0.213,0.095,0.046,0.003,0.006
P15626,Glutathione S-transferase Mu 2 GN=Gstm2 PE=1 SV=2 - [GSTM2_MOUSE],3,3,16.5,0.430,0.091,0.099,0.084,0.115,0.054,0.056,0.043,0.017,0.011
P17012,Zinc finger X-chromosomal protein GN=Zfx PE=1 SV=2 - [ZFX_MOUSE],3,3,2.9,0.069,0.008,0.015,0.000,0.000,0.058,0.086,0.176,0.491,0.096
P21107;P21107-2,Tropomyosin alpha-3 chain GN=Tpm3 PE=1 SV=2 - [TPM3_MOUSE]|Isoform 2 of Tropomyosin alpha-3 chain GN=Tpm3 - [TPM3_MOUSE],3,3,11.9,0.161,0.166,0.118,0.184,0.178,0.112,0.061,0.011,0.009,0.000
P27040-4,Isoform ActR-IIB4 of Activin receptor type-2B GN=Acvr2b - [AVR2B_MOUSE],3,3,6.7,0.011,0.150,0.112,0.131,0.217,0.146,0.122,0.073,0.018,0.022
P30285,Cyclin-dependent kinase 4 GN=Cdk4 PE=1 SV=1 - [CDK4_MOUSE],3,3,10.9,0.412,0.089,0.110,0.081,0.104,0.081,0.044,0.031,0.020,0.028
P30677,Guanine nucleotide-binding protein subunit alpha-14 GN=Gna14 PE=1 SV=2 - [GNA14_MOUSE],3,3,8.2,0.005,0.174,0.188,0.197,0.186,0.150,0.062,0.021,0.014,0.004
P46656,"Adrenodoxin, mitochondrial GN=Fdx1 PE=2 SV=1 - [ADX_MOUSE]",3,3,23.9,0.012,0.021,0.016,0.019,0.034,0.095,0.427,0.225,0.028,0.124
P50428,Arylsulfatase A GN=Arsa PE=2 SV=2 - [ARSA_MOUSE],3,3,7.3,0.008,0.084,0.117,0.179,0.305,0.176,0.079,0.027,0.013,0.012
P51830,Adenylate cyclase type 9 GN=Adcy9 PE=1 SV=1 - [ADCY9_MOUSE],3,3,2.1,0.018,0.156,0.163,0.176,0.151,0.170,0.086,0.027,0.046,0.008
P52912,Nucleolysin TIA-1 GN=Tia1 PE=1 SV=1 - [TIA1_MOUSE],3,3,9.3,0.183,0.025,0.041,0.027,0.026,0.026,0.030,0.049,0.526,0.068
P55144-3,Isoform 1 of Tyrosine-protein kinase receptor TYRO3 GN=Tyro3 - [TYRO3_MOUSE],3,3,3.3,0.005,0.055,0.135,0.229,0.212,0.217,0.076,0.054,0.011,0.007
P56213,FAD-linked sulfhydryl oxidase ALR GN=Gfer PE=2 SV=2 - [ALR_MOUSE],3,3,15.2,0.017,0.019,0.020,0.018,0.034,0.082,0.450,0.213,0.029,0.118
P58069,Ras GTPase-activating protein 2 GN=Rasa2 PE=1 SV=1 - [RASA2_MOUSE],3,3,3.8,0.021,0.212,0.178,0.185,0.153,0.146,0.042,0.022,0.019,0.022
P58389,Serine/threonine-protein phosphatase 2A activator GN=Ppp2r4 PE=1 SV=1 - [PTPA_MOUSE],3,3,10.8,0.457,0.095,0.111,0.078,0.095,0.046,0.034,0.017,0.029,0.037
P58468,Protein FAM207A GN=Fam207a PE=1 SV=1 - [F207A_MOUSE],3,3,18.7,0.150,0.020,0.041,0.025,0.062,0.046,0.066,0.044,0.266,0.279
P59999,Actin-related protein 2/3 complex subunit 4 GN=Arpc4 PE=1 SV=3 - [ARPC4_MOUSE],3,3,24.4,0.112,0.116,0.079,0.084,0.118,0.079,0.082,0.038,0.146,0.147
P60766;P60766-1,Cell division control protein 42 homolog GN=Cdc42 PE=1 SV=2 - [CDC42_MOUSE]|Isoform 1 of Cell division control protein 42 homolog GN=Cdc42 - [CDC42_MOUSE],3,3,14.1,0.048,0.183,0.151,0.188,0.214,0.153,0.064,0.000,0.000,0.000
P61406,Telomerase-binding protein EST1A GN=Smg6 PE=2 SV=1 - [EST1A_MOUSE],3,3,4.3,0.144,0.135,0.074,0.073,0.111,0.074,0.084,0.066,0.086,0.151
P61804,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 GN=Dad1 PE=2 SV=3 - [DAD1_MOUSE],3,3,24.8,0.004,0.065,0.074,0.103,0.171,0.175,0.215,0.094,0.061,0.036
P61963,DDB1- and CUL4-associated factor 7 GN=Dcaf7 PE=2 SV=1 - [DCAF7_MOUSE],3,3,10.8,0.233,0.073,0.091,0.075,0.077,0.100,0.065,0.038,0.112,0.136
P62965,Cellular retinoic acid-binding protein 1 GN=Crabp1 PE=1 SV=2 - [RABP1_MOUSE],3,3,24.8,0.513,0.071,0.114,0.095,0.075,0.064,0.022,0.014,0.017,0.015
P70270,DNA repair and recombination protein RAD54-like GN=Rad54l PE=1 SV=2 - [RAD54_MOUSE],3,3,7.9,0.134,0.062,0.060,0.068,0.089,0.077,0.097,0.061,0.137,0.215
P70303,CTP synthase 2 GN=Ctps2 PE=1 SV=1 - [PYRG2_MOUSE],3,3,6.0,0.289,0.092,0.115,0.096,0.074,0.082,0.079,0.080,0.028,0.065
P70333,Heterogeneous nuclear ribonucleoprotein H2 GN=Hnrnph2 PE=1 SV=1 - [HNRH2_MOUSE],3,3,14.9,0.139,0.023,0.019,0.016,0.029,0.028,0.040,0.029,0.506,0.171
P84102,Small EDRK-rich factor 2 GN=Serf2 PE=2 SV=1 - [SERF2_MOUSE],3,3,40.7,0.170,0.049,0.068,0.053,0.057,0.087,0.078,0.106,0.175,0.156
P97494,Glutamate--cysteine ligase catalytic subunit GN=Gclc PE=2 SV=4 - [GSH1_MOUSE],3,3,10.7,0.404,0.107,0.139,0.089,0.119,0.055,0.025,0.018,0.018,0.026
P97798-2,Isoform 2 of Neogenin GN=Neo1 - [NEO1_MOUSE],3,3,2.4,0.087,0.072,0.107,0.107,0.146,0.105,0.075,0.090,0.113,0.098
Q01279,Epidermal growth factor receptor GN=Egfr PE=1 SV=1 - [EGFR_MOUSE],3,3,4.6,0.010,0.175,0.170,0.167,0.198,0.163,0.076,0.028,0.008,0.004
Q03160,Growth factor receptor-bound protein 7 GN=Grb7 PE=1 SV=1 - [GRB7_MOUSE],3,3,6.5,0.177,0.099,0.107,0.076,0.102,0.083,0.050,0.045,0.085,0.175
Q03173;Q03173-4;Q03173-5,Protein enabled homolog GN=Enah PE=1 SV=2 - [ENAH_MOUSE]|Isoform 3 of Protein enabled homolog GN=Enah - [ENAH_MOUSE]|Isoform 4 of Protein enabled homolog GN=Enah - [ENAH_MOUSE],3,3,3.6,0.070,0.251,0.122,0.189,0.213,0.135,0.000,0.000,0.020,0.000
Q03963,"Interferon-induced, double-stranded RNA-activated protein kinase GN=Eif2ak2 PE=1 SV=2 - [E2AK2_MOUSE]",3,3,9.1,0.186,0.037,0.051,0.070,0.069,0.148,0.054,0.077,0.072,0.237
Q04207-2,Isoform p65 delta of Transcription factor p65 GN=Rela - [TF65_MOUSE],3,3,7.4,0.285,0.135,0.140,0.103,0.133,0.076,0.058,0.027,0.018,0.025
Q07646-2,Isoform 2 of Mesoderm-specific transcript protein GN=Mest - [MEST_MOUSE],3,3,23.3,0.008,0.049,0.080,0.096,0.157,0.244,0.196,0.094,0.044,0.032
Q08639,Transcription factor Dp-1 GN=Tfdp1 PE=1 SV=1 - [TFDP1_MOUSE],3,3,10.0,0.182,0.082,0.090,0.070,0.069,0.065,0.072,0.108,0.159,0.104
Q09XV5,Chromodomain-helicase-DNA-binding protein 8 GN=Chd8 PE=1 SV=1 - [CHD8_MOUSE],3,3,1.4,0.036,0.032,0.044,0.018,0.050,0.056,0.154,0.200,0.299,0.112
Q14AI6,RNA pseudouridylate synthase domain-containing protein 3 GN=Rpusd3 PE=2 SV=1 - [RUSD3_MOUSE],3,3,8.7,0.004,0.015,0.008,0.012,0.035,0.083,0.413,0.208,0.077,0.144
Q14B71,Cell division cycle-associated protein 2 GN=Cdca2 PE=2 SV=2 - [CDCA2_MOUSE],3,3,3.8,0.148,0.011,0.042,0.010,0.048,0.049,0.098,0.110,0.329,0.156
Q33DR3,Decaprenyl-diphosphate synthase subunit 2 GN=Pdss2 PE=1 SV=2 - [DLP1_MOUSE],3,3,14.7,0.011,0.000,0.011,0.017,0.043,0.125,0.305,0.320,0.048,0.121
Q3TC72,Fumarylacetoacetate hydrolase domain-containing protein 2A GN=Fahd2 PE=1 SV=1 - [FAHD2_MOUSE],3,3,12.8,0.008,0.012,0.011,0.014,0.026,0.120,0.339,0.309,0.036,0.126
Q3TCX3-2,Isoform 2 of UPF0469 protein KIAA0907 GN=Kiaa0907 - [K0907_MOUSE],3,3,8.4,0.073,0.026,0.009,0.019,0.036,0.045,0.068,0.041,0.333,0.351
Q3TDD9,Protein phosphatase 1 regulatory subunit 21 GN=Ppp1r21 PE=2 SV=2 - [PPR21_MOUSE],3,3,6.8,0.109,0.062,0.094,0.086,0.080,0.101,0.067,0.057,0.138,0.206
Q3THE2,Myosin regulatory light chain 12B GN=Myl12b PE=1 SV=2 - [ML12B_MOUSE],3,3,29.7,0.069,0.089,0.043,0.065,0.078,0.197,0.234,0.136,0.051,0.038
Q3TJZ6,Protein FAM98A GN=Fam98a PE=2 SV=1 - [FA98A_MOUSE],3,3,6.6,0.106,0.031,0.065,0.052,0.053,0.116,0.101,0.055,0.084,0.336
Q3U2P1,Protein transport protein Sec24A GN=Sec24a PE=1 SV=1 - [SC24A_MOUSE],3,3,3.3,0.087,0.046,0.068,0.063,0.119,0.153,0.106,0.073,0.054,0.232
Q3U319,E3 ubiquitin-protein ligase BRE1B GN=Rnf40 PE=2 SV=2 - [BRE1B_MOUSE],3,3,4.3,0.204,0.025,0.036,0.026,0.037,0.060,0.052,0.080,0.279,0.202
Q3U3R4,Lipase maturation factor 1 GN=Lmf1 PE=1 SV=1 - [LMF1_MOUSE],3,3,7.0,0.000,0.074,0.086,0.124,0.153,0.224,0.178,0.089,0.047,0.025
Q3U829,AP-5 complex subunit zeta-1 GN=Ap5z1 PE=2 SV=1 - [AP5Z1_MOUSE],3,3,3.7,0.066,0.094,0.139,0.134,0.174,0.134,0.063,0.075,0.026,0.095
Q3UA16,Kinetochore protein Spc25 GN=Spc25 PE=2 SV=1 - [SPC25_MOUSE],3,3,13.7,0.300,0.084,0.108,0.079,0.084,0.069,0.058,0.044,0.097,0.077
Q3UDW8-2,Isoform 2 of Heparan-alpha-glucosaminide N-acetyltransferase GN=Hgsnat - [HGNAT_MOUSE],3,3,5.3,0.000,0.081,0.137,0.198,0.223,0.237,0.069,0.034,0.013,0.008
Q3UHG7,Protein LCHN GN=Lchn PE=2 SV=1 - [LCHN_MOUSE],3,3,9.0,0.022,0.062,0.137,0.231,0.267,0.183,0.061,0.018,0.007,0.012
Q3UHQ6,Protein dopey-2 GN=Dopey2 PE=2 SV=3 - [DOP2_MOUSE],3,3,1.7,0.119,0.112,0.151,0.116,0.136,0.095,0.049,0.036,0.055,0.130
Q3UMR0,Ankyrin repeat domain-containing protein 27 GN=Ankrd27 PE=1 SV=2 - [ANR27_MOUSE],3,3,2.4,0.076,0.053,0.082,0.135,0.246,0.247,0.072,0.039,0.009,0.040
Q3UMU9,Hepatoma-derived growth factor-related protein 2 GN=Hdgfrp2 PE=1 SV=1 - [HDGR2_MOUSE],3,3,7.5,0.559,0.000,0.057,0.014,0.013,0.018,0.027,0.037,0.252,0.024
Q3UQ28,Peroxidasin homolog GN=Pxdn PE=2 SV=2 - [PXDN_MOUSE],3,3,3.9,0.007,0.032,0.077,0.124,0.145,0.304,0.156,0.104,0.019,0.032
Q3URR7-2,Isoform 2 of Zinc finger and SCAN domain-containing protein 10 GN=Zscan10 - [ZSC10_MOUSE],3,3,9.7,0.046,0.000,0.010,0.016,0.000,0.063,0.105,0.206,0.250,0.305
Q3UUG6-2,Isoform 2 of TBC1 domain family member 24 GN=Tbc1d24 - [TBC24_MOUSE],3,3,6.7,0.201,0.154,0.171,0.184,0.138,0.097,0.029,0.015,0.005,0.007
Q3UYG1,Coiled-coil domain-containing protein 160 GN=Ccdc160 PE=2 SV=1 - [CC160_MOUSE],3,3,9.6,0.014,0.020,0.037,0.038,0.037,0.150,0.153,0.190,0.132,0.230
Q4FZG9,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2 GN=Ndufa4l2 PE=3 SV=1 - [NUA4L_MOUSE],3,3,28.7,0.021,0.018,0.023,0.018,0.036,0.106,0.330,0.240,0.088,0.120
Q4QQM4,Tumor protein p53-inducible protein 11 GN=Trp53i11 PE=1 SV=1 - [P5I11_MOUSE],3,3,13.8,0.013,0.093,0.102,0.105,0.195,0.139,0.193,0.078,0.055,0.028
Q5BL07-2,Isoform 2 of Peroxisome biogenesis factor 1 GN=Pex1 - [PEX1_MOUSE],3,3,4.1,0.034,0.037,0.053,0.056,0.064,0.180,0.157,0.201,0.034,0.183
Q5GH66,XK-related protein 5 GN=Xkr5 PE=2 SV=1 - [XKR5_MOUSE],3,3,4.7,0.003,0.061,0.152,0.159,0.118,0.352,0.084,0.060,0.006,0.004
Q5H8C4,Vacuolar protein sorting-associated protein 13A GN=Vps13a PE=1 SV=1 - [VP13A_MOUSE],3,3,0.9,0.136,0.123,0.105,0.120,0.116,0.123,0.101,0.069,0.066,0.040
Q5RJH6-3,Isoform 3 of Protein SMG7 GN=Smg7 - [SMG7_MOUSE],3,3,3.2,0.123,0.048,0.057,0.047,0.051,0.074,0.066,0.072,0.106,0.355
Q5SNZ0-2,Isoform 2 of Girdin GN=Ccdc88a - [GRDN_MOUSE],3,3,2.1,0.119,0.110,0.113,0.111,0.105,0.160,0.100,0.062,0.052,0.068
Q5SS80,Dehydrogenase/reductase SDR family member 13 GN=Dhrs13 PE=1 SV=1 - [DHR13_MOUSE],3,3,17.0,0.005,0.052,0.092,0.137,0.169,0.254,0.131,0.102,0.035,0.023
Q5U680,S-adenosylmethionine mitochondrial carrier protein GN=Slc25a26 PE=2 SV=2 - [SAMC_MOUSE],3,3,11.3,0.000,0.003,0.014,0.013,0.013,0.131,0.285,0.350,0.077,0.113
Q60823,RAC-beta serine/threonine-protein kinase GN=Akt2 PE=1 SV=1 - [AKT2_MOUSE],3,3,6.2,0.289,0.147,0.130,0.131,0.117,0.093,0.039,0.022,0.012,0.020
Q61526,Receptor tyrosine-protein kinase erbB-3 GN=Erbb3 PE=1 SV=2 - [ERBB3_MOUSE],3,3,2.9,0.000,0.130,0.194,0.215,0.192,0.163,0.061,0.031,0.000,0.015
Q61586,"Glycerol-3-phosphate acyltransferase 1, mitochondrial GN=Gpam PE=1 SV=2 - [GPAT1_MOUSE]",3,3,5.7,0.000,0.013,0.014,0.031,0.034,0.095,0.409,0.287,0.025,0.093
Q61595;Q61595-3;Q61595-5;Q61595-9,Kinectin GN=Ktn1 PE=1 SV=1 - [KTN1_MOUSE]|Isoform 11 of Kinectin GN=Ktn1 - [KTN1_MOUSE]|Isoform 13 of Kinectin GN=Ktn1 - [KTN1_MOUSE]|Isoform 3 of Kinectin GN=Ktn1 - [KTN1_MOUSE]|Isoform 5 of Kinectin GN=Ktn1 - [KTN1_MOUSE]|Isoform 9 of Kinectin GN=Ktn1 - [KTN1_MOUSE],3,3,1.7,0.000,0.000,0.034,0.111,0.212,0.280,0.201,0.096,0.065,0.000
Q63810-2,Isoform 2 of Calcineurin subunit B type 1 GN=Ppp3r1 - [CANB1_MOUSE],3,3,23.6,0.150,0.221,0.119,0.120,0.208,0.087,0.054,0.014,0.015,0.013
Q64669,NAD(P)H dehydrogenase [quinone] 1 GN=Nqo1 PE=1 SV=3 - [NQO1_MOUSE],3,3,10.6,0.390,0.090,0.123,0.094,0.083,0.067,0.050,0.033,0.012,0.060
Q68FL4,Putative adenosylhomocysteinase 3 GN=Ahcyl2 PE=1 SV=1 - [SAHH3_MOUSE],3,3,5.1,0.067,0.188,0.144,0.140,0.175,0.120,0.098,0.033,0.013,0.021
Q69Z66,Histone H2A deubiquitinase MYSM1 GN=Mysm1 PE=2 SV=2 - [MYSM1_MOUSE],3,3,3.1,0.040,0.010,0.015,0.010,0.010,0.048,0.099,0.253,0.431,0.085
Q69ZF7,Metal transporter CNNM4 GN=Cnnm4 PE=1 SV=2 - [CNNM4_MOUSE],3,3,6.1,0.002,0.152,0.107,0.109,0.179,0.249,0.142,0.031,0.015,0.013
Q69ZX6,MORC family CW-type zinc finger protein 2A GN=Morc2a PE=1 SV=2 - [MOR2A_MOUSE],3,3,2.7,0.166,0.027,0.039,0.031,0.029,0.047,0.074,0.118,0.327,0.140
Q6A065,Centrosomal protein of 170 kDa GN=Cep170 PE=1 SV=2 - [CE170_MOUSE],3,3,1.4,0.119,0.071,0.075,0.054,0.056,0.104,0.106,0.151,0.173,0.091
Q6DID5,PWWP domain-containing protein MUM1 GN=Mum1 PE=2 SV=1 - [MUM1_MOUSE],3,3,4.8,0.107,0.011,0.018,0.017,0.022,0.060,0.092,0.177,0.375,0.120
Q6NWW9,Fibronectin type III domain-containing protein 3B GN=Fndc3b PE=1 SV=1 - [FND3B_MOUSE],3,3,3.9,0.000,0.041,0.071,0.103,0.142,0.286,0.162,0.120,0.046,0.030
Q6NZR2,Myb/SANT-like DNA-binding domain-containing protein 2 GN=Msantd2 PE=1 SV=1 - [MSD2_MOUSE],3,3,7.9,0.274,0.061,0.096,0.085,0.049,0.059,0.046,0.112,0.141,0.077
Q6P5G6,UBX domain-containing protein 7 GN=Ubxn7 PE=1 SV=2 - [UBXN7_MOUSE],3,3,14.1,0.627,0.035,0.074,0.035,0.033,0.033,0.017,0.020,0.106,0.020
Q6PFR5,Transformer-2 protein homolog alpha GN=Tra2a PE=1 SV=1 - [TRA2A_MOUSE],3,3,14.6,0.148,0.030,0.018,0.034,0.030,0.018,0.035,0.022,0.488,0.176
Q6PIP5,NudC domain-containing protein 1 GN=Nudcd1 PE=2 SV=2 - [NUDC1_MOUSE],3,3,8.6,0.448,0.086,0.102,0.083,0.070,0.063,0.020,0.033,0.048,0.046
Q6ZPS6,Ankyrin repeat and IBR domain-containing protein 1 GN=Ankib1 PE=1 SV=2 - [AKIB1_MOUSE],3,3,4.1,0.004,0.168,0.110,0.175,0.271,0.116,0.098,0.019,0.007,0.031
Q6ZQ89-3,Isoform 3 of E3 ubiquitin-protein ligase MARCH6 GN=March6 - [MARH6_MOUSE],3,3,3.2,0.002,0.067,0.076,0.136,0.239,0.207,0.161,0.073,0.017,0.023
Q6ZWQ0,Nesprin-2 GN=Syne2 PE=1 SV=2 - [SYNE2_MOUSE],3,3,0.7,0.000,0.016,0.025,0.047,0.057,0.141,0.155,0.219,0.268,0.072
Q78HU3,Multivesicular body subunit 12A GN=Mvb12a PE=1 SV=1 - [MB12A_MOUSE],3,3,14.0,0.064,0.120,0.150,0.128,0.129,0.114,0.074,0.058,0.065,0.098
Q78WZ7,DNA-directed RNA polymerase I subunit RPA43 GN=Twistnb PE=1 SV=1 - [RPA43_MOUSE],3,3,13.9,0.278,0.025,0.039,0.026,0.044,0.038,0.089,0.067,0.204,0.191
Q7TQH0-2,Isoform 2 of Ataxin-2-like protein GN=Atxn2l - [ATX2L_MOUSE],3,3,3.0,0.143,0.043,0.036,0.029,0.048,0.063,0.071,0.044,0.076,0.446
Q7TSI3,Serine/threonine-protein phosphatase 6 regulatory subunit 1 GN=Ppp6r1 PE=1 SV=1 - [PP6R1_MOUSE],3,3,5.3,0.345,0.092,0.130,0.114,0.075,0.079,0.056,0.054,0.031,0.023
Q80TN4,DnaJ homolog subfamily C member 16 GN=Dnajc16 PE=1 SV=2 - [DJC16_MOUSE],3,3,8.0,0.000,0.039,0.084,0.122,0.183,0.265,0.137,0.117,0.033,0.021
Q80TR1,Latrophilin-1 GN=Lphn1 PE=1 SV=2 - [LPHN1_MOUSE],3,3,4.0,0.000,0.186,0.145,0.139,0.202,0.138,0.108,0.000,0.083,0.000
Q80UU1,Ankyrin repeat and zinc finger domain-containing protein 1 GN=Ankzf1 PE=2 SV=2 - [ANKZ1_MOUSE],3,3,5.2,0.210,0.062,0.082,0.074,0.080,0.095,0.062,0.049,0.088,0.197
Q80UV9-3,Isoform 3 of Transcription initiation factor TFIID subunit 1 GN=Taf1 - [TAF1_MOUSE],3,3,3.8,0.023,0.000,0.000,0.017,0.017,0.064,0.129,0.183,0.371,0.196
Q80UY1,UPF0586 protein C9orf41 homolog PE=2 SV=1 - [CI041_MOUSE],3,3,11.3,0.119,0.137,0.081,0.090,0.145,0.131,0.101,0.040,0.089,0.068
Q80UY2,E3 ubiquitin-protein ligase KCMF1 GN=Kcmf1 PE=2 SV=1 - [KCMF1_MOUSE],3,3,10.2,0.381,0.106,0.116,0.074,0.073,0.064,0.048,0.018,0.024,0.096
