UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q6PEV3,WAS/WASL-interacting protein family member 2 OS=Mus musculus GN=Wipf2 PE=2 SV=1 [WIPF2_MOUSE],5,5,19.3,0.153,0.027,0.029,0.026,0.104,0.129,0.092,0.093,0.336,0.013
Q6PFD6,Kinesin-like protein KIF18B OS=Mus musculus GN=Kif18b PE=2 SV=2 [KI18B_MOUSE],5,5,6.7,0.123,0.000,0.000,0.000,0.045,0.057,0.132,0.271,0.239,0.132
Q6PFQ7,Ras GTPase-activating protein 4 OS=Mus musculus GN=Rasa4 PE=2 SV=1 [RASL2_MOUSE],5,5,9.9,0.210,0.000,0.016,0.000,0.075,0.071,0.112,0.084,0.432,0.000
Q6ZPJ0,Testis-expressed sequence 2 protein OS=Mus musculus GN=Tex2 PE=1 SV=2 [TEX2_MOUSE],5,5,5.7,0.028,0.000,0.006,0.012,0.196,0.348,0.212,0.116,0.080,0.003
Q7M759,Alpha/beta hydrolase domain-containing protein 17B OS=Mus musculus GN=Abhd17b PE=2 SV=1 [AB17B_MOUSE],5,5,27.1,0.050,0.000,0.010,0.013,0.179,0.255,0.231,0.162,0.100,0.000
Q7TME2,Sperm-associated antigen 5 OS=Mus musculus GN=Spag5 PE=2 SV=1 [SPAG5_MOUSE],5,5,5.3,0.366,0.000,0.016,0.000,0.009,0.048,0.068,0.234,0.250,0.009
Q7TN02,Mediator of RNA polymerase II transcription subunit 26 OS=Mus musculus GN=Med26 PE=2 SV=1 [MED26_MOUSE],5,5,12.2,0.126,0.000,0.008,0.000,0.034,0.041,0.066,0.065,0.653,0.008
Q7TSV4,Phosphoglucomutase-2 OS=Mus musculus GN=Pgm2 PE=1 SV=1 [PGM2_MOUSE],5,5,10.0,0.819,0.000,0.042,0.000,0.017,0.034,0.037,0.030,0.022,0.000
Q80UK8,Integrator complex subunit 2 OS=Mus musculus GN=Ints2 PE=2 SV=2 [INT2_MOUSE],5,5,12.6,0.247,0.000,0.014,0.000,0.027,0.045,0.074,0.118,0.463,0.013
Q80UP5,Ankyrin repeat domain-containing protein 13A OS=Mus musculus GN=Ankrd13a PE=1 SV=2 [AN13A_MOUSE],5,5,16.3,0.592,0.000,0.035,0.000,0.019,0.142,0.091,0.069,0.053,0.000
Q80UP8,Sodium-dependent phosphate transporter 2 OS=Mus musculus GN=Slc20a2 PE=1 SV=2 [S20A2_MOUSE],5,5,12.3,0.003,0.002,0.007,0.012,0.088,0.441,0.268,0.122,0.055,0.003
Q80UU1,Ankyrin repeat and zinc finger domain-containing protein 1 OS=Mus musculus GN=Ankzf1 PE=2 SV=2 [ANKZ1_MOUSE],5,5,6.8,0.277,0.000,0.017,0.005,0.056,0.062,0.068,0.071,0.440,0.004
Q80VJ2,Steroid receptor RNA activator 1 OS=Mus musculus GN=Sra1 PE=1 SV=3 [SRA1_MOUSE],5,5,32.3,0.622,0.000,0.049,0.000,0.030,0.037,0.040,0.087,0.135,0.000
Q80ZK0,"28S ribosomal protein S10, mitochondrial OS=Mus musculus GN=Mrps10 PE=2 SV=1 [RT10_MOUSE]",5,5,33.8,0.013,0.000,0.001,0.002,0.023,0.163,0.431,0.222,0.133,0.012
Q810U5-3,Isoform 3 of Coiled-coil domain-containing protein 50 OS=Mus musculus GN=Ccdc50 [CCD50_MOUSE],5,5,35.4,0.161,0.021,0.019,0.028,0.062,0.159,0.130,0.181,0.209,0.029
Q8BFX3,BTB/POZ domain-containing protein KCTD3 OS=Mus musculus GN=Kctd3 PE=2 SV=1 [KCTD3_MOUSE],5,5,7.2,0.162,0.028,0.051,0.007,0.079,0.162,0.104,0.110,0.271,0.027
Q8BG17,Nucleolar protein 12 OS=Mus musculus GN=Nol12 PE=2 SV=1 [NOL12_MOUSE],5,5,32.3,0.263,0.003,0.025,0.003,0.033,0.063,0.062,0.052,0.478,0.018
Q8BGF6,ELMO domain-containing protein 2 OS=Mus musculus GN=Elmod2 PE=2 SV=1 [ELMD2_MOUSE],5,5,16.7,0.029,0.000,0.000,0.005,0.071,0.234,0.336,0.176,0.140,0.008
Q8BGF7-4,Isoform 4 of PAB-dependent poly(A)-specific ribonuclease subunit PAN2 OS=Mus musculus GN=Pan2 [PAN2_MOUSE],5,5,8.3,0.394,0.000,0.021,0.000,0.029,0.061,0.069,0.099,0.327,0.000
Q8BGI5-2,Isoform 2 of Peroxisome assembly protein 26 OS=Mus musculus GN=Pex26 [PEX26_MOUSE],5,5,14.5,0.022,0.000,0.000,0.000,0.027,0.126,0.217,0.388,0.207,0.013
Q8BGR2,Volume-regulated anion channel subunit LRRC8D OS=Mus musculus GN=Lrrc8d PE=2 SV=1 [LRC8D_MOUSE],5,5,9.0,0.045,0.000,0.014,0.000,0.034,0.413,0.247,0.124,0.117,0.006
Q8BGS1,Band 4.1-like protein 5 OS=Mus musculus GN=Epb41l5 PE=1 SV=1 [E41L5_MOUSE],5,5,11.9,0.053,0.110,0.062,0.096,0.197,0.235,0.121,0.043,0.066,0.018
Q8BGU5,Cyclin-Y OS=Mus musculus GN=Ccny PE=1 SV=1 [CCNY_MOUSE],5,5,18.8,0.094,0.008,0.008,0.009,0.110,0.283,0.217,0.141,0.118,0.011
Q8BGV0,"Probable asparagine--tRNA ligase, mitochondrial OS=Mus musculus GN=Nars2 PE=1 SV=1 [SYNM_MOUSE]",5,5,18.4,0.029,0.000,0.006,0.002,0.033,0.158,0.380,0.223,0.156,0.012
Q8BGV4,TELO2-interacting protein 2 OS=Mus musculus GN=Tti2 PE=2 SV=1 [TTI2_MOUSE],5,5,13.3,0.192,0.000,0.011,0.006,0.033,0.077,0.127,0.162,0.381,0.010
Q8BH79,Anoctamin-10 OS=Mus musculus GN=Ano10 PE=2 SV=1 [ANO10_MOUSE],5,5,8.6,0.016,0.000,0.000,0.006,0.058,0.336,0.323,0.158,0.103,0.000
Q8BHC1,Ras-related protein Rab-39B OS=Mus musculus GN=Rab39b PE=2 SV=1 [RB39B_MOUSE],5,5,23.7,0.101,0.000,0.005,0.000,0.058,0.201,0.330,0.181,0.115,0.010
Q8BHC9,"Alpha-(1,3)-fucosyltransferase 11 OS=Mus musculus GN=Fut11 PE=1 SV=1 [FUT11_MOUSE]",5,5,15.1,0.075,0.000,0.012,0.000,0.155,0.292,0.261,0.145,0.061,0.000
Q8BHE0,Proline-rich protein 11 OS=Mus musculus GN=Prr11 PE=2 SV=1 [PRR11_MOUSE],5,5,13.6,0.037,0.004,0.003,0.007,0.050,0.301,0.294,0.170,0.126,0.008
Q8BHG9,CGG triplet repeat-binding protein 1 OS=Mus musculus GN=Cggbp1 PE=2 SV=1 [CGBP1_MOUSE],5,5,40.7,0.194,0.000,0.018,0.005,0.027,0.063,0.116,0.240,0.316,0.020
Q8BIA4,F-box/WD repeat-containing protein 8 OS=Mus musculus GN=Fbxw8 PE=1 SV=2 [FBXW8_MOUSE],5,5,14.9,0.418,0.000,0.021,0.000,0.050,0.086,0.102,0.109,0.214,0.000
Q8BIG7,Catechol O-methyltransferase domain-containing protein 1 OS=Mus musculus GN=Comtd1 PE=2 SV=1 [CMTD1_MOUSE],5,5,26.7,0.037,0.000,0.000,0.000,0.066,0.160,0.381,0.200,0.150,0.007
Q8BJ37,Tyrosyl-DNA phosphodiesterase 1 OS=Mus musculus GN=Tdp1 PE=2 SV=2 [TYDP1_MOUSE],5,5,13.3,0.390,0.000,0.016,0.000,0.009,0.080,0.111,0.231,0.158,0.005
Q8BKY8,"Transcription termination factor 2, mitochondrial OS=Mus musculus GN=Mterf2 PE=1 SV=1 [MTEF2_MOUSE]",5,5,20.5,0.029,0.000,0.000,0.000,0.041,0.175,0.420,0.165,0.155,0.015
Q8BL66,Early endosome antigen 1 OS=Mus musculus GN=Eea1 PE=1 SV=2 [EEA1_MOUSE],5,5,5.3,0.324,0.000,0.015,0.000,0.047,0.093,0.131,0.097,0.293,0.000
Q8BMB3,Eukaryotic translation initiation factor 4E type 2 OS=Mus musculus GN=Eif4e2 PE=1 SV=1 [IF4E2_MOUSE],5,5,25.3,0.208,0.000,0.014,0.000,0.013,0.067,0.082,0.078,0.531,0.006
Q8BMG1,ATR-interacting protein OS=Mus musculus GN=Atrip PE=1 SV=2 [ATRIP_MOUSE],5,5,6.0,0.211,0.000,0.000,0.000,0.015,0.057,0.079,0.136,0.503,0.000
Q8BMK1,Methyltransferase-like protein 2 OS=Mus musculus GN=Mettl2 PE=2 SV=2 [METL2_MOUSE],5,5,14.7,0.715,0.000,0.048,0.007,0.023,0.035,0.029,0.049,0.093,0.002
Q8BMS4,"Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial OS=Mus musculus GN=Coq3 PE=1 SV=1 [COQ3_MOUSE]",5,5,19.5,0.004,0.000,0.000,0.004,0.077,0.153,0.411,0.220,0.127,0.003
Q8BND3-2,Isoform 2 of WD repeat-containing protein 35 OS=Mus musculus GN=Wdr35 [WDR35_MOUSE],5,5,8.5,0.234,0.000,0.013,0.000,0.050,0.142,0.143,0.120,0.298,0.000
Q8BP78,Protein FRA10AC1 homolog OS=Mus musculus GN=Fra10ac1 PE=1 SV=3 [F10C1_MOUSE],5,5,28.6,0.260,0.000,0.017,0.000,0.007,0.038,0.057,0.125,0.490,0.005
Q8BPY9,Fidgetin-like protein 1 OS=Mus musculus GN=Fignl1 PE=2 SV=1 [FIGL1_MOUSE],5,5,13.2,0.239,0.000,0.016,0.000,0.019,0.057,0.106,0.183,0.368,0.011
Q8BR63,Protein FAM177A1 OS=Mus musculus GN=Fam177a1 PE=2 SV=1 [F177A_MOUSE],5,5,28.0,0.049,0.000,0.005,0.011,0.131,0.277,0.289,0.142,0.091,0.006
Q8BRT1-5,Isoform 2 of CLIP-associating protein 2 OS=Mus musculus GN=Clasp2 [CLAP2_MOUSE],5,5,10.2,0.230,0.000,0.016,0.000,0.019,0.078,0.090,0.190,0.371,0.006
Q8BTV1,Tumor suppressor candidate 3 OS=Mus musculus GN=Tusc3 PE=2 SV=1 [TUSC3_MOUSE],5,5,14.7,0.007,0.000,0.000,0.006,0.044,0.324,0.335,0.170,0.110,0.004
Q8BTW8,CDK5 regulatory subunit-associated protein 1 OS=Mus musculus GN=Cdk5rap1 PE=2 SV=2 [CK5P1_MOUSE],5,5,13.8,0.014,0.000,0.000,0.012,0.059,0.164,0.413,0.193,0.135,0.010
Q8BTY2,Sodium bicarbonate cotransporter 3 OS=Mus musculus GN=Slc4a7 PE=1 SV=2 [S4A7_MOUSE],5,5,5.1,0.010,0.038,0.035,0.044,0.244,0.314,0.183,0.087,0.039,0.006
Q8BU31,Ras-related protein Rap-2c OS=Mus musculus GN=Rap2c PE=1 SV=1 [RAP2C_MOUSE],5,5,28.4,0.072,0.005,0.006,0.005,0.094,0.382,0.242,0.129,0.067,0.000
Q8BVU0,Leucine-rich repeat and calponin homology domain-containing protein 3 OS=Mus musculus GN=Lrch3 PE=2 SV=3 [LRCH3_MOUSE],5,5,15.4,0.169,0.000,0.020,0.005,0.052,0.110,0.091,0.142,0.397,0.013
Q8BXL7,ADP-ribosylation factor-related protein 1 OS=Mus musculus GN=Arfrp1 PE=2 SV=2 [ARFRP_MOUSE],5,5,35.3,0.033,0.000,0.003,0.006,0.028,0.305,0.351,0.166,0.104,0.006
Q8BZW8,NHL repeat-containing protein 2 OS=Mus musculus GN=Nhlrc2 PE=2 SV=1 [NHLC2_MOUSE],5,5,28.4,0.755,0.006,0.040,0.006,0.057,0.044,0.038,0.028,0.027,0.000
Q8BZX4-2,Isoform 2 of Splicing regulatory glutamine/lysine-rich protein 1 OS=Mus musculus GN=Srek1 [SREK1_MOUSE],5,5,10.2,0.362,0.000,0.024,0.000,0.005,0.037,0.050,0.053,0.468,0.002
Q8C0D7-4,Isoform 4 of Inhibitor of growth protein 4 OS=Mus musculus GN=Ing4 [ING4_MOUSE],5,5,24.7,0.170,0.000,0.020,0.003,0.025,0.088,0.121,0.258,0.304,0.011
Q8C0L8,Conserved oligomeric Golgi complex subunit 5 OS=Mus musculus GN=Cog5 PE=2 SV=3 [COG5_MOUSE],5,5,8.3,0.591,0.000,0.040,0.000,0.014,0.044,0.070,0.077,0.156,0.007
Q8C0N2,Glycerol-3-phosphate acyltransferase 3 OS=Mus musculus GN=Agpat9 PE=1 SV=1 [GPAT3_MOUSE],5,5,16.0,0.017,0.000,0.003,0.011,0.160,0.341,0.261,0.123,0.079,0.006
Q8C0P0,Serine/threonine-protein kinase greatwall OS=Mus musculus GN=Mastl PE=2 SV=2 [GWL_MOUSE],5,5,8.7,0.469,0.000,0.020,0.000,0.022,0.059,0.102,0.148,0.181,0.000
Q8C0T5,Signal-induced proliferation-associated 1-like protein 1 OS=Mus musculus GN=Sipa1l1 PE=1 SV=2 [SI1L1_MOUSE],5,5,2.7,0.200,0.000,0.014,0.014,0.069,0.157,0.121,0.124,0.261,0.039
Q8C0Y0,Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Mus musculus GN=Ppp4r4 PE=2 SV=2 [PP4R4_MOUSE],5,5,8.7,0.265,0.000,0.022,0.000,0.017,0.077,0.095,0.173,0.341,0.010
Q8C163,"Nuclease EXOG, mitochondrial OS=Mus musculus GN=Exog PE=2 SV=1 [EXOG_MOUSE]",5,5,30.4,0.000,0.000,0.000,0.004,0.083,0.166,0.384,0.204,0.152,0.007
Q8C1S0,Mediator of RNA polymerase II transcription subunit 19 OS=Mus musculus GN=Med19 PE=1 SV=1 [MED19_MOUSE],5,5,40.2,0.152,0.000,0.006,0.006,0.031,0.018,0.047,0.056,0.651,0.032
Q8C1Z8,tRNA methyltransferase 10 homolog A OS=Mus musculus GN=Trmt10a PE=2 SV=2 [TM10A_MOUSE],5,5,22.3,0.803,0.000,0.050,0.000,0.004,0.021,0.019,0.020,0.083,0.000
Q8C2K1,Differentially expressed in FDCP 6 OS=Mus musculus GN=Def6 PE=1 SV=1 [DEFI6_MOUSE],5,5,7.6,0.170,0.015,0.019,0.010,0.109,0.186,0.133,0.132,0.219,0.008
Q8C341,SUN domain-containing ossification factor OS=Mus musculus GN=Suco PE=1 SV=3 [SUCO_MOUSE],5,5,9.3,0.009,0.000,0.000,0.000,0.147,0.357,0.285,0.122,0.081,0.000
Q8C3I8,Protein HGH1 homolog OS=Mus musculus GN=Hgh1 PE=2 SV=1 [HGH1_MOUSE],5,5,30.3,0.668,0.007,0.046,0.006,0.054,0.044,0.039,0.056,0.080,0.000
Q8C4B4,Protein unc-119 homolog B OS=Mus musculus GN=Unc119b PE=1 SV=1 [U119B_MOUSE],5,5,26.7,0.538,0.000,0.050,0.009,0.054,0.061,0.059,0.099,0.123,0.009
Q8C561-2,Isoform 2 of LMBR1 domain-containing protein 2 OS=Mus musculus GN=Lmbrd2 [LMBD2_MOUSE],5,5,13.6,0.018,0.000,0.011,0.022,0.206,0.376,0.207,0.102,0.051,0.007
Q8C650-2,Isoform 2 of Septin-10 OS=Mus musculus GN=Sept10 [SEP10_MOUSE],5,5,20.1,0.106,0.007,0.005,0.000,0.034,0.088,0.110,0.203,0.421,0.026
Q8CAQ8,MICOS complex subunit Mic60 OS=Mus musculus GN=Immt PE=1 SV=1 [MIC60_MOUSE],5,5,12.0,0.004,0.000,0.000,0.007,0.065,0.162,0.420,0.207,0.126,0.009
Q8CEE7,Retinol dehydrogenase 13 OS=Mus musculus GN=Rdh13 PE=2 SV=1 [RDH13_MOUSE],5,5,15.0,0.008,0.000,0.002,0.002,0.050,0.153,0.409,0.197,0.166,0.013
Q8CES0,N-alpha-acetyltransferase 30 OS=Mus musculus GN=Naa30 PE=1 SV=2 [NAA30_MOUSE],5,5,20.3,0.316,0.000,0.016,0.000,0.016,0.053,0.062,0.111,0.418,0.008
Q8CFE3,REST corepressor 1 OS=Mus musculus GN=Rcor1 PE=1 SV=2 [RCOR1_MOUSE],5,5,15.5,0.197,0.000,0.011,0.000,0.013,0.073,0.125,0.261,0.306,0.014
Q8CG79,Apoptosis-stimulating of p53 protein 2 OS=Mus musculus GN=Tp53bp2 PE=1 SV=3 [ASPP2_MOUSE],5,5,4.8,0.258,0.004,0.021,0.000,0.092,0.120,0.110,0.129,0.260,0.007
Q8CGA0,Protein phosphatase 1F OS=Mus musculus GN=Ppm1f PE=2 SV=1 [PPM1F_MOUSE],5,5,15.5,0.755,0.004,0.052,0.004,0.039,0.040,0.029,0.040,0.033,0.003
Q8CGU1,Calcium-binding and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Calcoco1 PE=1 SV=2 [CACO1_MOUSE],5,5,9.1,0.513,0.000,0.023,0.000,0.066,0.120,0.093,0.056,0.121,0.008
Q8CIV2,Membralin OS=Mus musculus GN=Tmem259 PE=1 SV=2 [MBRL_MOUSE],5,5,14.5,0.003,0.000,0.008,0.007,0.045,0.378,0.318,0.147,0.090,0.004
Q8K015,Centromere protein O OS=Mus musculus GN=Cenpo PE=2 SV=1 [CENPO_MOUSE],5,5,26.2,0.131,0.000,0.021,0.006,0.026,0.065,0.104,0.294,0.347,0.006
Q8K072,Receptor expression-enhancing protein 4 OS=Mus musculus GN=Reep4 PE=1 SV=1 [REEP4_MOUSE],5,5,28.4,0.029,0.007,0.007,0.025,0.100,0.262,0.281,0.182,0.095,0.010
Q8K0H1-2,Isoform 2 of Multidrug and toxin extrusion protein 1 OS=Mus musculus GN=Slc47a1 [S47A1_MOUSE],5,5,16.9,0.655,0.019,0.051,0.003,0.026,0.054,0.051,0.070,0.067,0.004
Q8K157,Aldose 1-epimerase OS=Mus musculus GN=Galm PE=2 SV=1 [GALM_MOUSE],5,5,20.5,0.791,0.000,0.021,0.000,0.012,0.041,0.053,0.047,0.035,0.000
Q8K1K4,Centromere protein I OS=Mus musculus GN=Cenpi PE=2 SV=1 [CENPI_MOUSE],5,5,7.2,0.045,0.000,0.000,0.000,0.012,0.061,0.111,0.450,0.294,0.027
Q8K212,Phosphofurin acidic cluster sorting protein 1 OS=Mus musculus GN=Pacs1 PE=2 SV=2 [PACS1_MOUSE],5,5,12.2,0.183,0.000,0.013,0.000,0.018,0.088,0.114,0.265,0.305,0.014
Q8K2I4,Beta-mannosidase OS=Mus musculus GN=Manba PE=2 SV=1 [MANBA_MOUSE],5,5,8.1,0.050,0.000,0.000,0.000,0.067,0.390,0.234,0.133,0.126,0.000
Q8K2Q0,COMM domain-containing protein 9 OS=Mus musculus GN=Commd9 PE=2 SV=3 [COMD9_MOUSE],5,5,43.4,0.206,0.000,0.015,0.000,0.056,0.108,0.087,0.081,0.441,0.006
Q8K2Y7,"39S ribosomal protein L47, mitochondrial OS=Mus musculus GN=Mrpl47 PE=2 SV=2 [RM47_MOUSE]",5,5,24.2,0.007,0.000,0.000,0.002,0.039,0.143,0.438,0.223,0.137,0.010
Q8R0L9,Transcriptional adapter 3 OS=Mus musculus GN=Tada3 PE=1 SV=1 [TADA3_MOUSE],5,5,27.3,0.114,0.000,0.007,0.000,0.018,0.069,0.115,0.354,0.302,0.020
Q8R127,Saccharopine dehydrogenase-like oxidoreductase OS=Mus musculus GN=Sccpdh PE=2 SV=1 [SCPDL_MOUSE],5,5,23.1,0.012,0.000,0.000,0.003,0.113,0.226,0.354,0.178,0.108,0.006
Q8R149-2,Isoform 2 of BUD13 homolog OS=Mus musculus GN=Bud13 [BUD13_MOUSE],5,5,13.2,0.181,0.000,0.018,0.000,0.020,0.042,0.052,0.056,0.577,0.054
Q8R164,Valacyclovir hydrolase OS=Mus musculus GN=Bphl PE=1 SV=1 [BPHL_MOUSE],5,5,24.4,0.012,0.000,0.000,0.000,0.072,0.150,0.390,0.216,0.150,0.011
Q8R1V4,Transmembrane emp24 domain-containing protein 4 OS=Mus musculus GN=Tmed4 PE=2 SV=1 [TMED4_MOUSE],5,5,17.6,0.005,0.000,0.003,0.008,0.083,0.341,0.302,0.167,0.085,0.005
Q8R2Q8,Bone marrow stromal antigen 2 OS=Mus musculus GN=Bst2 PE=1 SV=1 [BST2_MOUSE],5,5,16.3,0.027,0.018,0.011,0.025,0.279,0.310,0.201,0.087,0.043,0.000
Q8R3P2,Probable E3 ubiquitin-protein ligase DTX2 OS=Mus musculus GN=Dtx2 PE=1 SV=2 [DTX2_MOUSE],5,5,11.0,0.198,0.008,0.025,0.003,0.104,0.108,0.101,0.117,0.324,0.011
Q8R3Q0,Store-operated calcium entry-associated regulatory factor OS=Mus musculus GN=Saraf PE=2 SV=2 [SARAF_MOUSE],5,5,23.7,0.030,0.000,0.000,0.000,0.094,0.272,0.291,0.189,0.124,0.000
Q8R3V5-1,Isoform 1 of Endophilin-B2 OS=Mus musculus GN=Sh3glb2 [SHLB2_MOUSE],5,5,16.5,0.388,0.009,0.032,0.013,0.072,0.138,0.098,0.113,0.128,0.008
Q8VCM4,"Lipoyltransferase 1, mitochondrial OS=Mus musculus GN=Lipt1 PE=2 SV=1 [LIPT_MOUSE]",5,5,15.5,0.007,0.000,0.000,0.000,0.054,0.152,0.400,0.228,0.152,0.007
Q8VCM5-3,Isoform 3 of Mitochondrial ubiquitin ligase activator of NFKB 1 OS=Mus musculus GN=Mul1 [MUL1_MOUSE],5,5,25.6,0.014,0.002,0.000,0.000,0.052,0.159,0.422,0.204,0.141,0.005
Q8VDK1-2,Isoform 2 of Nitrilase homolog 1 OS=Mus musculus GN=Nit1 [NIT1_MOUSE],5,5,20.3,0.371,0.003,0.029,0.000,0.048,0.103,0.216,0.116,0.106,0.007
Q8VEK0,Cell cycle control protein 50A OS=Mus musculus GN=Tmem30a PE=1 SV=1 [CC50A_MOUSE],5,5,14.6,0.012,0.003,0.002,0.008,0.067,0.405,0.270,0.144,0.084,0.005
Q91V01,Lysophospholipid acyltransferase 5 OS=Mus musculus GN=Lpcat3 PE=1 SV=1 [MBOA5_MOUSE],5,5,11.3,0.008,0.000,0.004,0.000,0.024,0.278,0.367,0.206,0.109,0.003
Q91V81,RNA-binding protein 42 OS=Mus musculus GN=Rbm42 PE=1 SV=1 [RBM42_MOUSE],5,5,15.2,0.255,0.002,0.015,0.000,0.012,0.037,0.060,0.085,0.525,0.008
Q91VK4,Integral membrane protein 2C OS=Mus musculus GN=Itm2c PE=2 SV=2 [ITM2C_MOUSE],5,5,20.1,0.050,0.015,0.029,0.013,0.132,0.260,0.216,0.129,0.149,0.009
Q91VW3,SH3 domain-binding glutamic acid-rich-like protein 3 OS=Mus musculus GN=Sh3bgrl3 PE=1 SV=1 [SH3L3_MOUSE],5,5,43.0,0.743,0.022,0.074,0.026,0.040,0.038,0.025,0.021,0.012,0.000
Q91W34,RUS1 family protein C16orf58 homolog OS=Mus musculus PE=2 SV=1 [RUS1_MOUSE],5,5,11.4,0.022,0.000,0.000,0.006,0.098,0.314,0.298,0.167,0.089,0.007
Q91W53,Golgin subfamily A member 7 OS=Mus musculus GN=Golga7 PE=2 SV=1 [GOGA7_MOUSE],5,5,38.7,0.020,0.000,0.018,0.010,0.118,0.405,0.218,0.135,0.076,0.000
Q91W96,Anaphase-promoting complex subunit 4 OS=Mus musculus GN=Anapc4 PE=1 SV=1 [APC4_MOUSE],5,5,10.0,0.595,0.000,0.035,0.000,0.013,0.046,0.053,0.080,0.173,0.006
Q91WD1,DNA-directed RNA polymerase III subunit RPC4 OS=Mus musculus GN=Polr3d PE=2 SV=2 [RPC4_MOUSE],5,5,13.8,0.387,0.000,0.030,0.000,0.018,0.070,0.084,0.196,0.205,0.009
Q91WD7,Kinesin-like protein KIF18A OS=Mus musculus GN=Kif18a PE=2 SV=1 [KI18A_MOUSE],5,5,8.6,0.213,0.000,0.021,0.000,0.031,0.067,0.067,0.138,0.401,0.062
Q91WE2,Protein FAM192A OS=Mus musculus GN=Fam192a PE=2 SV=1 [F192A_MOUSE],5,5,23.2,0.837,0.002,0.058,0.000,0.021,0.018,0.013,0.014,0.036,0.001
Q91WE4,UPF0729 protein C18orf32 homolog OS=Mus musculus PE=2 SV=1 [CR032_MOUSE],5,5,37.5,0.004,0.000,0.000,0.006,0.018,0.341,0.331,0.201,0.090,0.009
Q91WG2,Rab GTPase-binding effector protein 2 OS=Mus musculus GN=Rabep2 PE=2 SV=3 [RABE2_MOUSE],5,5,24.9,0.711,0.000,0.056,0.000,0.046,0.059,0.039,0.043,0.046,0.000
Q91X88-2,"Isoform 2 of Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 OS=Mus musculus GN=Pomgnt1 [PMGT1_MOUSE]",5,5,12.9,0.140,0.000,0.009,0.007,0.095,0.195,0.216,0.151,0.167,0.021
Q91XD7,Cysteine-rich with EGF-like domain protein 1 OS=Mus musculus GN=Creld1 PE=2 SV=1 [CREL1_MOUSE],5,5,15.7,0.022,0.011,0.012,0.018,0.161,0.252,0.261,0.130,0.131,0.002
Q91XL3,UDP-glucuronic acid decarboxylase 1 OS=Mus musculus GN=Uxs1 PE=2 SV=1 [UXS1_MOUSE],5,5,22.4,0.017,0.000,0.000,0.000,0.122,0.282,0.329,0.145,0.105,0.000
Q91YT8,CSC1-like protein 1 OS=Mus musculus GN=Tmem63a PE=2 SV=1 [CSCL1_MOUSE],5,5,8.5,0.027,0.079,0.083,0.112,0.217,0.180,0.147,0.089,0.050,0.014
Q91YY4,ATP synthase mitochondrial F1 complex assembly factor 2 OS=Mus musculus GN=Atpaf2 PE=1 SV=1 [ATPF2_MOUSE],5,5,28.7,0.024,0.000,0.000,0.000,0.017,0.132,0.458,0.215,0.144,0.010
Q91Z38,Tetratricopeptide repeat protein 1 OS=Mus musculus GN=Ttc1 PE=2 SV=1 [TTC1_MOUSE],5,5,24.7,0.803,0.003,0.050,0.000,0.023,0.043,0.030,0.024,0.024,0.000
Q91ZD4,Vang-like protein 2 OS=Mus musculus GN=Vangl2 PE=1 SV=3 [VANG2_MOUSE],5,5,12.7,0.014,0.000,0.000,0.000,0.122,0.376,0.264,0.133,0.092,0.000
Q921C5,Protein bicaudal D homolog 2 OS=Mus musculus GN=Bicd2 PE=1 SV=1 [BICD2_MOUSE],5,5,11.1,0.395,0.000,0.034,0.000,0.023,0.104,0.118,0.151,0.169,0.006
Q922B9,Sperm-specific antigen 2 homolog OS=Mus musculus GN=Ssfa2 PE=1 SV=3 [SSFA2_MOUSE],5,5,4.2,0.067,0.000,0.000,0.000,0.135,0.283,0.201,0.144,0.161,0.008
Q922G2-2,Isoform 2 of Protein FAM76A OS=Mus musculus GN=Fam76a [FA76A_MOUSE],5,5,17.6,0.214,0.000,0.014,0.000,0.015,0.048,0.067,0.080,0.556,0.005
Q922H9-2,Isoform 2 of Zinc finger protein 330 OS=Mus musculus GN=Znf330 [ZN330_MOUSE],5,5,20.3,0.355,0.002,0.022,0.000,0.030,0.048,0.064,0.147,0.322,0.011
Q922Y2,Tripartite motif-containing protein 59 OS=Mus musculus GN=Trim59 PE=2 SV=2 [TRI59_MOUSE],5,5,29.0,0.017,0.000,0.000,0.004,0.032,0.320,0.337,0.181,0.099,0.010
Q923K4,"tRNA modification GTPase GTPBP3, mitochondrial OS=Mus musculus GN=Gtpbp3 PE=2 SV=1 [GTPB3_MOUSE]",5,5,19.3,0.008,0.000,0.000,0.000,0.076,0.156,0.421,0.188,0.145,0.005
Q924D0,"Reticulon-4-interacting protein 1, mitochondrial OS=Mus musculus GN=Rtn4ip1 PE=1 SV=2 [RT4I1_MOUSE]",5,5,17.4,0.000,0.000,0.000,0.000,0.073,0.166,0.414,0.202,0.132,0.014
Q924H2,Mediator of RNA polymerase II transcription subunit 15 OS=Mus musculus GN=Med15 PE=2 SV=2 [MED15_MOUSE],5,5,8.7,0.106,0.000,0.000,0.000,0.011,0.053,0.063,0.078,0.680,0.010
