Majority protein IDs,Protein names,Gene names,Organellar Markers,Ratio H/L R1_C2_03,Ratio H/L R1_C2_06,Ratio H/L R1_C2_12,Ratio H/L R1_C2_24,Ratio H/L R1_C2_80,Ratio H/L R1_C6_03,Ratio H/L R1_C6_06,Ratio H/L R1_C6_12,Ratio H/L R1_C6_24,Ratio H/L R1_C6_80,Ratio H/L R1_Con_03,Ratio H/L R1_Con_06,Ratio H/L R1_Con_12,Ratio H/L R1_Con_24,Ratio H/L R1_Con_80,Ratio H/L R2_C2_03,Ratio H/L R2_C2_06,Ratio H/L R2_C2_12,Ratio H/L R2_C2_24,Ratio H/L R2_C2_80,Ratio H/L R2_C6_03,Ratio H/L R2_C6_06,Ratio H/L R2_C6_12,Ratio H/L R2_C6_24,Ratio H/L R2_C6_80,Ratio H/L R2_Con_03,Ratio H/L R2_Con_06,Ratio H/L R2_Con_12,Ratio H/L R2_Con_24,Ratio H/L R2_Con_80,Ratio H/L R3_C2_03,Ratio H/L R3_C2_06,Ratio H/L R3_C2_12,Ratio H/L R3_C2_24,Ratio H/L R3_C2_80,Ratio H/L R3_C6_03,Ratio H/L R3_C6_06,Ratio H/L R3_C6_12,Ratio H/L R3_C6_24,Ratio H/L R3_C6_80,Ratio H/L R3_Con_03,Ratio H/L R3_Con_06,Ratio H/L R3_Con_12,Ratio H/L R3_Con_24,Ratio H/L R3_Con_80
P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,,0.65989,0.59707,0.30605,0.32733,0.38698,0.67127,0.55556,0.28629,0.29863,0.32414,0.82013,0.69893,0.33738,0.33298,0.42759,0.76461,0.48995,0.28758,0.23715,0.26944,0.84491,0.51025,0.29725,0.33298,0.2945,0.68716,0.54004,0.24681,0.47008,0.30379,0.66148,0.55347,0.27359,0.25459,0.33989,0.57751,0.52656,0.41894,0.42563,0.33642,0.77599,0.65381,0.39759,0.38166,0.37321
Q92688;Q92688-2,Acidic leucine-rich nuclear phosphoprotein 32 family member B,ANP32B,,0.82287,0.79947,0.40294,0.37885,0.36205,0.74217,0.78295,0.41784,0.41447,0.30513,0.88116,0.95352,0.44233,0.41836,0.37786,0.95477,0.74029,0.44762,0.38222,0.35745,0.86803,0.73414,0.43458,0.43585,0.32606,0.91528,0.701,0.34179,0.35763,0.33038,0.89918,0.76722,0.44315,0.37957,0.39032,0.81253,0.7776,0.54663,0.53491,0.37707,0.95969,0.95311,0.54817,0.49548,0.40796
P04083,Annexin A1,ANXA1,,0.47348,0.39345,0.21654,0.25594,0.62014,0.41714,0.35496,0.22355,0.24712,0.50421,0.39792,0.42808,0.21616,0.25713,0.5843,0.51613,0.37232,0.25523,0.26627,0.56475,0.50161,0.36202,0.23304,0.31317,0.43162,0.44673,0.33504,0.18169,0.2364,0.47537,0.40375,0.37172,0.22919,0.25526,0.58892,0.36002,0.31966,0.28979,0.39552,0.53769,0.39885,0.41215,0.30891,0.34168,0.65497
P50995;P50995-2,Annexin A11,ANXA11,,0.66418,0.57352,0.41581,0.50022,1.2659,0.45377,0.46741,0.45697,0.46666,1.0915,0.47169,0.65898,0.44489,0.51271,0.84633,0.53334,0.3315,0.39822,0.51746,0.90838,0.43954,0.3112,0.4442,0.66529,0.94387,0.37751,0.31936,0.31371,0.33738,0.67657,0.35463,0.39075,0.36795,0.54681,0.66251,0.33843,0.32997,0.31143,0.73571,0.7232,0.38453,0.34048,0.55946,0.641,0.82557
P07355;P07355-2;A6NMY6,Annexin A2;Putative annexin A2-like protein,ANXA2;ANXA2P2,,0.54862,0.78595,0.85586,1.1761,2.2148,0.55056,0.71881,0.75931,1.0636,1.9866,0.61973,0.9913,0.88624,1.1444,2.2238,0.62811,0.74307,0.92582,1.1897,2.026,0.60863,0.77085,0.86634,1.2912,2.067,0.63669,0.69624,0.75215,1.064,1.923,0.35505,0.45756,0.61888,1.0276,2.02,0.36281,0.43631,0.56851,1.2088,1.8703,0.37302,0.45502,0.58445,0.98914,2.0334
P08758,Annexin A5,ANXA5,,0.41506,0.33928,0.19739,0.23935,0.62212,0.42461,0.33969,0.1952,0.23582,0.48202,0.40548,0.38805,0.20179,0.22323,0.56072,0.54617,0.35403,0.23395,0.24824,0.55553,0.49219,0.32816,0.20428,0.29572,0.44856,0.42299,0.31741,0.14895,0.21717,0.4401,0.40549,0.35983,0.23593,0.2564,0.68161,0.36823,0.28834,0.27434,0.34165,0.54076,0.40358,0.41429,0.28392,0.32798,0.6715
P08133;P08133-2,Annexin A6,ANXA6,,0.60653,0.4792,0.30035,0.43174,0.79917,0.55887,0.43008,0.3076,0.37809,0.76943,0.50715,0.50896,0.32158,0.38143,0.93248,0.57213,0.40392,0.26581,0.29728,0.64439,0.53058,0.33111,0.26774,0.32555,0.4825,0.47717,0.42954,0.23465,0.26083,0.49216,0.53722,0.48785,0.31197,0.32644,0.69912,0.37121,0.31072,0.33372,0.43172,0.69767,0.48285,0.49866,0.37213,0.46977,0.61987
P63010;P63010-2;P63010-3,AP-2 complex subunit beta,AP2B1,,0.59157,0.85196,0.98777,1.338,1.5609,0.58148,0.86086,0.99906,1.3238,1.9489,0.48677,1.1333,1.2023,1.2844,1.866,0.66855,0.73311,0.81901,1.0695,1.8322,0.67288,0.78532,0.79338,1.1987,1.7057,0.68678,0.75994,0.86243,0.9522,1.3196,0.48828,0.62925,0.7098,1.071,1.814,0.54479,0.58673,0.58545,1.1158,1.4536,0.54716,0.76115,0.76669,1.0911,1.7428
P27695,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",APEX1,,2.5237,1.7563,0.62091,0.43394,0.3902,2.4061,1.6497,0.5452,0.40177,0.36475,2.4135,1.9202,0.64073,0.45247,0.41812,2.7938,1.9568,0.59326,0.39488,0.34407,2.8819,2.0975,0.62178,0.45213,0.41499,2.8219,1.7678,0.48791,0.37006,0.31491,3.0617,2.3425,0.70602,0.42788,0.40177,2.648,2.0251,0.69959,0.53941,0.42159,3.6539,2.62,0.91744,0.59938,0.53108
Q9BZZ5-2;Q9BZZ5-5,Apoptosis inhibitor 5,API5,,2.6126,2.5579,0.92888,0.533,0.45513,2.1996,2.1426,0.79735,0.51947,0.4238,2.8662,3.4868,0.96862,0.6113,0.48909,2.9659,2.4749,0.83238,0.48309,0.37037,3.3452,3.2042,1.0442,0.73728,0.56132,2.7779,2.576,0.73062,0.45091,0.34758,2.1997,2.0007,0.7196,0.3593,0.2703,1.9212,1.7933,0.69908,0.4648,0.29617,2.3563,2.4973,0.77657,0.44583,0.32671
Q06481;Q06481-3;Q06481-6;Q06481-2;Q06481-5,Amyloid-like protein 2,APLP2,,1.1323,0.58003,0.67417,1.6916,3.1166,1.1971,0.52356,0.61844,1.7344,2.5358,1.095,0.63575,0.67065,1.4505,3.2699,1.2442,0.4627,0.51264,1.5726,3.5574,1.263,0.37249,0.39147,1.7344,2.1327,1.3411,0.51853,0.43255,1.2615,2.7582,1.2056,0.50874,0.47197,1.7721,3.9366,1.3857,0.51308,0.50007,2.2538,1.436,1.1148,0.5386,0.39107,1.3341,3.6843
Q9HDC9;Q9HDC9-2,Adipocyte plasma membrane-associated protein,APMAP,,0.96286,0.53386,0.98865,2.5633,5.5223,0.90411,0.51445,0.87777,3.2517,5.9365,0.87618,0.55792,0.94183,3.0576,6.0737,0.94154,0.49223,0.8707,2.3717,5.7763,0.83369,0.45556,0.7718,2.4229,5.1535,1.0768,0.47382,0.73837,2.5229,5.0698,0.82419,0.49556,0.72711,2.6172,5.4956,0.81593,0.52501,0.72187,3.3912,7.7722,0.67128,0.44357,0.62156,2.4104,4.895
Q9NRW3,DNA dC->dU-editing enzyme APOBEC-3C,APOBEC3C,,2.9273,1.836,0.75994,0.50548,0.50314,2.7494,1.6762,0.70012,0.5337,0.46552,2.5724,1.9255,0.8128,0.514,0.49216,2.3797,1.6053,0.5417,0.33339,0.31713,2.3262,1.4129,0.45332,0.2713,0.32734,2.7021,1.7339,0.52713,0.34421,0.36023,3.237,1.8912,0.61456,0.35152,0.3952,3.05,2.1053,0.66873,0.46744,0.47227,3.8155,1.9543,0.75298,0.47946,0.52837
P07741;P07741-2,Adenine phosphoribosyltransferase,APRT,,0.43739,0.34787,0.18153,0.20103,0.49954,0.725,0.34303,0.19983,0.23173,0.45992,0.36074,0.40737,0.1847,0.19024,0.44527,0.52419,0.37054,0.21975,0.20605,0.54897,0.51476,0.59058,0.23663,0.28538,0.37847,0.46621,0.29882,0.16992,0.19613,0.36086,0.32023,0.31385,0.19473,0.2032,0.57884,0.37365,0.29504,0.21386,0.35962,0.49459,0.41521,0.41893,0.24475,0.26484,0.46709
O60306,Intron-binding protein aquarius,AQR,,1.4469,1.4124,0.85132,0.66554,0.42124,1.8123,1.1918,0.75895,0.56035,0.39202,1.3993,1.7906,0.91862,0.6803,0.44544,1.3082,1.1348,0.77115,0.62785,0.4375,1.4556,1.2533,0.91005,0.6186,0.5555,1.3589,1.0711,0.70582,0.54465,0.40906,1.2908,1.1714,0.88986,0.6457,0.4615,1.0859,1.0013,0.74918,0.86164,0.51144,1.561,1.1241,0.85349,0.68334,0.56674
P18085,ADP-ribosylation factor 4,ARF4,,0.72171,0.85953,0.72845,0.57659,0.67479,0.76863,0.80028,0.79948,0.66354,0.79668,0.6973,0.84805,0.77967,0.57039,0.76378,0.83784,0.71689,0.74064,0.57537,0.63266,0.72699,0.70581,0.67482,0.59841,0.61752,0.83389,0.72032,0.59873,0.51561,0.66096,0.64261,0.73455,0.69194,0.72002,0.76055,0.79908,0.88861,0.77503,0.95611,0.8061,0.57127,0.75824,0.79908,0.72845,0.85532
Q8N6T3;Q8N6T3-5;Q8N6T3-2;Q8N6T3-3,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,,0.82725,0.90004,1.1692,0.91524,0.76823,0.77564,0.75027,1.0821,0.80753,0.74087,0.65703,0.84569,0.95522,0.91696,0.81142,0.83092,0.83641,1.075,0.77019,0.51733,0.71259,0.7479,0.97608,0.79532,0.61984,0.84214,0.74866,0.87952,0.65455,0.52077,0.82743,1.1141,1.035,0.76806,0.60137,0.83628,1.049,1.161,1.1328,0.70401,0.7324,1.1203,1.0925,0.95876,0.80807
Q8N6H7;Q8N6H7-2;Q8N6H7-3,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,,1.1152,0.93065,0.91704,0.8696,1.1285,0.84174,0.70078,0.83332,0.6516,0.98949,0.94695,0.90965,0.92298,0.84046,1.2436,0.93091,0.69972,0.92263,0.80081,0.91033,0.69787,0.77838,0.72609,0.90589,0.95645,0.84969,0.62707,0.74686,0.79477,0.77242,0.6838,0.75348,0.68713,0.72868,0.71097,0.80232,0.74506,0.67125,1.1727,0.85057,0.74139,0.81956,0.76791,0.86238,0.73184
Q9Y6D5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,,1.0738,1.0852,0.63866,0.4727,0.38453,0.85599,1.0279,0.6107,0.46658,0.39075,0.76521,1.0374,0.64287,0.63787,0.40696,0.98982,1.0066,0.64834,0.43054,0.3341,0.96994,1.0351,0.51635,0.51196,0.47261,1.1627,0.76224,0.59861,0.38445,0.3854,0.54916,0.53201,0.69885,0.69407,0.43061,0.80572,0.77405,0.66274,0.77571,0.88866,0.71562,1.0587,0.67244,0.50303,0.54037
Q07960,Rho GTPase-activating protein 1,ARHGAP1,,0.72873,0.87354,0.78257,0.99509,0.78213,0.65077,0.89896,0.94046,0.87443,0.88925,0.74578,0.79519,0.84506,0.80126,0.80044,0.75725,0.7993,0.8288,0.84997,0.70162,0.6504,0.7307,0.67751,0.9289,0.72528,0.66065,0.71952,0.66621,0.70274,0.70506,0.68741,0.79354,0.88003,0.85431,0.72334,0.61968,0.72566,0.98324,1.317,1.0138,0.83704,0.98373,1.1839,1.3767,1.1805
Q68EM7-5;Q68EM7;Q68EM7-6;Q68EM7-2,Rho GTPase-activating protein 17,ARHGAP17,,2.9539,1.949,0.71229,0.47568,0.41689,2.811,1.7652,0.62732,0.43771,0.4025,2.5858,2.0794,0.69277,0.47121,0.44252,2.8056,2.2811,0.64686,0.38339,0.34907,2.7708,1.9133,0.53273,0.39259,0.33732,2.9109,1.9741,0.55162,0.37796,0.34215,2.533,2.3284,0.75017,0.42483,0.40275,2.3959,2.2938,0.72402,0.50649,0.41764,2.6932,2.5639,0.81091,0.51288,0.48564
P52565,Rho GDP-dissociation inhibitor 1,ARHGDIA,,0.25077,0.41265,0.20114,0.26159,0.57076,0.37113,0.33595,0.20374,0.21069,0.56308,0.40834,0.43602,0.21831,0.25689,0.54555,0.45579,0.53255,0.22816,0.25301,0.53457,0.46187,0.34356,0.1977,0.30159,0.49011,0.42381,0.34346,0.13975,0.19282,0.43431,0.37401,0.38624,0.20701,0.23092,0.66936,0.3195,0.29436,0.23065,0.31678,0.58972,0.36649,0.3145,0.24846,0.31051,0.55475
Q92974;Q92974-2;Q92974-3,Rho guanine nucleotide exchange factor 2,ARHGEF2,,3.146,2.0264,0.67069,0.49038,0.37802,2.5292,1.8447,0.6119,0.44162,0.35167,2.2263,1.988,0.66963,0.46483,0.38011,2.9934,2.0232,0.62986,0.43564,0.33159,2.8032,1.814,0.49665,0.38389,0.30422,2.7953,1.805,0.55876,0.38844,0.306,2.8278,2.5904,0.78478,0.46876,0.3908,3.0918,2.1376,0.74147,0.58006,0.38786,3.4072,2.5268,0.85941,0.57549,0.45897
O75915,PRA1 family protein 3,ARL6IP5,,0.91989,0.62755,0.94556,1.7547,2.3972,0.87711,0.53224,0.92537,1.7234,2.4927,0.96849,0.63646,0.92434,1.8884,2.365,0.84037,0.54582,0.84271,1.6289,2.4766,0.8076,0.48743,0.68964,1.6339,2.3858,0.83879,0.48374,0.69161,1.4685,2.5002,0.68767,0.48619,0.68076,1.4171,3.0268,0.6704,0.53759,0.68015,2.1482,2.6271,0.65848,0.44883,0.61395,1.527,2.9461
Q8N3C0,Activating signal cointegrator 1 complex subunit 3,ASCC3,,2.5764,1.5814,0.64195,0.47554,0.42638,2.3182,1.6271,0.61518,0.46075,0.39347,2.2948,1.7806,0.70739,0.49183,0.45466,2.1246,1.4902,0.57069,0.37127,0.3261,1.9784,1.2563,0.51503,0.38809,0.30932,2.1807,1.4384,0.52076,0.37905,0.33041,2.3685,1.9467,0.80178,0.4944,0.44946,2.2321,1.7094,0.7751,0.63358,0.4663,2.5781,2.1078,0.98352,0.63923,0.53229
O43681,ATPase ASNA1,ASNA1,,0.68007,0.47533,0.51215,0.81204,1.6409,0.64422,0.42294,0.55993,0.94341,1.8698,0.59869,0.50708,0.54891,0.9357,1.9729,0.65217,0.42973,0.54801,0.84923,1.9925,0.67536,0.4456,0.54059,0.95422,1.7969,0.71853,0.4363,0.45885,0.87386,1.5799,0.65887,0.44888,0.59968,0.77455,1.7836,0.57782,0.42523,0.52359,1.0725,1.4646,0.56759,0.39501,0.49276,0.96847,1.8688
P08243;P08243-2;P08243-3,Asparagine synthetase [glutamine-hydrolyzing],ASNS,,0.35357,0.34472,0.20429,0.227,0.5669,0.23879,0.24869,0.18348,0.24066,0.38936,0.2665,0.43351,0.22273,0.2362,0.51425,0.50115,0.38173,0.2855,0.23176,0.56839,0.43728,0.31186,0.4458,0.29459,0.2731,0.35859,0.35222,0.18832,0.25743,0.42323,0.33674,0.39908,0.29328,0.32489,0.71586,0.29546,0.32495,0.27446,0.36754,0.49677,0.39478,0.45211,0.36632,0.38375,0.6962
P00966,Argininosuccinate synthase,ASS1,,0.673,0.60099,0.30878,0.34939,0.48567,0.59087,0.5361,0.31496,0.31668,0.41784,0.55507,0.61876,0.30681,0.3177,0.43985,0.81121,0.59456,0.37808,0.34046,0.48718,0.73321,0.52315,0.33603,0.40232,0.45494,0.6153,0.49832,0.25369,0.30951,0.3964,0.48375,0.47178,0.29224,0.30871,0.47275,0.46096,0.43264,0.34854,0.45428,0.44614,0.49312,0.48869,0.36339,0.38593,0.49204
Q8NBU5;Q8NBU5-2,ATPase family AAA domain-containing protein 1,ATAD1,,0.42177,0.65158,3.6385,7.5917,11.247,0.36749,0.65837,3.2566,5.4746,9.4169,0.30177,0.67037,3.5913,10.702,11.008,0.4601,0.58941,3.2515,2.576,7.3326,0.40109,0.51184,2.8644,5.8627,11.31,0.47454,0.54746,2.4514,2.3219,10.473,0.41521,0.6245,2.608,1.8274,9.7355,0.40995,0.6605,2.391,3.7173,7.2852,0.36767,0.61474,2.4083,6.8505,11.335
Q9NVI7-2;Q9NVI7;Q9NVI7-3,ATPase family AAA domain-containing protein 3A,ATAD3A,,0.38996,0.82107,7.49,16.042,11.914,0.36256,0.76719,8.0082,14.93,12.876,0.30122,0.7655,9.2442,10.57,12.509,0.41902,0.6832,8.967,9.7206,4.1802,0.34999,0.5618,7.1843,7.4324,10.497,0.42012,0.61297,6.919,13.902,12.82,0.35251,0.66761,8.2642,13.427,38.781,0.37042,0.74626,6.4634,16.111,13.542,0.33273,0.64547,7.0206,11.451,17.357
Q5T9A4;Q5T9A4-3,ATPase family AAA domain-containing protein 3B,ATAD3B,,0.37148,0.77551,2.1893,1.6336,3.5314,0.33695,0.74713,3.7804,1.5566,12.871,0.29999,0.74097,7.1249,12.223,3.5,0.39865,0.63313,7.0482,10.378,7.6813,0.34968,0.54683,5.8705,10.826,1.2198,0.41434,0.58261,6.4537,8.4796,3.7387,0.3506,0.64375,6.0035,5.2914,5.6229,0.35802,0.67108,5.1581,11.639,1.2167,0.32379,0.61367,5.6538,12.082,12.19
P31939;P31939-2,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,,0.46926,0.39228,0.21913,0.26751,0.53326,0.50917,0.41746,0.25705,0.26409,0.52533,0.37119,0.47788,0.24606,0.27218,0.57221,0.55716,0.42932,0.28386,0.26434,0.49109,0.55518,0.36948,0.2251,0.30729,0.48169,0.44898,0.34353,0.19625,0.23604,0.42111,0.43472,0.42542,0.26118,0.31639,0.54856,0.41747,0.36135,0.32139,0.3858,0.52386,0.39205,0.40026,0.30954,0.33325,0.57277
Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4,Phospholipid-transporting ATPase IG,ATP11C,,0.93892,0.85055,0.96313,1.329,1.5182,1.0583,0.70513,0.73896,1.2219,1.8218,0.89591,0.85093,0.86662,1.2466,1.6614,1.0422,0.66148,0.63767,1.1104,1.8655,0.84012,0.65148,0.58809,1.4668,1.8109,1.1426,0.65713,0.54482,1.1426,1.7034,0.80531,0.58916,0.52823,1.2477,2.0321,0.80413,0.52439,0.54259,1.6069,1.4895,0.92161,0.66263,0.50045,1.2608,1.7422
O75787;O75787-2,Renin receptor,ATP6AP2,,1.041,0.55784,0.81147,2.1819,3.0461,0.97648,0.52324,0.93404,2.1014,4.0013,1.0381,0.52471,0.84571,2.2913,4.5969,0.90684,0.46869,0.715,1.8557,1.771,0.83339,0.52907,0.6265,1.41,3.1111,0.99672,0.45362,0.61356,1.736,4.0926,0.94897,0.47733,0.63914,1.6105,4.2006,0.71546,0.48212,0.64385,2.0735,2.8718,0.70117,0.45801,0.50962,1.3971,2.8372
P27449,V-type proton ATPase 16 kDa proteolipid subunit,ATP6V0C,,1.9722,0.6003,0.67538,1.4376,2.3011,1.8674,0.55678,0.58545,1.3591,2.4057,1.9935,0.58764,0.65012,1.4139,2.4709,1.7797,0.50078,0.52087,1.0629,2.2082,1.7416,0.45554,0.459,1.0625,2.0838,1.9019,0.52259,0.44399,0.93182,2.0468,1.676,0.63736,0.48173,1.1908,2.558,1.4108,0.56337,0.49527,2.2611,2.7122,1.3876,0.55008,0.52242,1.4249,2.2676
O75110;O75110-2,Probable phospholipid-transporting ATPase IIA,ATP9A,,1.5624,0.64054,0.56905,0.95271,2.1969,1.652,0.70228,0.61646,0.97976,1.4674,1.024,0.77571,0.65984,1.0748,1.5864,1.4628,0.68682,0.56022,0.96871,1.7041,1.7687,0.58821,0.45773,0.89867,1.4097,1.4245,0.58662,0.42625,0.80318,1.4317,1.4238,0.79598,0.48094,1.3752,1.6832,1.4087,0.58431,0.5253,1.2004,1.6261,1.4422,0.9716,0.48441,0.99467,1.3281
Q5TC12;Q5TC12-2,ATP synthase mitochondrial F1 complex assembly factor 1,ATPAF1,,0.43435,0.75845,7.8041,9.0409,10.191,0.40047,0.7994,3.4587,9.8109,9.0281,0.34669,0.77804,5.1562,16.072,14.555,0.46303,0.65613,5.5418,3.2352,7.7134,0.40513,0.59337,5.841,7.4247,7.7097,0.469,0.52444,5.6161,2.8949,5.6499,0.43928,0.64902,7.1252,5.5805,10.118,0.4596,0.64862,4.1369,4.1021,2.7882,0.38153,0.62684,7.0659,13.054,12.474
Q9UBB4;Q9UBB4-2,Ataxin-10,ATXN10,,0.97242,1.0123,0.53797,0.54992,0.74137,0.93997,0.98813,0.65026,0.6161,0.67814,0.73438,1.1519,0.71181,0.59847,0.82335,0.85084,0.86423,0.51713,0.44054,0.50073,0.78999,0.7988,0.57692,0.47609,0.56599,0.72861,0.66417,0.38987,0.38937,0.46908,0.83542,0.94404,0.53859,0.44967,0.6083,0.81141,0.96351,0.59253,0.6065,0.62312,0.85712,0.99406,0.59914,0.47022,0.65779
Q99700;Q99700-4;Q99700-2;Q99700-5,Ataxin-2,ATXN2,,2.7974,1.637,0.70931,0.43036,0.44085,2.4209,1.7659,0.68007,0.43454,0.43529,2.5234,1.9122,0.71297,0.50517,0.53713,2.5053,1.8148,0.56109,0.38323,0.35408,2.7853,1.5368,0.56253,0.41648,0.40687,3.0655,1.649,0.53116,0.36274,0.38143,3.1623,2.1883,0.71522,0.42026,0.46644,2.5982,2.1883,0.81682,0.56406,0.4472,1.8765,2.2247,0.80905,0.53283,0.55841
Q8WWM7;Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-2;Q8WWM7-3,Ataxin-2-like protein,ATXN2L,,3.0145,1.5136,0.61532,0.41941,0.47582,2.6619,1.6097,0.6101,0.44409,0.46655,2.4803,1.7203,0.65152,0.44625,0.5335,3.04,1.5537,0.53943,0.37501,0.38117,2.7462,1.5079,0.51664,0.38392,0.40083,3.163,1.4799,0.48391,0.33267,0.39467,2.9692,1.936,0.66074,0.40512,0.48174,3.0225,2.0702,0.70986,0.55485,0.47718,3.1806,2.0867,0.75399,0.46472,0.53127
Q9Y679-2;Q9Y679;Q9Y679-3,Ancient ubiquitous protein 1,AUP1,,0.9203,0.48566,0.79381,2.2549,5.6193,0.87749,0.48381,0.85566,2.026,5.3397,0.86243,0.47942,0.82765,2.464,6.8105,0.85936,0.43314,0.71837,1.949,4.0933,0.80625,0.44893,0.69667,1.7886,4.0135,1.0109,0.41435,0.63475,1.8598,5.064,0.78609,0.48053,0.67525,2.1421,6.4505,0.83889,0.50652,0.67528,2.7346,6.4077,0.64565,0.39978,0.53621,2.0205,5.6605
P61769,Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3,B2M,,0.85899,0.64343,0.96309,2.0848,3.7727,0.8262,0.55643,0.89397,1.8973,3.667,0.90068,0.72453,0.87567,1.884,1.6983,0.82276,0.588,0.92887,2.0075,3.5152,0.76228,0.52302,0.83661,1.9921,3.5072,0.85116,0.55602,0.71619,1.6302,3.4434,0.68754,0.56999,0.78323,1.8247,3.042,0.61396,0.49675,0.65024,2.1983,3.7074,0.65918,0.49352,0.6503,1.5388,2.8798
O43505,"Beta-1,4-glucuronyltransferase 1",B4GAT1,,0.47038,0.75876,1.4953,3.3708,2.6574,0.46888,0.61558,1.2153,2.1727,3.4591,0.39188,0.70751,1.6475,2.4963,2.656,0.51801,0.60299,1.327,2.5806,2.5905,0.48869,0.49157,0.98629,2.0656,3.3237,0.54793,0.52392,0.92015,1.9793,3.1948,0.39621,0.71678,0.9374,1.7574,3.8766,0.50787,0.5602,0.86693,2.6751,2.204,0.31741,0.48914,0.64566,1.4744,2.3518
O95816;O95816-2,BAG family molecular chaperone regulator 2,BAG2,,1.1793,0.92395,0.8768,1.1756,1.4358,0.98166,0.88183,0.87644,1.2159,1.4089,0.96354,0.88766,0.8034,1.1425,1.364,0.9781,0.62307,0.67482,0.80614,1.0502,0.86154,0.51528,0.54324,0.78887,0.99233,1.0659,0.62328,0.58203,0.82588,1.0901,1.1758,0.92252,0.87042,1.2634,1.7555,1.1051,0.83185,0.84607,1.8407,1.9457,1.3546,1.0257,1.0357,1.7595,2.1074
Q9UQB8-5;Q9UQB8;Q9UQB8-4;Q9UQB8-3;Q9UQB8-2;Q9UQB8-6,Brain-specific angiogenesis inhibitor 1-associated protein 2,BAIAP2,,1.2569,1.2285,0.75326,0.64075,0.7591,1.2588,1.0926,0.64788,0.60274,0.73291,1.1998,1.3058,0.78515,0.72058,0.87934,1.2169,1.0622,0.73952,0.54844,0.6216,1.0657,0.98007,0.62247,0.53338,0.59788,1.1541,0.9993,0.64616,0.54351,0.63783,1.0513,1.2027,0.75863,0.65714,0.64797,1.0351,1.1055,0.6714,0.74229,0.6398,1.1416,1.085,0.74675,0.71594,0.72784
Q9UHR4,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,BAIAP2L1,,1.1422,0.80204,0.71105,0.99258,1.4159,1.1223,0.70312,0.61785,0.98879,1.4175,1.0847,0.79249,0.70145,1.0976,1.7146,1.1747,0.7296,0.66889,0.91286,1.1804,1.2102,0.71577,0.59596,0.94037,1.2443,1.4109,0.69731,0.54508,0.84537,1.2433,0.96636,0.71722,0.56641,0.87773,1.2357,0.97208,0.61423,0.58109,1.2538,1.3673,1.1097,0.65369,0.55779,1.0235,1.3755
O75531,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",BANF1,,0.75948,0.72647,0.96349,2.5228,6.7536,1.0141,0.69111,0.77865,1.4994,3.2845,0.879,0.90152,1.2399,3.2819,7.395,0.50843,0.39571,0.51413,1.0788,3.6241,0.32239,0.24604,0.2563,0.53163,1.7784,0.55089,0.38911,0.48091,1.0606,3.3213,1.4489,1.0098,0.79687,1.8724,5.5066,1.1599,0.89427,0.59973,1.3339,3.7322,1.1402,0.86106,0.83283,1.646,5.5917
P51572-2;P51572,B-cell receptor-associated protein 31,BCAP31,,1.0016,0.57883,0.92782,2.514,4.8538,0.92072,0.55706,0.90898,2.3797,4.1633,1.0222,0.59058,0.91385,2.7005,4.9432,0.90767,0.49281,0.83229,2.2352,4.269,0.84991,0.4446,0.7238,2.1632,3.6641,1.0262,0.4824,0.69709,2.2123,5.4598,0.73998,0.51654,0.69234,2.3325,6.3049,0.76652,0.50865,0.68542,3.1107,6.4275,0.65929,0.42556,0.58139,2.0573,4.9457
O75934,Pre-mRNA-splicing factor SPF27,BCAS2,,2.3161,2.659,0.77725,0.48722,0.41412,2.1041,1.9121,0.66008,0.51804,0.36393,2.3702,2.9535,0.90326,0.64499,0.49424,2.6122,1.7284,0.63553,0.37949,0.28461,2.4525,1.857,0.68013,0.48716,0.37598,2.1634,2.2264,0.55872,0.38776,0.32128,1.9182,1.8051,0.614,0.39081,0.31737,1.7358,1.6097,0.64369,0.52529,0.32302,1.7154,1.5137,0.653,0.44053,0.40299
Q9P287;Q9P287-3;Q9P287-2;Q9P287-4,BRCA2 and CDKN1A-interacting protein,BCCIP,,2.8793,2.2241,0.72843,0.53324,0.41252,1.9934,1.5437,0.68261,0.45527,0.3237,3.1888,2.5596,0.7647,0.52311,0.46059,2.8844,1.9278,0.69526,0.48108,0.36556,3.3209,2.2911,0.89896,0.69519,0.54736,2.7065,2.046,0.51102,0.37895,0.31594,2.142,2.0209,0.59159,0.377,0.31694,1.8288,1.3983,0.74311,0.58581,0.39843,2.589,1.8662,0.72118,0.51262,0.4168
