Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Scamp3,Q3UXS0,Q3UXS0;O35609;E9Q855,Secretory carrier-associated membrane protein 3,Endosome,Endosome,1.05,High,Mostly Organellar,"14,788","17,315","12,715",59.3%,56.1,63.4,49.6,11.0,1%,90%,8%,165,38.586
Snap91,Q61548,Q61548;Q61548-3;Q61548-2;E9Q9A3;E9QQ05;E9QLK9;Q3TWS4;A0A087WSI9,Clathrin coat assembly protein AP180,,Endosome,1.04,High,Organellar with Cytosolic pool,"18,094","21,004","14,053",62.4%,65.5,80.4,57.5,32.1,4%,23%,73%,239,91.85
Vta1,Q9CR26,Q9CR26;F6W5Q8,Vacuolar protein sorting-associated protein VTA1 homolog,,Endosome,1.04,High,Organellar with Cytosolic pool,"102,877","105,592","93,705",83.6%,387.6,398.0,359.2,67.4,2%,10%,88%,153,33.913
Mvb12b,Q6KAU4,Q6KAU4;A2ARF0,Multivesicular body subunit 12B,,Endosome,1.03,High,Organellar with Cytosolic pool,"36,066","44,109","33,276",72.4%,138.3,153.8,133.1,24.7,5%,31%,64%,212,35.411
Pkn2,Q8BWW9,Q8BWW9;G3UZM9;Q8BWW9-2;G3UXH4;Q8BWW9-3,Serine/threonine-protein kinase N2,,Endosome,1.02,High,,"7,804","9,550","5,846",49.8%,29.6,33.3,23.9,16.8,,,,309,111.61
Gipc1,Q9Z0G0,Q9Z0G0,PDZ domain-containing protein GIPC1,,Endosome,1.01,High,Organellar with Cytosolic pool,"36,010","52,580","26,838",72.4%,143.4,183.4,99.6,25.1,3%,12%,85%,126,36.129
Tmem206,Q9D771,Q9D771,Transmembrane protein 206,,Endosome,0.99,Medium,Mostly Organellar,"6,054","9,570","3,697",46.0%,24.1,33.4,13.7,4.7,2%,98%,0%,108,40.178
Ankrd50,F7BE84,F7BE84,,,Endosome,0.97,Medium,Organellar with Cytosolic pool,"5,332","6,918","2,076",44.2%,19.2,26.8,8.5,15.5,2%,24%,75%,143,150.86
Rab11fip2,G3XA57,G3XA57;G3XA57-2;G3UW57,Rab11 family-interacting protein 2,,Endosome,0.96,Medium,Organellar with Cytosolic pool,"3,510","4,815","2,450",38.4%,13.3,16.8,10.0,3.9,2%,68%,30%,99,58.206
Phactr4,Q501J7,Q501J7-2;Q501J7;Q501J7-3,Phosphatase and actin regulator 4,,Endosome,0.93,Medium,Organellar with Cytosolic pool,"7,568","10,932","5,764",49.3%,30.1,38.1,21.4,10.7,3%,35%,62%,169,73.4
Slc9a6,A1L3P4,A1L3P4;B0QZV3,Sodium/hydrogen exchanger,,Endosome,0.92,Medium,Mostly Organellar,"2,722","3,225","1,732",35.0%,9.8,12.5,7.1,4.1,4%,95%,2%,106,77.952
Tacc2,Q9JJG0,Q9JJG0-3;E9QL08;E9Q9Z4;E9Q8T1;Q9JJG0;Q9JJG0-2;Q9JJG0-4,Transforming acidic coiled-coil-containing protein 2,,Endosome,0.90,Medium,Organellar with Cytosolic pool,"18,958","22,513","14,191",63.1%,68.2,87.2,58.1,37.8,3%,15%,81%,270,103.27
Usp8,Q80U87,Q80U87;A2AI52,Ubiquitin carboxyl-terminal hydrolase 8;Ubiquitin carboxyl-terminal hydrolase,,Endosome,0.90,Medium,Organellar with Cytosolic pool,"4,774","4,895","4,171",42.6%,17.5,18.2,17.1,11.3,3%,9%,88%,86,122.61
Atp6v0a1,Q9Z1G4,Q9Z1G4;K3W4T3;Q9Z1G4-3;Q9Z1G4-2,V-type proton ATPase 116 kDa subunit a isoform 1;V-type proton ATPase subunit a,Endosome,Endosome,0.88,Medium,Mostly Organellar,"12,279","16,670","9,599",56.4%,48.4,59.3,35.6,22.9,5%,91%,4%,382,96.466
Napg,Q9CWZ7,Q9CWZ7,Gamma-soluble NSF attachment protein,,Endosome,0.88,Medium,,"52,583","70,461","47,160",77.0%,209.1,245.7,175.4,35.3,,,,288,34.732
Stmn3,O70166,O70166;Q545T6,Stathmin-3;Stathmin,,Endosome,0.87,Medium,Organellar with Cytosolic pool,"30,626","45,424","27,040",70.2%,121.9,158.4,100.3,12.4,3%,79%,18%,101,20.954
,Q8C3W1,Q8C3W1,Uncharacterized protein C1orf198 homolog,,Endosome,0.87,Medium,,"6,910","8,423","5,458",48.0%,25.6,32.6,21.1,4.7,,,,131,35.316
Ccdc22,Q9JIG7,Q9JIG7,Coiled-coil domain-containing protein 22,,Endosome,0.86,Medium,Organellar with Cytosolic pool,"11,926","17,790","10,826",56.1%,47.5,62.0,40.2,16.3,2%,36%,63%,221,70.843
Sorl1,O88307,O88307,Sortilin-related receptor,,Endosome,0.86,Medium,Mostly Organellar,"5,037","7,730","3,711",43.4%,19.1,27.0,15.2,24.1,11%,84%,5%,572,247.08
Igf2r,Q07113,Q07113,Cation-independent mannose-6-phosphate receptor,Endosome,Endosome,0.85,Medium,Mostly Organellar,"19,374","22,780","15,152",63.5%,71.2,84.5,62.0,102.5,9%,82%,9%,1264,273.81
Edil3,Q8C4U8,Q8C4U8;O35474;Q8C8K0,EGF-like repeat and discoidin I-like domain-containing protein 3,,Endosome,0.85,Medium,Mostly Organellar,"1,544","2,262","1,066",28.0%,6.0,8.8,3.7,1.6,7%,93%,0%,68,52.695
Ptpn23,Q6PB44,Q6PB44;Q6PB44-2,Tyrosine-protein phosphatase non-receptor type 23,,Endosome,0.83,Medium,Mostly Cytosolic,"21,118","28,402","15,506",65.0%,84.1,99.0,57.5,75.6,1%,8%,91%,381,185.21
Gng3,P63216,P63216,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3,,Endosome,0.81,Medium,Mostly Organellar,"27,467","35,165","12,253",68.8%,98.8,136.2,50.2,4.4,6%,90%,4%,75,8.3047
Stk3,Q9JI10,Q9JI10;Q9JI10-2,Serine/threonine-protein kinase 3;Serine/threonine-protein kinase 3 36kDa subunit;Serine/threonine-protein kinase 3 20kDa subunit,,Endosome,0.81,Medium,Mostly Cytosolic,"37,487","38,475","26,300",73.0%,140.3,151.9,97.6,41.2,0%,6%,93%,111,56.855
Chmp5,Q9D7S9,Q9D7S9,Charged multivesicular body protein 5,,Endosome,0.81,Medium,Organellar with Cytosolic pool,"105,858","123,217","102,554",83.9%,407.3,477.3,366.9,50.3,2%,11%,87%,121,24.575
Csnk1g3,Q8C4X2,Q8C4X2,Casein kinase I isoform gamma-3,,Endosome,0.81,Medium,Mostly Organellar,"8,043","13,193","6,640",50.4%,32.0,46.0,24.6,7.6,2%,95%,3%,194,48.937
Arf6,P62331,P62331;Q3U0D7,ADP-ribosylation factor 6,,Endosome,0.81,Medium,,"33,073","34,984","25,910",71.2%,120.9,131.2,106.1,12.8,,,,150,20.082
Srgap3,F8VPQ4,F8VPQ4;Q812A2;E9QN14,SLIT-ROBO Rho GTPase-activating protein 3,,Endosome,0.80,Medium,Organellar with Cytosolic pool,"35,132","44,132","27,400",72.1%,139.9,153.9,101.7,84.5,3%,13%,84%,443,124.45
Atp8a1,P70704,P70704-2;F6WYQ5;A0A0M3HEP7;P70704;P70704-3,Phospholipid-transporting ATPase IA;Phospholipid-transporting ATPase,,Endosome,0.80,Medium,Mostly Organellar,"1,994","2,327","1,715",31.2%,7.8,8.3,6.4,5.0,1%,99%,0%,167,129.77
Gripap1,A2AEW8,A2AEW8;A2AEW9,,,Endosome,0.79,Medium,Mostly Cytosolic,"26,173","43,749","23,653",68.2%,99.2,152.6,96.8,48.5,2%,4%,94%,203,95.912
Dnajc6,Q80TZ3,Q80TZ3-3;Q80TZ3;Q80TZ3-2,Putative tyrosine-protein phosphatase auxilin,,Endosome,0.79,Medium,,"4,955","7,444","4,713",43.2%,19.3,26.0,18.3,10.1,,,,187,105.41
Cdc42se2,Q8BGH7,Q8BGH7,CDC42 small effector protein 2,,Endosome,0.78,Medium,Mostly Organellar,"37,978","48,923","21,952",73.2%,148.0,170.6,85.0,6.8,7%,91%,1%,95,9.2234
Ly6h,Q544M1,Q544M1;Q8K356;Q9WUC3,Lymphocyte antigen 6H,,Endosome,0.78,Medium,Mostly Organellar,"43,485","47,460","34,031",74.7%,160.7,174.2,139.3,12.3,9%,88%,3%,80,14.669
Synrg,Q5SV85,Q5SV85-2;Q5SV85;V9GXD9;V9GX40,Synergin gamma,,Endosome,0.77,Medium,Organellar with Cytosolic pool,"22,461","27,122","18,783",66.1%,85.8,102.8,69.7,53.0,3%,22%,75%,468,122.08
Kiaa0196,Q8C2E7,Q8C2E7;Q8C2E7-2,WASH complex subunit strumpellin,Endosome,Endosome,0.76,Medium,Organellar with Cytosolic pool,"3,679","5,181","2,597",38.9%,13.9,18.1,10.6,9.5,2%,55%,43%,238,134.11
Lnpep,Q8C129,Q8C129,Leucyl-cystinyl aminopeptidase,,Endosome,0.75,Medium,Mostly Organellar,"6,596","8,650","5,721",47.2%,25.7,30.2,22.2,15.0,3%,95%,2%,304,117.3
,Q6PIU9,Q6PIU9,Uncharacterized protein FLJ45252 homolog,,Endosome,0.74,Medium,Organellar with Cytosolic pool,"7,882","13,540","4,856",50.0%,30.6,47.2,18.9,5.7,3%,40%,56%,87,37.704
Vps37c,Q8R105,Q8R105,Vacuolar protein sorting-associated protein 37C,,Endosome,0.74,Medium,Organellar with Cytosolic pool,"5,337","5,862","5,289",44.3%,20.8,22.7,18.5,4.0,5%,38%,57%,74,38.452
Rab1b,Q9D1G1,Q9D1G1;Q0PD66,Ras-related protein Rab-1B,,Endosome,0.74,Medium,,"148,318","160,681","108,287",86.9%,533.5,657.7,419.5,63.6,,,,271,22.187
Pik3r4,Q8VD65,Q8VD65,Phosphoinositide 3-kinase regulatory subunit 4,,Endosome,0.73,Medium,Organellar with Cytosolic pool,"3,217","4,207","3,114",37.3%,12.8,14.7,11.6,9.5,4%,28%,68%,168,152.6
Sestd1,Q80UK0,Q80UK0,SEC14 domain and spectrin repeat-containing protein 1,,Endosome,0.72,Medium,Mostly Cytosolic,"34,977","41,198","31,315",72.0%,132.2,159.6,116.2,53.7,1%,6%,92%,178,79.375
Lrrc57,Q8JZX5,Q8JZX5;Q9D1G5;A2AKH7,Leucine-rich repeat-containing protein 57,,Endosome,0.72,Medium,,"24,667","28,541","13,744",67.3%,88.8,110.4,56.3,12.7,,,,115,26.726
Syp,Q62277,Q62277,Synaptophysin,,Endosome,0.72,Medium,,"26,010","33,329","17,078",68.1%,94.8,133.0,66.2,17.1,,,,88,34.024
Vps26b,Q8C0E2,Q8C0E2;Q8C0E2-2,Vacuolar protein sorting-associated protein 26B,Endosome,Endosome,0.71,Medium,Organellar with Cytosolic pool,"140,359","168,085","119,924",86.5%,532.9,617.6,464.5,106.1,3%,23%,74%,433,39.124
Plcb1,Q9Z1B3,Q9Z1B3;Q9Z1B3-3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",,Endosome,0.71,Medium,,"17,574","22,505","16,642",62.1%,70.0,78.5,61.7,47.0,,,,640,138.39
Fkbp15,Q6P9Q6,Q6P9Q6;Q6P9Q6-2;Q80YW9,FK506-binding protein 15;Peptidyl-prolyl cis-trans isomerase,,Endosome,0.71,Medium,Mostly Organellar,"7,335","7,956","4,456",48.9%,26.4,30.8,18.2,18.8,2%,82%,16%,400,132.96
Chmp3,Q9CQ10,Q9CQ10;A0A0N4SUX9,Charged multivesicular body protein 3,,Endosome,0.71,Medium,,"29,558","48,947","23,292",69.9%,117.7,170.7,86.4,14.4,,,,109,25.219
Lats1,Q8BYR2,Q8BYR2,Serine/threonine-protein kinase LATS1,,Endosome,0.70,Medium,Mostly Organellar,566,620,440,17.3%,2.1,2.4,1.7,1.4,3%,86%,11%,65,126.26
Fam63a,Q76LS9,Q76LS9;Q76LS9-2,Protein FAM63A,,Endosome,0.70,Medium,Organellar with Cytosolic pool,"14,729","38,990","8,774",59.3%,53.0,151.0,35.9,14.6,4%,15%,81%,88,51.225
Snx3,Q78ZM0,Q78ZM0;O70492;D3Z6Z0;D3Z789,Sorting nexin-3,Endosome,Endosome,0.69,Medium,Organellar with Cytosolic pool,"238,534","269,632","198,334",90.6%,908.1,985.3,768.2,86.5,3%,21%,75%,242,18.762
Vps45,P97390,P97390,Vacuolar protein sorting-associated protein 45,Endosome,Endosome,0.67,Medium,,"24,349","25,724","21,815",67.2%,89.5,96.4,88.4,30.6,,,,353,65.052
Taok3,Q8BYC6,Q8BYC6;Q3V3K3;A0A0R4J1T3,Serine/threonine-protein kinase TAO3,,Endosome,0.66,Medium,Mostly Organellar,"1,276","1,666",957,25.6%,4.6,6.5,3.9,2.6,9%,81%,10%,97,105.33
Ntm,Q99PJ0,Q99PJ0;D3Z396;Q8BG33,Neurotrimin,,Endosome,0.66,Medium,,"9,380","200,895","5,658",52.6%,35.6,700.6,23.2,6.9,,,,128,37.984
Lmtk3,A0A0R4J0W7,A0A0R4J0W7;E9QNZ5;Q5XJV6,Serine/threonine-protein kinase LMTK3,,Endosome,0.66,Medium,,"2,396","2,781","2,028",33.3%,9.3,10.8,7.1,7.0,,,,173,150.89
Vps37b,Q8R0J7,Q8R0J7,Vacuolar protein sorting-associated protein 37B,,Endosome,0.66,Medium,,"46,260","74,746","36,781",75.4%,175.4,260.7,150.6,27.8,,,,149,31.055
Rundc3a,O08576,O08576;O08576-3;O08576-4;O08576-2,RUN domain-containing protein 3A,,Endosome,0.64,Medium,Organellar with Cytosolic pool,"2,342","3,529","1,517",33.1%,8.8,13.7,5.6,2.3,2%,77%,21%,66,50.018
Cst3,P21460,P21460;A2APX3,Cystatin-C,,Endosome,0.63,Medium,,"10,539","17,148","9,899",54.1%,41.9,59.8,36.8,3.2,,,,77,15.531
Rheb,Q921J2,Q921J2;Q540E6,GTP-binding protein Rheb,,Endosome,0.62,Medium,Organellar with Cytosolic pool,"70,997","82,083","26,008",80.1%,269.1,286.3,106.5,28.1,1%,13%,86%,73,20.451
Trio,Q0KL02,Q0KL02;Q0KL02-4;Q0KL02-3;Q0KL02-2,Triple functional domain protein,,Endosome,0.62,Medium,Organellar with Cytosolic pool,"9,572","12,559","7,096",52.8%,38.1,43.8,26.3,64.3,3%,12%,85%,516,347.86
Slc38a1,Q8K2P7,Q8K2P7;Q8K2P7-2,Sodium-coupled neutral amino acid transporter 1,,Endosome,0.61,Medium,Mostly Organellar,"6,136","7,491","4,911",46.2%,23.3,26.1,20.1,6.4,10%,89%,1%,90,53.795
Zc3h7a,E9PWW6,E9PWW6;E9Q8M5;E9Q0D3,,,Endosome,0.60,Medium,Mostly Organellar,908,"1,511",774,21.9%,3.6,5.3,2.9,1.9,0%,95%,5%,107,110.8
Scamp1,Q8K021,Q8K021;Q3TD71;Q3TSA8;D3YTP4,Secretory carrier-associated membrane protein 1,Endosome,Endosome,0.59,Medium,,"38,662","48,232","31,294",73.4%,146.6,168.2,128.1,28.4,,,,287,38.028
Ist1,Q9CX00,Q9CX00,IST1 homolog,,Endosome,0.59,Medium,,"64,530","76,745","40,002",79.0%,232.1,297.3,163.7,49.2,,,,168,39.468
Psd2,Q6P1I6,Q6P1I6;Q6P1I6-2;Q6P1I6-3;H3BK80,PH and SEC7 domain-containing protein 2,,Endosome,0.59,Medium,Organellar with Cytosolic pool,"4,288","6,591","3,183",41.0%,15.7,25.5,12.5,7.0,1%,51%,48%,124,84.298
Cmip,Q9D486,Q9D486;Q9D486-2;Q9D486-3,C-Maf-inducing protein,,Endosome,0.57,Medium,Organellar with Cytosolic pool,"5,134","7,436","3,317",43.7%,18.5,28.8,13.6,8.6,0%,36%,64%,100,86.258
Tgoln1,Q62313,Q62313;Q4FJY3;Q62314,Trans-Golgi network integral membrane protein 1;Trans-Golgi network integral membrane protein 2,,Endosome,0.57,Medium,Mostly Organellar,"11,821","14,102","8,715",55.9%,42.5,54.6,35.7,8.6,0%,94%,6%,180,37.848
Chmp4b,Q9D8B3,Q9D8B3,Charged multivesicular body protein 4b,,Endosome,0.57,Medium,,"225,289","292,548","200,664",90.1%,894.0,1027.3,744.5,108.6,,,,232,24.936
Ggt7,Q99JP7,Q99JP7,Gamma-glutamyltransferase 7;Gamma-glutamyltransferase 7 heavy chain;Gamma-glutamyltransferase 7 light chain,,Endosome,0.55,Medium,,"2,611","13,204","1,880",34.3%,10.2,46.0,7.3,3.5,,,,103,70.251
Cr1l,Q64735,Q64735;Q64735-2;A0A0A6YY75;A0A0A6YVT1;A0A0A6YXN9,Complement component receptor 1-like protein,,Endosome,0.54,Medium,Mostly Organellar,"1,503","1,899","1,029",27.6%,5.7,7.4,3.8,1.6,0%,100%,0%,63,53.762
Tab1,Q8CF89,Q8CF89,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,,Endosome,0.54,Medium,Organellar with Cytosolic pool,"8,710","27,516","6,623",51.6%,34.7,96.0,24.6,9.2,0%,13%,87%,86,54.616
Pex5,O09012,O09012-2,Peroxisomal targeting signal 1 receptor,,Endosome,0.54,Medium,,"27,659","30,208","26,264",68.9%,106.3,108.3,101.7,35.7,,,,206,66.805
Stx16,Q8BVI5,Q8BVI5;F7CJY7;F6X4N5;B7ZCB8,Syntaxin-16,Endosome,Endosome,0.54,Medium,Mostly Organellar,"4,880","5,902","3,104",42.9%,18.4,22.9,11.5,3.5,1%,81%,18%,63,37.08
Aak1,Q3UHJ0,Q3UHJ0;Q3UHJ0-2,AP2-associated protein kinase 1,,Endosome,0.54,Medium,,"17,448","22,814","13,303",61.9%,66.1,79.6,54.5,34.9,,,,266,103.35
Mpp6,Q9JLB0,Q9JLB0-2;Q9JLB0,MAGUK p55 subfamily member 6,,Endosome,0.54,Medium,Organellar with Cytosolic pool,"13,667","19,784","11,483",58.2%,53.3,69.0,44.5,16.1,4%,36%,60%,212,60.924
Tmcc2,Q80W04,Q80W04;Q3T9T1;Q3TZY4,Transmembrane and coiled-coil domains protein 2,,Endosome,0.53,Medium,,"1,306","2,188","1,162",25.8%,5.0,7.6,4.8,1.9,,,,91,77.053
Napb,P28663,P28663,Beta-soluble NSF attachment protein,,Endosome,0.53,Medium,,"30,909","32,499","26,257",70.3%,113.6,133.0,97.4,20.0,,,,236,33.557
Hip1r,Q9JKY5,Q9JKY5,Huntingtin-interacting protein 1-related protein,,Endosome,0.53,Medium,Organellar with Cytosolic pool,"20,614","25,701","18,034",64.6%,75.7,99.6,70.8,47.6,2%,17%,81%,373,119.43
Sos1,Q62245,Q62245,Son of sevenless homolog 1,,Endosome,0.52,Medium,Organellar with Cytosolic pool,"4,403","6,104","2,836",41.3%,17.5,21.3,10.5,12.8,1%,29%,70%,192,150.88
Scyl1,Q9EQC5,Q9EQC5,N-terminal kinase-like protein,,Endosome,0.51,Medium,,"11,178","12,389","9,024",55.2%,41.9,44.1,36.9,19.3,,,,189,89.159
Iglon5,Q8HW98,Q8HW98,IgLON family member 5,,Endosome,0.51,Medium,Mostly Organellar,"6,349","7,484","4,751",46.7%,24.0,29.0,17.6,4.5,1%,95%,4%,141,36.766
M6pr,P24668,P24668;Q3UKQ5,Cation-dependent mannose-6-phosphate receptor,Endosome,Endosome,0.51,Medium,Mostly Organellar,"31,814","34,734","23,251",70.7%,121.8,125.4,90.1,19.2,3%,86%,11%,172,31.172
Golga4,Q91VW5,Q91VW5,Golgin subfamily A member 4,Golgi,Endosome,0.50,Low,,"4,633","6,884","3,656",42.1%,18.4,25.5,12.8,23.1,,,,393,257.56
1700025G04Rik,Q8K207,Q8K207;Q3TJL3,Uncharacterized protein C1orf21 homolog,,Endosome,0.49,Low,Mostly Organellar,"10,357","12,756","6,308",54.0%,37.3,49.4,25.8,2.8,3%,95%,3%,67,13.882
Madd,E9QN47,E9QN47;Q80U28-14;Q80U28;A0A0R4J1F4;A2AGR0;Q80U28-3;Q80U28-15;A2AGQ4;Q80U28-2,MAP kinase-activating death domain protein,,Endosome,0.49,Low,Mostly Cytosolic,"5,624","8,290","3,715",44.9%,21.3,31.8,13.8,19.7,0%,7%,93%,146,181.02
Fam21,Q6PGL7,Q6PGL7;Q6PGL7-2;A0A0N4SUJ0;A0A0N4SV74,WASH complex subunit FAM21,,Endosome,0.48,Low,,"5,751","7,610","4,398",45.3%,21.9,27.4,17.4,16.2,,,,316,145.31
Map3k7,Q923A8,Q923A8;Q62073;Q543B5;A2AP92;A2AP93,Mitogen-activated protein kinase kinase kinase 7,,Endosome,0.48,Low,Organellar with Cytosolic pool,"6,988","8,555","4,787",48.2%,25.1,33.1,19.6,9.1,0%,16%,84%,116,67.193
Tom1l2,Q5SRX1,Q5SRX1;Q5SRX1-2;Q5SXA5;Q5SXA4;Q5SRX1-3;Q5SRX1-4;F6ZDJ1,TOM1-like protein 2,,Endosome,0.48,Low,Organellar with Cytosolic pool,"24,506","30,927","22,614",67.2%,97.4,108.2,83.9,26.4,2%,17%,82%,219,55.662
Stxbp6,Q3TYA4,Q3TYA4;Q8R3T5;B8JJ84,Syntaxin-binding protein 6,,Endosome,0.47,Low,,"10,821","12,409","7,132",54.6%,40.9,48.1,26.5,5.0,,,,53,23.685
Scyl2,Q8CFE4,Q8CFE4,SCY1-like protein 2,Endosome,Endosome,0.47,Low,Organellar with Cytosolic pool,"10,513","11,961","7,846",54.1%,39.9,41.7,32.1,21.0,2%,79%,19%,344,103.32
Cbl,P22682,P22682;A0A0U1RQ85;A0A0X1KG61;A0A0U1RP47,E3 ubiquitin-protein ligase CBL,,Endosome,0.47,Low,Organellar with Cytosolic pool,"8,588","10,417","5,853",51.4%,33.1,38.9,21.7,16.7,3%,20%,77%,146,100.56
Spag9,Q58A65,Q58A65-2;Q58A65;Q58A65-5;Q58A65-6;Q58A65-3;A0A0R4J196;F8WH31;E9PUD1;Q58A65-4;Z4YMB8;F6SH61,C-Jun-amino-terminal kinase-interacting protein 4,,Endosome,0.45,Low,Mostly Cytosolic,"23,562","30,075","18,909",66.7%,93.8,104.9,70.2,65.9,0%,7%,93%,301,144.7
Fam45a,Q9D8N2,Q9D8N2;Q3TH34,Protein FAM45A,,Endosome,0.45,Low,Organellar with Cytosolic pool,"13,674","27,217","9,913",58.2%,51.8,94.9,40.6,10.7,2%,39%,59%,119,40.42
Smap2,Q7TN29,Q7TN29;Q7TN29-2,Stromal membrane-associated protein 2,,Endosome,0.45,Low,,"11,992","21,290","6,126",56.2%,44.1,79.0,25.1,10.8,,,,140,46.577
Srgap1,Q91Z69,Q91Z69;D3YZW1,SLIT-ROBO Rho GTPase-activating protein 1,,Endosome,0.44,Low,,"3,059","4,027","1,712",36.5%,11.2,15.0,7.0,7.2,,,,148,121.43
Pex19,Q8VCI5,Q8VCI5;Q8VCI5-2,Peroxisomal biogenesis factor 19,,Endosome,0.43,Low,Nuclear and Cytosolic,"219,307","380,821","140,354",89.9%,873.3,1412.9,489.5,138.7,25%,5%,71%,209,32.733
Arhgap12,S4R203,S4R203;S4R248;A0A0A0MQ95;Q8C0D4;B2RUJ8;S4R221,Rho GTPase-activating protein 12,,Endosome,0.43,Low,,"6,634","11,218","5,673",47.3%,26.0,39.1,21.7,11.2,,,,178,87.321
Plxna1,P70206,P70206,Plexin-A1,Plasma membrane,Endosome,0.41,Low,Mostly Organellar,"5,110","5,784","4,814",43.6%,19.4,22.1,17.9,20.8,10%,84%,6%,476,211.1
Wbp2,P97765,P97765;Q544A1;A2A860,WW domain-binding protein 2,,Endosome,0.41,Low,Organellar with Cytosolic pool,"65,131","88,578","58,406",79.1%,259.3,308.9,216.7,35.3,2%,9%,89%,104,28.032
Plcb3,P51432,P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,Endosome,0.41,Low,,749,875,619,19.8%,2.8,3.4,2.3,2.0,,,,68,139.49
Atp9a,A2AQC3,A2AQC3;O70228;Q8C4G3;Q8C288,Phospholipid-transporting ATPase;Probable phospholipid-transporting ATPase IIA,,Endosome,0.40,Low,,"5,255","7,215","4,263",44.0%,19.9,27.9,15.8,12.6,,,,253,124.46
Adrbk1,Q99MK8,Q99MK8;Q3U1V3;Q7TS64;E9PW16,Beta-adrenergic receptor kinase 1,,Endosome,0.40,Low,,"9,762","10,779","5,999",53.0%,36.0,39.7,24.6,15.0,,,,185,79.638
Sv2a,Q9JIS5,Q9JIS5,Synaptic vesicle glycoprotein 2A,,Endosome,0.40,Low,,"6,404","16,909","4,613",46.8%,23.0,65.5,18.9,10.2,,,,156,82.646
Tfg,Q9Z1A1,Q9Z1A1;F6QJV5;B8JJG7;B8JJG8;B8JJG6,,,Endosome,0.39,Low,Organellar with Cytosolic pool,"191,317","246,973","127,582",89.0%,693.3,996.0,494.2,159.1,2%,9%,89%,238,43.02
Vps4a,Q8VEJ9,Q8VEJ9,Vacuolar protein sorting-associated protein 4A,,Endosome,0.39,Low,Organellar with Cytosolic pool,"57,425","65,131","45,198",77.8%,217.0,241.6,175.1,54.3,5%,11%,84%,202,48.906
Snap25,P60879,P60879,Synaptosomal-associated protein 25,,Endosome,0.37,Low,Mostly Organellar,"64,294","84,662","41,775",78.9%,252.2,304.2,155.0,29.0,7%,88%,5%,422,23.315
Rcbtb2,Q99LJ7,Q99LJ7;E9Q3B1;Q99LJ7-2,RCC1 and BTB domain-containing protein 2,,Endosome,0.36,Low,Organellar with Cytosolic pool,"19,637","25,908","14,258",63.8%,72.2,96.1,58.4,22.8,2%,17%,81%,124,60.163
Lamp1,P11438,P11438;Q3TA96,Lysosome-associated membrane glycoprotein 1,Lysosome,Endosome,0.36,Low,,"25,416","29,145","16,526",67.7%,93.1,108.8,67.6,21.5,,,,112,43.865
Vps39,Q8R5L3,Q8R5L3-2;Q8R5L3,Vam6/Vps39-like protein,Endosome,Endosome,0.35,Low,Mostly Organellar,"5,826","6,568","5,257",45.5%,22.3,23.8,20.4,11.3,10%,90%,1%,334,100.65
Ano8,Q6PB70,Q6PB70,Anoctamin-8,,Endosome,0.34,Low,,"1,410","2,438",917,26.8%,5.3,8.5,3.8,3.2,,,,112,119.1
Tfrc,Q62351,Q62351;Q542D9;Q8C872,Transferrin receptor protein 1,Endosome,Endosome,0.33,Low,Mostly Organellar,"41,071","44,659","34,381",74.1%,151.0,165.7,140.7,68.0,12%,82%,6%,706,85.73
Grk6,O70293,O70293-2;O70293;Q9EP84,G protein-coupled receptor kinase 6,,Endosome,0.32,Low,,"3,521","4,206","1,660",38.4%,13.3,14.7,6.8,4.6,,,,98,67.114
Itfg1,Q99KW9,Q99KW9,T-cell immunomodulatory protein,,Endosome,0.32,Low,,"4,711","5,264","3,675",42.4%,17.2,19.9,15.0,6.1,,,,96,67.464
Plxna2,P70207,P70207,Plexin-A2,Plasma membrane,Endosome,0.32,Low,Mostly Organellar,"12,133","13,584","10,635",56.3%,46.2,49.7,41.2,49.6,10%,88%,1%,708,211.53
Ccz1,Q8C1Y8,Q8C1Y8,Vacuolar fusion protein CCZ1 homolog,Endosome,Endosome,0.31,Low,,"16,610","18,806","15,500",61.2%,62.2,72.8,58.6,17.8,,,,164,55.504
Vti1b,Q91XH6,Q91XH6;O88384;F6UHS3,Vesicle transport through interaction with t-SNAREs homolog 1B,Endosome,Endosome,0.31,Low,Mostly Organellar,"30,927","33,605","25,522",70.4%,113.7,137.6,94.7,16.0,7%,82%,11%,203,26.727
Pdcd6ip,Q9WU78,Q9WU78;Q9WU78-3,Programmed cell death 6-interacting protein,,Endosome,0.29,Low,Organellar with Cytosolic pool,"110,884","117,255","85,291",84.3%,418.9,435.0,330.4,205.8,2%,12%,86%,571,96.023
