ProteinGroupAc,Replicate1 TMT Set1-126,Replicate1 TMT Set2-126,Replicate2 TMT Set1-126,Replicate2 TMT Set2-126,Replicate1 TMT Set1-127C,Replicate1 TMT Set2-127C,Replicate2 TMT Set1-127C,Replicate2 TMT Set2-127C,Replicate1 TMT Set1-127N,Replicate1 TMT Set2-127N,Replicate2 TMT Set1-127N,Replicate2 TMT Set2-127N,Replicate1 TMT Set1-128C,Replicate1 TMT Set2-128C,Replicate2 TMT Set1-128C,Replicate2 TMT Set2-128C,Replicate1 TMT Set1-128N,Replicate1 TMT Set2-128N,Replicate2 TMT Set1-128N,Replicate2 TMT Set2-128N,Replicate1 TMT Set1-129C,Replicate1 TMT Set2-129C,Replicate2 TMT Set1-129C,Replicate2 TMT Set2-129C,Replicate1 TMT Set1-129N,Replicate1 TMT Set2-129N,Replicate2 TMT Set1-129N,Replicate2 TMT Set2-129N,Replicate1 TMT Set1-130C,Replicate1 TMT Set2-130C,Replicate2 TMT Set1-130C,Replicate2 TMT Set2-130C,Replicate1 TMT Set1-130N,Replicate1 TMT Set2-130N,Replicate2 TMT Set1-130N,Replicate2 TMT Set2-130N,Replicate1 TMT Set1-131,Replicate1 TMT Set2-131,Replicate2 TMT Set1-131,Replicate2 TMT Set2-131,Accession,Description,Coverage,Quantified Proteins,Quantified Unique Peptides,Quantified Peptides,Quantified PSMs,Score - Replicate1 TMT Set1,Coverage -  Replicate1 TMT Set1,Quantified Peptides -  Replicate1 TMT Set1,Quantified PSMs -  Replicate1 TMT Set1,Score - Replicate1 TMT Set2,Coverage -  Replicate1 TMT Set2,Quantified Peptides -  Replicate1 TMT Set2,Quantified PSMs -  Replicate1 TMT Set2,Score - Replicate2 TMT Set1,Coverage -  Replicate2 TMT Set1,Quantified Peptides -  Replicate2 TMT Set1,Quantified PSMs -  Replicate2 TMT Set1,Score - Replicate2 TMT Set2,Coverage -  Replicate2 TMT Set2,Quantified Peptides -  Replicate2 TMT Set2,Quantified PSMs -  Replicate2 TMT Set2,markers,SVM Classification,SVM Score,assignment
O00754,0.011,0.274,0.014,0.135,0.522,0.26,0.217,0.266,0.024,0.185,0.212,0.227,0.209,0.106,0.253,0.177,0.097,0.048,0.141,0.054,0.042,0.027,0.063,0.038,0.03,0.021,0.038,0.015,0.015,0.016,0.028,0.054,0.01,0.01,0.01,0.01,0.017,0.017,0.013,0.012,O00754,Lysosomal alpha-mannosidase OS=Homo sapiens GN=MAN2B1 PE=1 SV=3 - [MA2B1_HUMAN],43.42,2,36,36,116,326.54,20.38,19,21,651.12,25.91,23,30,699.13,27.4,23,35,620.12,35.01,24,30,LYSOSOME,LYSOSOME,1,LYSOSOME
P41236,0.027,0.045,0.012,0.031,0.072,0.044,0.037,0.051,0.018,0.045,0.015,0.039,0.052,0.048,0.041,0.046,0.045,0.041,0.048,0.033,0.032,0.027,0.052,0.04,0.027,0.034,0.029,0.025,0.01,0.019,0.016,0.019,0.022,0.027,0.015,0.024,0.698,0.643,0.709,0.701,P41236,Protein phosphatase inhibitor 2 OS=Homo sapiens GN=PPP1R2 PE=1 SV=2 - [IPP2_HUMAN],43.41,2,7,7,13,112.82,15.61,2,3,107.95,17.56,4,4,116.84,21.95,3,3,95.59,11.71,2,3,unknown,CYTOSOL,0.958370094,CYTOSOL
A6NDB9,0.01,0.122,0.076,0.242,0.216,0.125,0.166,0.165,0.012,0.133,0.114,0.138,0.251,0.138,0.164,0.182,0.215,0.13,0.153,0.093,0.122,0.094,0.096,0.095,0.103,0.082,0.076,0.031,0.033,0.09,0.043,0.06,0.015,0.023,0.013,0.01,0.018,0.035,0.018,0.018,A6NDB9,Paralemmin-3 OS=Homo sapiens GN=PALM3 PE=1 SV=2 - [PALM3_HUMAN],43.39,1,19,19,29,94.96,14.26,6,6,40.09,4.46,2,2,179.44,30.01,11,12,218.49,18.87,9,9,unknown,PM,0.780313864,unknown
Q96T60,0.01,0.024,0.013,0.026,0.043,0.025,0.034,0.026,0.015,0.039,0.025,0.031,0.078,0.059,0.043,0.038,0.078,0.075,0.052,0.064,0.149,0.163,0.091,0.065,0.187,0.241,0.153,0.207,0.116,0.081,0.096,0.065,0.267,0.226,0.292,0.254,0.046,0.043,0.185,0.184,Q96T60,Bifunctional polynucleotide phosphatase/kinase OS=Homo sapiens GN=PNKP PE=1 SV=1 - [PNKP_HUMAN],43.38,2,19,19,42,215.16,19,8,14,175.43,12.28,7,8,219.08,19.96,9,11,232.9,25.53,9,9,unknown,NUCLEUS-CHROMATIN,0.784959231,unknown
Q63HQ0,0.01,0.075,0.034,0.089,0.171,0.182,0.132,0.176,0.019,0.297,0.205,0.241,0.32,0.246,0.288,0.271,0.187,0.106,0.184,0.08,0.07,0.039,0.068,0.054,0.049,0.029,0.043,0.017,0.018,0.019,0.022,0.046,0.013,0.01,0.01,0.01,0.033,0.01,0.01,0.01,Q63HQ0,AP-1 complex-associated regulatory protein OS=Homo sapiens GN=AP1AR PE=1 SV=1 - [AP1AR_HUMAN],43.38,2,9,10,21,82.73,20.86,5,5,46.5,2.65,1,1,147.08,28.15,6,7,94.02,31.13,7,8,unknown,NUCLEUS,0.421649718,unknown
Q9NW13,0.01,0.014,0.01,0.01,0.022,0.02,0.019,0.015,0.01,0.037,0.015,0.017,0.046,0.054,0.025,0.03,0.054,0.067,0.038,0.041,0.079,0.078,0.062,0.046,0.052,0.111,0.049,0.408,0.496,0.327,0.613,0.248,0.221,0.247,0.131,0.135,0.036,0.042,0.032,0.035,Q9NW13,RNA-binding protein 28 OS=Homo sapiens GN=RBM28 PE=1 SV=3 - [RBM28_HUMAN],43.35,2,35,35,77,144.78,12.12,9,9,233.19,15.94,12,12,350.56,31.88,22,25,408.15,36.23,26,31,unknown,NUCLEUS,0.895621863,NUCLEUS
P15121,0.01,0.054,0.01,0.032,0.056,0.042,0.056,0.053,0.01,0.032,0.027,0.035,0.048,0.031,0.038,0.037,0.041,0.034,0.044,0.06,0.061,0.036,0.067,0.045,0.044,0.027,0.037,0.017,0.01,0.015,0.019,0.02,0.012,0.014,0.01,0.01,0.715,0.729,0.673,0.696,P15121,Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3 - [ALDR_HUMAN],43.35,3,12,13,38,130.94,25.32,9,9,151.61,24.68,8,12,143.15,25.63,7,8,191.64,30.06,8,9,unknown,CYTOSOL,0.962768696,CYTOSOL
Q96H79,0.01,0.034,0.01,0.025,0.047,0.05,0.052,0.051,0.01,0.056,0.04,0.048,0.096,0.081,0.062,0.072,0.107,0.093,0.087,0.086,0.152,0.132,0.12,0.103,0.143,0.157,0.114,0.189,0.34,0.258,0.368,0.256,0.015,0.022,0.041,0.029,0.08,0.09,0.114,0.134,Q96H79,Zinc finger CCCH-type antiviral protein 1-like OS=Homo sapiens GN=ZC3HAV1L PE=1 SV=2 - [ZCCHL_HUMAN],43.33,2,8,8,18,159.67,22.33,4,4,113.68,14,3,3,215.63,26.67,4,4,342.14,33,6,7,unknown,RIBOSOME 60S,0.294492147,unknown
Q8N8N7,0.01,0.048,0.013,0.026,0.076,0.039,0.051,0.044,0.01,0.04,0.035,0.028,0.036,0.019,0.062,0.034,0.029,0.029,0.046,0.042,0.023,0.023,0.042,0.036,0.019,0.024,0.031,0.036,0.01,0.01,0.077,0.023,0.032,0.022,0.016,0.027,0.771,0.749,0.626,0.709,Q8N8N7-2,Isoform 2 of Prostaglandin reductase 2 OS=Homo sapiens GN=PTGR2 - [PTGR2_HUMAN],43.33,2,5,5,7,30.85,5,1,1,39.36,5.56,1,1,22.15,10,1,1,92.51,38.33,4,4,unknown,CYTOSOL,0.933788361,unknown
P17026,0.01,0.016,0.01,0.016,0.019,0.019,0.033,0.028,0.01,0.036,0.024,0.035,0.064,0.052,0.039,0.053,0.063,0.07,0.061,0.092,0.135,0.143,0.107,0.089,0.09,0.188,0.145,0.21,0.206,0.166,0.223,0.153,0.38,0.277,0.273,0.245,0.029,0.013,0.076,0.081,P17026,Zinc finger protein 22 OS=Homo sapiens GN=ZNF22 PE=1 SV=3 - [ZNF22_HUMAN],43.3,4,7,9,26,71.62,14.29,3,4,93.25,33.04,6,6,109.66,36.61,8,8,106.94,30.36,6,8,unknown,NUCLEUS-CHROMATIN,0.83125618,unknown
Q08426,0.01,0.027,0.01,0.034,0.043,0.041,0.058,0.049,0.015,0.068,0.043,0.067,0.12,0.101,0.078,0.117,0.156,0.199,0.149,0.191,0.24,0.176,0.276,0.246,0.167,0.167,0.232,0.118,0.116,0.149,0.099,0.126,0.048,0.038,0.035,0.031,0.014,0.01,0.01,0.01,Q08426,Peroxisomal bifunctional enzyme OS=Homo sapiens GN=EHHADH PE=1 SV=3 - [ECHP_HUMAN],43.29,2,26,26,47,213.28,17.98,10,11,171.36,14.94,9,9,213.5,20.75,11,11,364.76,26.69,15,16,PEROXISOME,PEROXISOME,1,PEROXISOME
Q07812,0.01,0.058,0.01,0.049,0.077,0.052,0.075,0.066,0.01,0.063,0.044,0.063,0.081,0.073,0.066,0.079,0.071,0.1,0.087,0.144,0.152,0.12,0.18,0.131,0.118,0.107,0.136,0.078,0.026,0.056,0.061,0.069,0.015,0.016,0.018,0.011,0.462,0.339,0.325,0.324,Q07812-5,Isoform Epsilon of Apoptosis regulator BAX OS=Homo sapiens GN=BAX - [BAX_HUMAN],43.29,7,7,7,31,165.53,34.15,4,7,219.66,34.76,5,9,243.22,42.07,5,8,214.39,35.37,5,7,unknown,NUCLEUS,0.396185993,unknown
P11387,0.01,0.01,0.01,0.01,0.02,0.013,0.033,0.021,0.01,0.027,0.02,0.03,0.067,0.044,0.04,0.039,0.071,0.057,0.052,0.086,0.145,0.167,0.116,0.085,0.175,0.241,0.177,0.239,0.104,0.083,0.121,0.09,0.394,0.327,0.3,0.282,0.02,0.019,0.109,0.122,P11387,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2 - [TOP1_HUMAN],43.27,3,37,41,119,237.74,25.75,19,26,358.26,34.38,26,30,337.78,34.9,26,30,358.9,35.16,28,33,unknown,NUCLEUS-CHROMATIN,0.899723412,NUCLEUS-CHROMATIN
P78324,0.027,0.225,0.044,0.19,0.265,0.188,0.223,0.213,0.021,0.158,0.14,0.155,0.223,0.147,0.173,0.172,0.168,0.117,0.151,0.086,0.114,0.066,0.109,0.076,0.075,0.043,0.073,0.028,0.028,0.038,0.035,0.056,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,P78324,Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Homo sapiens GN=SIRPA PE=1 SV=2 - [SHPS1_HUMAN],43.25,10,15,15,43,171.53,29.37,9,10,185.76,19.84,8,8,247.07,25.6,10,12,228.75,28.97,11,13,unknown,PM,0.927157027,PM
Q13277,0.01,0.191,0.027,0.209,0.276,0.168,0.238,0.201,0.01,0.161,0.12,0.142,0.241,0.164,0.197,0.173,0.189,0.12,0.193,0.079,0.114,0.07,0.121,0.074,0.082,0.054,0.085,0.033,0.051,0.042,0.033,0.054,0.017,0.01,0.01,0.01,0.017,0.017,0.01,0.01,Q13277-2,Isoform B of Syntaxin-3 OS=Homo sapiens GN=STX3 - [STX3_HUMAN],43.25,3,15,15,31,70.13,15.87,5,5,105.49,39.68,9,10,123.22,19.05,4,4,227.65,34.52,11,12,unknown,PM,0.888135494,unknown
Q8NCN5,0.01,0.032,0.01,0.035,0.052,0.043,0.104,0.074,0.014,0.068,0.062,0.088,0.125,0.093,0.095,0.104,0.154,0.167,0.153,0.307,0.346,0.215,0.328,0.19,0.221,0.174,0.176,0.069,0.061,0.122,0.068,0.104,0.01,0.014,0.01,0.01,0.011,0.016,0.01,0.01,Q8NCN5,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Homo sapiens GN=PDPR PE=1 SV=2 - [PDPR_HUMAN]",43.23,2,35,35,95,466.46,20.14,17,21,241.25,11.15,10,11,505.32,32.42,25,30,513.24,32.54,24,33,unknown,MITOCHONDRIA,0.967798084,MITOCHONDRIA
P30046,0.01,0.046,0.012,0.024,0.036,0.041,0.029,0.043,0.01,0.05,0.016,0.049,0.044,0.045,0.026,0.05,0.041,0.056,0.043,0.029,0.056,0.046,0.062,0.038,0.039,0.04,0.043,0.037,0.012,0.061,0.034,0.038,0.019,0.027,0.023,0.019,0.75,0.501,0.712,0.577,P30046,D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3 - [DOPD_HUMAN],43.22,3,5,5,17,90.48,33.05,4,6,65.12,37.29,4,5,66.36,17.8,2,2,51.49,17.8,2,4,unknown,CYTOSOL,0.908414308,unknown
P40763,0.01,0.055,0.01,0.033,0.07,0.039,0.063,0.053,0.01,0.05,0.037,0.043,0.069,0.06,0.047,0.055,0.08,0.076,0.051,0.057,0.142,0.151,0.084,0.074,0.212,0.236,0.092,0.103,0.202,0.138,0.102,0.083,0.052,0.046,0.048,0.042,0.178,0.135,0.46,0.454,P40763-3,Isoform 3 of Signal transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 - [STAT3_HUMAN],43.21,3,25,25,62,332.21,20.08,11,19,237.43,15.24,10,11,245.35,27.15,13,14,275.84,31.3,16,18,unknown,NUCLEUS,0.632765961,NUCLEUS
Q9NTK5,0.01,0.059,0.01,0.018,0.106,0.047,0.048,0.044,0.01,0.034,0.021,0.031,0.063,0.032,0.036,0.03,0.046,0.026,0.029,0.02,0.038,0.019,0.035,0.028,0.03,0.023,0.025,0.018,0.013,0.01,0.023,0.015,0.031,0.016,0.019,0.021,0.673,0.726,0.746,0.75,Q9NTK5,Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=2 - [OLA1_HUMAN],43.18,2,18,18,42,102.44,29.04,12,12,127.47,25.76,10,11,126.5,20.96,8,8,101.41,22.47,9,11,unknown,CYTOSOL,0.951674198,CYTOSOL
Q9H0L4,0.01,0.012,0.01,0.027,0.02,0.013,0.024,0.035,0.012,0.018,0.025,0.041,0.039,0.027,0.043,0.054,0.047,0.038,0.045,0.055,0.062,0.062,0.047,0.05,0.065,0.081,0.055,0.163,0.372,0.339,0.362,0.214,0.327,0.34,0.286,0.26,0.042,0.068,0.101,0.09,Q9H0L4,Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens GN=CSTF2T PE=1 SV=1 - [CSTFT_HUMAN],43.18,1,10,17,51,264.64,22.24,9,13,324.07,27.11,8,10,314.2,28.73,12,13,376.61,29.22,12,15,unknown,NUCLEUS,0.848838321,NUCLEUS
Q13200,0.01,0.042,0.01,0.015,0.06,0.036,0.043,0.033,0.01,0.038,0.022,0.031,0.05,0.038,0.036,0.029,0.043,0.033,0.036,0.03,0.04,0.034,0.049,0.043,0.042,0.054,0.059,0.125,0.087,0.047,0.131,0.063,0.026,0.026,0.018,0.02,0.622,0.649,0.587,0.583,Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3 - [PSMD2_HUMAN],43.17,3,35,35,107,566.88,29.74,23,34,352.48,28.63,22,24,364.85,28.96,19,22,425.49,28.96,22,27,PROTEASOME,PROTEASOME,1,PROTEASOME
P13798,0.01,0.069,0.018,0.053,0.13,0.062,0.077,0.063,0.01,0.046,0.038,0.038,0.058,0.037,0.046,0.039,0.046,0.028,0.036,0.022,0.027,0.019,0.038,0.026,0.021,0.019,0.027,0.016,0.01,0.01,0.014,0.011,0.013,0.016,0.011,0.01,0.662,0.678,0.632,0.703,P13798,Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4 - [ACPH_HUMAN],43.17,1,24,24,62,359.51,22.27,12,13,249.95,14.75,9,9,560.69,32.24,17,21,414.75,35.25,17,19,CYTOSOL,CYTOSOL,1,CYTOSOL
P51397,0.012,0.04,0.012,0.019,0.038,0.044,0.051,0.06,0.017,0.061,0.055,0.09,0.111,0.118,0.122,0.149,0.129,0.142,0.173,0.151,0.163,0.104,0.174,0.147,0.095,0.115,0.108,0.085,0.308,0.303,0.263,0.226,0.044,0.027,0.032,0.032,0.034,0.034,0.011,0.02,P51397,Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3 - [DAP1_HUMAN],43.14,1,4,4,13,39.04,35.29,3,3,78.16,7.84,1,3,64.95,15.69,2,3,48.14,43.14,3,4,unknown,RIBOSOME 60S,0.252106483,unknown
Q99470,0.01,0.056,0.01,0.055,0.096,0.089,0.091,0.11,0.01,0.126,0.093,0.137,0.222,0.165,0.175,0.206,0.217,0.202,0.216,0.171,0.229,0.141,0.193,0.151,0.119,0.099,0.126,0.055,0.06,0.096,0.059,0.089,0.016,0.01,0.02,0.015,0.01,0.01,0.01,0.01,Q99470,Stromal cell-derived factor 2 OS=Homo sapiens GN=SDF2 PE=1 SV=2 - [SDF2_HUMAN],43.13,1,6,6,37,319.16,33.18,4,10,238.64,28.44,4,8,221.64,43.13,6,10,204.79,32.23,5,9,unknown,ER,0.960988414,ER
P49189,0.01,0.043,0.012,0.018,0.058,0.046,0.091,0.065,0.01,0.056,0.055,0.069,0.094,0.073,0.076,0.083,0.103,0.108,0.101,0.22,0.231,0.154,0.211,0.133,0.16,0.106,0.109,0.055,0.044,0.073,0.054,0.073,0.01,0.011,0.01,0.01,0.301,0.32,0.278,0.278,P49189,4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3 - [AL9A1_HUMAN],43.12,2,20,20,74,335.41,21.05,9,13,323.25,23.28,11,15,392.68,38.26,17,23,494.9,40.69,18,23,unknown,NUCLEUS,0.364341759,unknown
Q8IXQ6,0.01,0.036,0.01,0.021,0.065,0.046,0.052,0.043,0.01,0.064,0.028,0.048,0.1,0.084,0.058,0.067,0.105,0.101,0.08,0.114,0.142,0.119,0.145,0.115,0.136,0.174,0.229,0.328,0.305,0.251,0.269,0.164,0.102,0.07,0.076,0.062,0.022,0.03,0.039,0.031,Q8IXQ6-2,Isoform 2 of Poly [ADP-ribose] polymerase 9 OS=Homo sapiens GN=PARP9 - [PARP9_HUMAN],43.1,3,29,29,57,196.93,21.37,15,15,236.03,15.02,11,11,286.05,20.39,14,15,191.49,26.62,16,16,unknown,NUCLEUS,0.49961704,unknown
P49247,0.01,0.05,0.024,0.069,0.079,0.047,0.089,0.067,0.01,0.06,0.056,0.064,0.1,0.078,0.067,0.072,0.101,0.105,0.096,0.12,0.175,0.121,0.126,0.096,0.12,0.1,0.095,0.087,0.17,0.177,0.127,0.11,0.031,0.027,0.046,0.036,0.208,0.223,0.271,0.238,P49247,Ribose-5-phosphate isomerase OS=Homo sapiens GN=RPIA PE=1 SV=3 - [RPIA_HUMAN],43.09,1,11,11,26,137.01,18.65,5,6,81.47,17.04,5,5,150.28,18.97,5,6,188.89,28.94,7,9,unknown,NUCLEUS,0.436786892,unknown
P21399,0.01,0.061,0.011,0.044,0.073,0.046,0.051,0.05,0.01,0.035,0.036,0.031,0.048,0.03,0.033,0.035,0.038,0.026,0.032,0.029,0.029,0.02,0.04,0.03,0.023,0.023,0.036,0.026,0.024,0.018,0.037,0.034,0.019,0.017,0.021,0.018,0.734,0.73,0.672,0.704,P21399,Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3 - [ACOC_HUMAN],43.08,1,30,30,65,213.91,18,15,16,178.72,15.86,13,14,350.55,25.76,16,16,321.61,28.01,16,19,CYTOSOL,CYTOSOL,1,CYTOSOL
Q08397,0.017,0.048,0.013,0.04,0.096,0.068,0.082,0.085,0.048,0.096,0.085,0.112,0.184,0.151,0.149,0.188,0.229,0.202,0.218,0.19,0.223,0.136,0.213,0.168,0.131,0.128,0.135,0.067,0.05,0.091,0.084,0.111,0.019,0.031,0.015,0.011,0.01,0.019,0.01,0.01,Q08397,Lysyl oxidase homolog 1 OS=Homo sapiens GN=LOXL1 PE=1 SV=2 - [LOXL1_HUMAN],43.03,1,15,15,32,128.27,10.8,4,4,166.23,7.14,3,3,359.23,37.63,13,14,180.09,28.4,10,11,unknown,ER,0.96004956,ER
P62487,0.01,0.031,0.01,0.023,0.125,0.046,0.01,0.047,0.01,0.04,0.01,0.045,0.088,0.037,0.01,0.04,0.056,0.038,0.013,0.055,0.069,0.056,0.034,0.057,0.071,0.097,0.058,0.144,0.059,0.051,0.142,0.078,0.25,0.267,0.339,0.266,0.273,0.349,0.39,0.245,P62487,DNA-directed RNA polymerase II subunit RPB7 OS=Homo sapiens GN=POLR2G PE=1 SV=1 - [RPB7_HUMAN],43.02,1,5,5,9,83.89,34.3,4,4,67.19,18.6,2,3,0,8.72,1,1,36,11.05,1,1,unknown,NUCLEUS,0.730654559,NUCLEUS
Q8TBM8,0.01,0.05,0.01,0.042,0.095,0.081,0.067,0.099,0.01,0.141,0.057,0.147,0.208,0.174,0.176,0.202,0.194,0.185,0.206,0.162,0.178,0.133,0.188,0.142,0.147,0.102,0.125,0.059,0.068,0.076,0.095,0.097,0.049,0.035,0.031,0.026,0.015,0.029,0.019,0.013,Q8TBM8,DnaJ homolog subfamily B member 14 OS=Homo sapiens GN=DNAJB14 PE=1 SV=1 - [DJB14_HUMAN],43.01,2,18,18,32,100.92,16.62,6,6,163.44,21.37,7,7,176.15,24.8,9,9,220.87,26.65,9,10,unknown,ER,0.961665233,ER
P42285,0.01,0.018,0.01,0.018,0.027,0.017,0.028,0.021,0.01,0.027,0.019,0.022,0.045,0.04,0.031,0.032,0.049,0.05,0.033,0.037,0.078,0.086,0.05,0.046,0.101,0.151,0.083,0.262,0.257,0.155,0.348,0.184,0.3,0.263,0.213,0.192,0.12,0.169,0.166,0.182,P42285,Superkiller viralicidic activity 2-like 2 OS=Homo sapiens GN=SKIV2L2 PE=1 SV=3 - [SK2L2_HUMAN],42.99,1,44,44,108,299.41,17.37,15,19,210.26,11.23,14,14,657.34,29.08,30,37,501.89,33.69,32,38,unknown,NUCLEUS,0.847301392,NUCLEUS
Q52LJ0,0.01,0.028,0.01,0.015,0.039,0.035,0.024,0.023,0.01,0.052,0.017,0.027,0.077,0.067,0.037,0.045,0.078,0.083,0.049,0.054,0.085,0.083,0.068,0.062,0.06,0.084,0.056,0.264,0.459,0.36,0.555,0.325,0.129,0.108,0.087,0.117,0.041,0.086,0.073,0.068,Q52LJ0-2,Isoform 2 of Protein FAM98B OS=Homo sapiens GN=FAM98B - [FA98B_HUMAN],42.96,2,11,17,75,342.73,29.33,12,25,187.87,18.24,6,9,271.94,29.33,10,17,391.23,39.26,14,24,unknown,NUCLEUS,0.694821128,NUCLEUS
Q9Y5Z4,0.01,0.062,0.01,0.043,0.064,0.056,0.057,0.038,0.01,0.053,0.034,0.026,0.034,0.05,0.039,0.035,0.036,0.054,0.027,0.031,0.029,0.038,0.023,0.027,0.021,0.037,0.025,0.011,0.01,0.021,0.011,0.01,0.011,0.011,0.013,0.013,0.794,0.618,0.764,0.775,Q9Y5Z4,Heme-binding protein 2 OS=Homo sapiens GN=HEBP2 PE=1 SV=1 - [HEBP2_HUMAN],42.93,2,7,7,14,90.52,16.1,3,3,112.85,18.05,3,3,154.14,32.2,5,5,54.38,18.05,3,3,unknown,CYTOSOL,0.929801211,unknown
P23634,0.017,0.133,0.018,0.095,0.241,0.151,0.167,0.165,0.019,0.171,0.094,0.154,0.24,0.171,0.189,0.194,0.2,0.144,0.194,0.103,0.117,0.09,0.133,0.094,0.094,0.062,0.09,0.034,0.03,0.049,0.051,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.01,P23634-7,Isoform ZB of Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens GN=ATP2B4 - [AT2B4_HUMAN],42.92,11,27,47,143,628.5,22.8,26,32,736.34,19.53,20,38,690.69,29.51,27,38,716.43,29.42,28,35,unknown,PM,0.944871022,PM
P49454,0.01,0.02,0.01,0.019,0.033,0.028,0.032,0.029,0.01,0.048,0.023,0.036,0.077,0.068,0.045,0.051,0.088,0.095,0.062,0.085,0.158,0.156,0.111,0.093,0.154,0.178,0.152,0.29,0.197,0.16,0.3,0.156,0.224,0.219,0.201,0.179,0.025,0.025,0.045,0.047,P49454,Centromere protein F OS=Homo sapiens GN=CENPF PE=1 SV=2 - [CENPF_HUMAN],42.9,1,132,132,228,616.95,17.45,49,50,367.41,12.62,38,39,662.57,20.72,59,63,698.19,24.77,70,76,unknown,NUCLEUS-CHROMATIN,0.811751895,unknown
O75427,0.024,0.064,0.029,0.074,0.075,0.096,0.107,0.129,0.073,0.155,0.142,0.161,0.199,0.192,0.188,0.211,0.183,0.182,0.185,0.108,0.15,0.11,0.109,0.091,0.123,0.078,0.084,0.061,0.074,0.056,0.08,0.087,0.072,0.037,0.057,0.058,0.034,0.017,0.011,0.017,O75427,Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Homo sapiens GN=LRCH4 PE=1 SV=2 - [LRCH4_HUMAN],42.9,1,19,19,38,168.59,19.03,7,8,151.69,17.57,6,6,376.1,15.81,9,12,277.73,25.48,11,12,unknown,ER,0.468410898,unknown
Q9BZ67,0.043,0.152,0.026,0.139,0.167,0.143,0.171,0.161,0.059,0.151,0.127,0.147,0.225,0.151,0.183,0.181,0.18,0.126,0.176,0.095,0.119,0.082,0.117,0.093,0.088,0.071,0.08,0.039,0.062,0.058,0.04,0.073,0.013,0.015,0.01,0.01,0.037,0.036,0.045,0.042,Q9BZ67,FERM domain-containing protein 8 OS=Homo sapiens GN=FRMD8 PE=1 SV=1 - [FRMD8_HUMAN],42.89,4,14,14,37,157.77,13.79,5,5,192.6,24.35,9,10,276.69,18.97,7,8,379.96,35.13,11,14,unknown,PM,0.947887023,PM
Q9Y6I4,0.01,0.04,0.01,0.021,0.032,0.036,0.033,0.026,0.01,0.039,0.024,0.032,0.064,0.046,0.039,0.048,0.073,0.062,0.06,0.088,0.141,0.14,0.112,0.089,0.177,0.233,0.221,0.302,0.153,0.109,0.178,0.111,0.334,0.287,0.227,0.193,0.016,0.023,0.089,0.084,Q9Y6I4,Ubiquitin carboxyl-terminal hydrolase 3 OS=Homo sapiens GN=USP3 PE=1 SV=2 - [UBP3_HUMAN],42.88,2,18,18,34,181.15,17.88,9,9,66.56,7.69,3,3,239.01,24.81,10,11,189.33,29.62,11,11,unknown,NUCLEUS-CHROMATIN,0.900916224,NUCLEUS-CHROMATIN
Q13310,0.01,0.056,0.01,0.032,0.074,0.047,0.036,0.033,0.01,0.049,0.021,0.03,0.086,0.058,0.034,0.044,0.076,0.07,0.048,0.044,0.087,0.073,0.069,0.065,0.066,0.084,0.066,0.155,0.414,0.333,0.408,0.303,0.098,0.072,0.061,0.053,0.108,0.159,0.213,0.221,Q13310-3,Isoform 3 of Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 - [PABP4_HUMAN],42.88,4,24,36,126,442.06,32.88,24,31,443.21,32.42,24,28,386.31,36.82,23,32,670.85,32.12,23,35,unknown,NUCLEUS,0.394723631,unknown
P19021,0.01,0.064,0.01,0.035,0.132,0.106,0.114,0.122,0.01,0.156,0.111,0.155,0.223,0.167,0.168,0.193,0.207,0.174,0.195,0.165,0.187,0.118,0.172,0.138,0.143,0.1,0.114,0.055,0.05,0.072,0.053,0.092,0.01,0.011,0.012,0.01,0.01,0.01,0.01,0.01,P19021,Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens GN=PAM PE=1 SV=2 - [AMD_HUMAN],42.86,6,35,35,92,202.05,14.8,13,19,155.33,14.29,13,15,460.44,28.16,21,29,488.65,33.2,22,29,unknown,ER,0.925279305,unknown
