Protein Group Information,,,,Normalized TMT 10-plex reporter ion values,,,,,,,,,
UniProt ID,UniProt Description,Peptides,PSMs,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q8K3A0,"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial GN=Hscb PE=2 SV=2 - [HSC20_MOUSE]",5,8,0.0531,0.0542,0.0563,0.0361,0.0534,0.0972,0.1939,0.1976,0.0596,0.1987
Q8R164,Valacyclovir hydrolase GN=Bphl PE=2 SV=1 - [BPHL_MOUSE],5,8,0.0381,0.0415,0.0450,0.0209,0.0534,0.1038,0.2207,0.2183,0.0518,0.2066
Q8R344,Coiled-coil domain-containing protein 12 GN=Ccdc12 PE=1 SV=2 - [CCD12_MOUSE],5,8,0.1655,0.0390,0.0334,0.0000,0.0432,0.0395,0.0517,0.1831,0.2097,0.2349
Q8VDI9,"Alpha-1,2-mannosyltransferase ALG9 GN=Alg9 PE=2 SV=1 - [ALG9_MOUSE]",5,8,0.0365,0.0761,0.0745,0.0505,0.1058,0.1963,0.1086,0.1473,0.0665,0.1379
Q8VE80,THO complex subunit 3 GN=Thoc3 PE=2 SV=1 - [THOC3_MOUSE],5,8,0.1880,0.0604,0.0641,0.0272,0.0538,0.0455,0.0670,0.1346,0.1930,0.1665
Q91UZ5,Inositol monophosphatase 2 GN=Impa2 PE=1 SV=1 - [IMPA2_MOUSE],5,8,0.4132,0.1348,0.1256,0.0574,0.0659,0.0509,0.0352,0.0457,0.0276,0.0437
Q99K70,Ras-related GTP-binding protein C GN=Rragc PE=2 SV=1 - [RRAGC_MOUSE],5,8,0.0965,0.2322,0.1773,0.0951,0.1014,0.0952,0.0500,0.0627,0.0393,0.0503
Q99MV7-2,Isoform 2 of RING finger protein 17 GN=Rnf17 - [RNF17_MOUSE],5,8,0.2041,0.0962,0.0770,0.0397,0.0620,0.0717,0.0894,0.1348,0.0998,0.1253
Q9CQ10,Charged multivesicular body protein 3 GN=Chmp3 PE=1 SV=3 - [CHMP3_MOUSE],5,8,0.1536,0.2119,0.1622,0.0843,0.0883,0.0657,0.0444,0.0625,0.0716,0.0555
Q9CQI7,U2 small nuclear ribonucleoprotein B'' GN=Snrpb2 PE=2 SV=1 - [RU2B_MOUSE],5,8,0.2162,0.0356,0.0403,0.0161,0.0294,0.0321,0.0530,0.0815,0.3182,0.1776
Q9CR41,Huntingtin-interacting protein K GN=Hypk PE=2 SV=2 - [HYPK_MOUSE],5,8,0.1801,0.0722,0.0988,0.0367,0.0555,0.0869,0.1029,0.0976,0.0745,0.1949
Q9CZ57,5-methylcytosine rRNA methyltransferase NSUN4 GN=Nsun4 PE=2 SV=1 - [NSUN4_MOUSE],5,8,0.0649,0.0432,0.0390,0.0272,0.0552,0.0911,0.1760,0.2231,0.0591,0.2213
Q9D711,Pirin GN=Pir PE=2 SV=1 - [PIR_MOUSE],5,8,0.2993,0.0869,0.0957,0.0563,0.0820,0.0745,0.0657,0.1080,0.0469,0.0845
Q9ERG2,Striatin-3 GN=Strn3 PE=1 SV=1 - [STRN3_MOUSE],5,8,0.1381,0.1327,0.0910,0.0550,0.1088,0.1532,0.0959,0.0882,0.0522,0.0850
Q9JI11,Serine/threonine-protein kinase 4 GN=Stk4 PE=1 SV=1 - [STK4_MOUSE],5,8,0.1926,0.2101,0.1492,0.0779,0.0826,0.0731,0.0514,0.0623,0.0418,0.0590
Q9JJ89,Coiled-coil domain-containing protein 86 GN=Ccdc86 PE=1 SV=2 - [CCD86_MOUSE],5,8,0.2310,0.0390,0.0455,0.0266,0.0429,0.0323,0.0412,0.1001,0.2841,0.1573
Q9R061,Cytosolic Fe-S cluster assembly factor NUBP2 GN=Nubp2 PE=1 SV=1 - [NUBP2_MOUSE],5,8,0.3146,0.0943,0.1048,0.0416,0.0848,0.0671,0.0575,0.0964,0.0417,0.0972
O35737,Heterogeneous nuclear ribonucleoprotein H GN=Hnrnph1 PE=1 SV=3 - [HNRH1_MOUSE],5,7,0.2001,0.0278,0.0460,0.0142,0.0276,0.0337,0.0502,0.0722,0.4275,0.1007
O70228,Probable phospholipid-transporting ATPase IIA GN=Atp9a PE=2 SV=3 - [ATP9A_MOUSE],5,7,0.0259,0.0928,0.1368,0.1091,0.2332,0.1418,0.0672,0.0835,0.0362,0.0734
O70230-3,Isoform 3 of Zinc finger protein 143 GN=Znf143 - [ZN143_MOUSE],5,7,0.1040,0.0487,0.0485,0.0285,0.0459,0.0537,0.0816,0.1913,0.2295,0.1683
P11627,Neural cell adhesion molecule L1 GN=L1cam PE=1 SV=1 - [L1CAM_MOUSE],5,7,0.0351,0.2010,0.1578,0.0871,0.1185,0.1068,0.0864,0.0866,0.0510,0.0696
P16381,Putative ATP-dependent RNA helicase Pl10 GN=D1Pas1 PE=1 SV=1 - [DDX3L_MOUSE],5,7,0.2540,0.0690,0.0748,0.0383,0.0564,0.0665,0.0532,0.0847,0.1598,0.1434
P30051,Transcriptional enhancer factor TEF-1 GN=Tead1 PE=2 SV=2 - [TEAD1_MOUSE],5,7,0.0483,0.0228,0.0182,0.0132,0.0283,0.0355,0.0722,0.2844,0.2013,0.2757
P52592,Sphingosine 1-phosphate receptor 2 GN=S1pr2 PE=1 SV=3 - [S1PR2_MOUSE],5,7,0.0281,0.1418,0.1271,0.1073,0.3001,0.1242,0.0548,0.0471,0.0261,0.0434
P57016,Ladinin-1 GN=Lad1 PE=1 SV=1 - [LAD1_MOUSE],5,7,0.0762,0.1507,0.0826,0.0571,0.0921,0.1064,0.0771,0.1208,0.1031,0.1337
P58466,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 GN=Ctdsp1 PE=1 SV=1 - [CTDS1_MOUSE],5,7,0.0472,0.2268,0.1607,0.1056,0.1530,0.1040,0.0648,0.0540,0.0453,0.0387
P58854,Gamma-tubulin complex component 3 GN=Tubgcp3 PE=2 SV=2 - [GCP3_MOUSE],5,7,0.1744,0.0731,0.0729,0.0345,0.0507,0.0665,0.0793,0.1482,0.1121,0.1884
P62915,Transcription initiation factor IIB GN=Gtf2b PE=1 SV=1 - [TF2B_MOUSE],5,7,0.3154,0.0826,0.0727,0.0313,0.0586,0.0701,0.0579,0.1058,0.0775,0.1281
P70353,Nuclear transcription factor Y subunit gamma GN=Nfyc PE=2 SV=2 - [NFYC_MOUSE],5,7,0.1251,0.0331,0.0337,0.0189,0.0283,0.0414,0.0835,0.1969,0.2535,0.1856
Q3U2S8,Voltage-gated hydrogen channel 1 GN=Hvcn1 PE=1 SV=2 - [HVCN1_MOUSE],5,7,0.0387,0.1123,0.2048,0.1217,0.1744,0.1153,0.0746,0.0625,0.0326,0.0632
Q3UH06-2,Isoform 2 of Ras-responsive element-binding protein 1 GN=Rreb1 - [RREB1_MOUSE],5,7,0.1027,0.0481,0.0361,0.0063,0.0218,0.0407,0.0999,0.2041,0.2469,0.1933
Q3V384,Lactation elevated protein 1 GN=Lace1 PE=2 SV=1 - [LACE1_MOUSE],5,7,0.0543,0.0503,0.0506,0.0233,0.0629,0.1102,0.1925,0.2004,0.0672,0.1883
Q571F8,"Glutaminase liver isoform, mitochondrial GN=Gls2 PE=2 SV=2 - [GLSL_MOUSE]",5,7,0.0725,0.0458,0.0441,0.0283,0.0521,0.0870,0.1730,0.2013,0.0869,0.2089
Q61704,Inter-alpha-trypsin inhibitor heavy chain H3 GN=Itih3 PE=1 SV=3 - [ITIH3_MOUSE],5,7,0.0671,0.0995,0.2192,0.1294,0.1686,0.0982,0.0596,0.0594,0.0374,0.0616
Q6P9N1,Hyccin GN=Fam126a PE=1 SV=2 - [HYCCI_MOUSE],5,7,0.0533,0.2224,0.1266,0.0876,0.1160,0.1129,0.0676,0.0876,0.0607,0.0653
Q6P9Q4,FH1/FH2 domain-containing protein 1 GN=Fhod1 PE=2 SV=3 - [FHOD1_MOUSE],5,7,0.0829,0.1190,0.0793,0.0541,0.0872,0.1174,0.1222,0.1468,0.0513,0.1397
Q6ZPS6,Ankyrin repeat and IBR domain-containing protein 1 GN=Ankib1 PE=1 SV=2 - [AKIB1_MOUSE],5,7,0.0314,0.2099,0.1776,0.1259,0.1978,0.0998,0.0480,0.0458,0.0201,0.0438
Q7TND5,Ribosome production factor 1 GN=Rpf1 PE=2 SV=2 - [RPF1_MOUSE],5,7,0.1745,0.0474,0.0579,0.0269,0.0562,0.0523,0.0596,0.1345,0.2309,0.1599
Q80TS5,Zinc finger protein 423 GN=Znf423 PE=1 SV=2 - [ZN423_MOUSE],5,7,0.0592,0.0323,0.0355,0.0224,0.0428,0.0588,0.0921,0.2697,0.1368,0.2503
Q8BFV2,PCI domain-containing protein 2 GN=Pcid2 PE=2 SV=1 - [PCID2_MOUSE],5,7,0.1989,0.0571,0.0644,0.0277,0.0413,0.0493,0.0730,0.0990,0.2444,0.1449
Q8BGD8,Cytochrome c oxidase assembly factor 6 homolog GN=Coa6 PE=1 SV=1 - [COA6_MOUSE],5,7,0.0601,0.0298,0.0344,0.0192,0.0505,0.0758,0.1463,0.2605,0.0986,0.2247
Q8BGQ1,Spermatogenesis-defective protein 39 homolog GN=Vipas39 PE=1 SV=1 - [SPE39_MOUSE],5,7,0.1522,0.1085,0.0883,0.0470,0.0789,0.1001,0.0952,0.1228,0.0541,0.1529
Q8BHE8,"Uncharacterized protein C2orf47 homolog, mitochondrial PE=2 SV=1 - [CB047_MOUSE]",5,7,0.1043,0.0403,0.0370,0.0204,0.0430,0.0838,0.1792,0.2446,0.0516,0.1960
Q8BHG2,UPF0587 protein C1orf123 homolog PE=2 SV=1 - [CA123_MOUSE],5,7,0.4299,0.0991,0.0991,0.0448,0.0685,0.0576,0.0481,0.0482,0.0421,0.0626
Q8BJF9,Charged multivesicular body protein 2b GN=Chmp2b PE=2 SV=1 - [CHM2B_MOUSE],5,7,0.1076,0.1226,0.1442,0.0839,0.0962,0.0826,0.0534,0.1248,0.0705,0.1143
Q8BM72,Heat shock 70 kDa protein 13 GN=Hspa13 PE=2 SV=1 - [HSP13_MOUSE],5,7,0.0750,0.0833,0.0966,0.0558,0.1231,0.1558,0.1224,0.1243,0.0435,0.1203
Q8BVU5,"ADP-ribose pyrophosphatase, mitochondrial GN=Nudt9 PE=2 SV=1 - [NUDT9_MOUSE]",5,7,0.1923,0.0726,0.0679,0.0382,0.0617,0.1000,0.1552,0.1303,0.0464,0.1353
Q8CAQ8;Q8CAQ8-3,Mitochondrial inner membrane protein GN=Immt PE=1 SV=1 - [IMMT_MOUSE]|Isoform 2 of Mitochondrial inner membrane protein GN=Immt - [IMMT_MOUSE]|Isoform 3 of Mitochondrial inner membrane protein GN=Immt - [IMMT_MOUSE],5,7,0.0000,0.0068,0.0092,0.0097,0.0206,0.0872,0.3254,0.2373,0.0896,0.2142
Q8CFZ4,Glypican-3 GN=Gpc3 PE=2 SV=1 - [GPC3_MOUSE],5,7,0.0311,0.1528,0.1422,0.1139,0.1994,0.1150,0.0618,0.0802,0.0306,0.0730
Q8CI12,Smoothelin-like protein 2 GN=Smtnl2 PE=1 SV=1 - [SMTL2_MOUSE],5,7,0.1957,0.1300,0.1114,0.0639,0.0833,0.0852,0.0592,0.1244,0.0376,0.1093
Q8K124,Pleckstrin homology domain-containing family O member 2 GN=Plekho2 PE=1 SV=1 - [PKHO2_MOUSE],5,7,0.0669,0.2316,0.1304,0.1039,0.1132,0.1149,0.0573,0.0738,0.0415,0.0664
Q8K135,Dyslexia-associated protein KIAA0319-like protein GN=Kiaa0319l PE=1 SV=1 - [K319L_MOUSE],5,7,0.0207,0.0472,0.1304,0.1275,0.2906,0.1808,0.0523,0.0727,0.0222,0.0557
Q8K1G2,Limbin GN=Evc2 PE=1 SV=1 - [LBN_MOUSE],5,7,0.0868,0.1146,0.1194,0.0825,0.1400,0.1229,0.0930,0.1044,0.0384,0.0980
Q8K2Y7,"39S ribosomal protein L47, mitochondrial GN=Mrpl47 PE=2 SV=2 - [RM47_MOUSE]",5,7,0.0172,0.0176,0.0204,0.0180,0.0473,0.1016,0.1907,0.2730,0.0680,0.2461
Q8R001,Microtubule-associated protein RP/EB family member 2 GN=Mapre2 PE=1 SV=1 - [MARE2_MOUSE],5,7,0.1081,0.0463,0.0494,0.0348,0.0531,0.0617,0.1329,0.2440,0.0649,0.2048
Q8R3G1,Nuclear inhibitor of protein phosphatase 1 GN=Ppp1r8 PE=1 SV=1 - [PP1R8_MOUSE],5,7,0.1886,0.0472,0.0341,0.0179,0.0423,0.0393,0.0767,0.1546,0.1946,0.2047
Q8R3L2-3,Isoform 3 of Transcription factor 25 GN=Tcf25 - [TCF25_MOUSE],5,7,0.3034,0.0577,0.0595,0.0327,0.0757,0.0774,0.0900,0.1130,0.0647,0.1258
Q8VE88-2,Isoform 2 of Protein FAM114A2 GN=Fam114a2 - [F1142_MOUSE],5,7,0.4089,0.1224,0.1200,0.0581,0.0722,0.0436,0.0272,0.0733,0.0209,0.0536
Q8VEJ9,Vacuolar protein sorting-associated protein 4A GN=Vps4a PE=1 SV=1 - [VPS4A_MOUSE],5,7,0.1271,0.1301,0.1434,0.0796,0.1211,0.1071,0.0543,0.0855,0.0528,0.0991
Q91V81,RNA-binding protein 42 GN=Rbm42 PE=1 SV=1 - [RBM42_MOUSE],5,7,0.1927,0.0417,0.0463,0.0184,0.0418,0.0412,0.0618,0.1309,0.2524,0.1729
Q91VZ6,Stromal membrane-associated protein 1 GN=Smap1 PE=1 SV=1 - [SMAP1_MOUSE],5,7,0.1738,0.1074,0.0795,0.0401,0.0699,0.0644,0.0764,0.1412,0.0945,0.1528
Q923T9-3,Isoform 3 of Calcium/calmodulin-dependent protein kinase type II subunit gamma GN=Camk2g - [KCC2G_MOUSE],5,7,0.0430,0.0602,0.0439,0.0285,0.0505,0.0611,0.1181,0.2774,0.0554,0.2619
Q924S7,"Sprouty-related, EVH1 domain-containing protein 2 GN=Spred2 PE=1 SV=1 - [SPRE2_MOUSE]",5,7,0.0552,0.2068,0.1472,0.0971,0.1602,0.1062,0.0575,0.0548,0.0494,0.0657
Q99JR8-2,Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 GN=Smarcd2 - [SMRD2_MOUSE],5,7,0.1374,0.0199,0.0365,0.0148,0.0506,0.0630,0.0833,0.2054,0.1978,0.1913
Q9CQR2,40S ribosomal protein S21 GN=Rps21 PE=2 SV=1 - [RS21_MOUSE],5,7,0.2926,0.0690,0.0753,0.0370,0.0765,0.0850,0.0504,0.0938,0.0543,0.1661
Q9CRB2,H/ACA ribonucleoprotein complex subunit 2 GN=Nhp2 PE=2 SV=1 - [NHP2_MOUSE],5,7,0.3062,0.0240,0.0554,0.0175,0.0365,0.0338,0.0402,0.0896,0.3140,0.0828
Q9CRC6,UPF0693 protein C10orf32 homolog PE=1 SV=1 - [CJ032_MOUSE],5,7,0.0607,0.0862,0.1767,0.1360,0.2449,0.1285,0.0413,0.0532,0.0234,0.0491
Q9CWE0,Mitochondrial fission regulator 1-like GN=Mtfr1l PE=1 SV=1 - [MFR1L_MOUSE],5,7,0.0239,0.0225,0.0308,0.0172,0.0407,0.0911,0.1709,0.2598,0.0809,0.2621
Q9CY57-5,Isoform 5 of Chromatin target of PRMT1 protein GN=Chtop - [CHTOP_MOUSE],5,7,0.1538,0.0258,0.0353,0.0140,0.0261,0.0459,0.0420,0.1111,0.3844,0.1616
Q9D0L4,Uncharacterized aarF domain-containing protein kinase 1 GN=Adck1 PE=2 SV=1 - [ADCK1_MOUSE],5,7,0.0868,0.0377,0.0646,0.0318,0.0621,0.0923,0.1763,0.1925,0.0489,0.2070
Q9D6Y4,Protein MEF2BNB GN=Mef2bnb PE=2 SV=1 - [MF2NB_MOUSE],5,7,0.0840,0.0935,0.1803,0.1018,0.1777,0.1110,0.0625,0.0770,0.0457,0.0664
Q9D9M2-2,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 12 GN=Usp12 - [UBP12_MOUSE],5,7,0.0514,0.1843,0.1462,0.1130,0.1764,0.1109,0.0592,0.0550,0.0466,0.0571
Q9DAT5,Mitochondrial tRNA-specific 2-thiouridylase 1 GN=Trmu PE=2 SV=1 - [MTU1_MOUSE],5,7,0.0571,0.0360,0.0404,0.0228,0.0591,0.1029,0.2363,0.2181,0.0393,0.1879
Q9DCD5,Tight junction-associated protein 1 GN=Tjap1 PE=1 SV=1 - [TJAP1_MOUSE],5,7,0.1032,0.0727,0.0837,0.0424,0.0750,0.0779,0.0767,0.2150,0.0649,0.1885
Q9DCT5,Stromal cell-derived factor 2 GN=Sdf2 PE=2 SV=1 - [SDF2_MOUSE],5,7,0.0450,0.0607,0.0610,0.0429,0.1216,0.1717,0.1052,0.1948,0.0453,0.1518
Q9EQD0,Frizzled-5 GN=Fzd5 PE=1 SV=3 - [FZD5_MOUSE],5,7,0.0705,0.1241,0.1256,0.0749,0.0996,0.1231,0.0882,0.1148,0.0829,0.0963
Q9EQH2,Endoplasmic reticulum aminopeptidase 1 GN=Erap1 PE=2 SV=2 - [ERAP1_MOUSE],5,7,0.0746,0.0861,0.0638,0.0506,0.1424,0.1649,0.1058,0.1361,0.0401,0.1355
Q9ER38,Torsin-3A GN=Tor3a PE=1 SV=2 - [TOR3A_MOUSE],5,7,0.0177,0.0614,0.0732,0.0505,0.1394,0.1776,0.1166,0.1935,0.0174,0.1526
Q9R060,Cytosolic Fe-S cluster assembly factor NUBP1 GN=Nubp1 PE=1 SV=1 - [NUBP1_MOUSE],5,7,0.4123,0.1427,0.1340,0.0493,0.0872,0.0335,0.0339,0.0514,0.0223,0.0334
Q9R1Q8,Transgelin-3 GN=Tagln3 PE=1 SV=1 - [TAGL3_MOUSE],5,7,0.0596,0.2074,0.1262,0.0803,0.0937,0.1217,0.0493,0.0763,0.1215,0.0641
Q9WV68,"Peroxisomal 2,4-dienoyl-CoA reductase GN=Decr2 PE=1 SV=1 - [DECR2_MOUSE]",5,7,0.0232,0.0245,0.0343,0.0169,0.0547,0.0841,0.1021,0.3501,0.0564,0.2539
Q9Z0Z7,Krueppel-like factor 5 GN=Klf5 PE=2 SV=2 - [KLF5_MOUSE],5,7,0.1023,0.0416,0.0464,0.0319,0.0431,0.0582,0.1143,0.2025,0.1891,0.1705
Q9Z2D1,Myotubularin-related protein 2 GN=Mtmr2 PE=1 SV=3 - [MTMR2_MOUSE],5,7,0.0964,0.1592,0.1391,0.0685,0.0896,0.0959,0.0791,0.0996,0.0589,0.1136
A2AI08,Taperin GN=Tprn PE=1 SV=1 - [TPRN_MOUSE],5,6,0.0634,0.2178,0.1096,0.0620,0.1235,0.0895,0.0612,0.1241,0.0621,0.0867
A2ARZ3,Fibrous sheath-interacting protein 2 GN=Fsip2 PE=1 SV=3 - [FSIP2_MOUSE],5,6,0.0644,0.0630,0.0611,0.0590,0.1038,0.1810,0.1547,0.1360,0.0663,0.1107
A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3 GN=Mocs3 PE=2 SV=1 - [MOCS3_MOUSE],5,6,0.2329,0.1009,0.1082,0.0467,0.0591,0.0619,0.0758,0.1266,0.0705,0.1173
A2RSY1-3,Isoform 3 of KAT8 regulatory NSL complex subunit 3 GN=Kansl3 - [KANL3_MOUSE],5,6,0.0880,0.0217,0.0224,0.0152,0.0229,0.0565,0.1040,0.2236,0.2130,0.2325
D3YXK1,Atherin GN=Samd1 PE=3 SV=1 - [SAMD1_MOUSE],5,6,0.0737,0.0397,0.0455,0.0234,0.0559,0.0613,0.0914,0.2383,0.1560,0.2148
O09126,Semaphorin-4D GN=Sema4d PE=1 SV=2 - [SEM4D_MOUSE],5,6,0.0201,0.1818,0.1933,0.1196,0.1578,0.1111,0.0849,0.0610,0.0192,0.0512
O09131,Glutathione S-transferase omega-1 GN=Gsto1 PE=2 SV=2 - [GSTO1_MOUSE],5,6,0.3242,0.0834,0.0782,0.0503,0.0897,0.0831,0.0571,0.0866,0.0639,0.0835
O35153,BET1-like protein GN=Bet1l PE=3 SV=1 - [BET1L_MOUSE],5,6,0.0428,0.0642,0.1084,0.0928,0.2148,0.1541,0.0711,0.1130,0.0350,0.1039
O54784,Death-associated protein kinase 3 GN=Dapk3 PE=1 SV=1 - [DAPK3_MOUSE],5,6,0.0828,0.2011,0.1134,0.0711,0.1230,0.0915,0.0712,0.0937,0.0650,0.0872
O54990-4,Isoform 4 of Prominin-1 GN=Prom1 - [PROM1_MOUSE],5,6,0.0292,0.2171,0.1887,0.1222,0.1402,0.1049,0.0565,0.0568,0.0281,0.0564
O70493,Sorting nexin-12 GN=Snx12 PE=2 SV=1 - [SNX12_MOUSE],5,6,0.2372,0.1067,0.0889,0.0582,0.1255,0.0765,0.0526,0.0996,0.0630,0.0917
P00520-3,Isoform III of Tyrosine-protein kinase ABL1 GN=Abl1 - [ABL1_MOUSE],5,6,0.0628,0.1949,0.0906,0.0671,0.0804,0.0782,0.0634,0.1374,0.0863,0.1389
P23336-2,"Isoform 2 of N-acetyllactosaminide alpha-1,3-galactosyltransferase GN=Ggta1 - [GGTA1_MOUSE]",5,6,0.0477,0.0705,0.1189,0.0927,0.1654,0.1495,0.0876,0.1073,0.0530,0.1072
P30658,Chromobox protein homolog 2 GN=Cbx2 PE=1 SV=2 - [CBX2_MOUSE],5,6,0.0828,0.0424,0.0397,0.0348,0.0654,0.0706,0.0992,0.2128,0.1517,0.2005
P33215,Protein NEDD1 GN=Nedd1 PE=2 SV=2 - [NEDD1_MOUSE],5,6,0.1505,0.0712,0.0603,0.0419,0.0622,0.0628,0.0624,0.1536,0.1166,0.2184
P35456,Urokinase plasminogen activator surface receptor GN=Plaur PE=1 SV=1 - [UPAR_MOUSE],5,6,0.0365,0.2394,0.2188,0.0990,0.1182,0.0873,0.0534,0.0564,0.0371,0.0538
P40694,DNA-binding protein SMUBP-2 GN=Ighmbp2 PE=1 SV=1 - [SMBP2_MOUSE],5,6,0.2230,0.0687,0.0799,0.0281,0.0492,0.0891,0.0719,0.1343,0.0915,0.1644
P48432,Transcription factor SOX-2 GN=Sox2 PE=1 SV=2 - [SOX2_MOUSE],5,6,0.0982,0.0284,0.0441,0.0167,0.0316,0.0510,0.0887,0.2181,0.1910,0.2322
P57680,Ellis-van Creveld syndrome protein homolog GN=Evc PE=1 SV=2 - [EVC_MOUSE],5,6,0.0538,0.1471,0.1275,0.0620,0.1114,0.1282,0.1077,0.1087,0.0479,0.1057
P59672,Ankyrin repeat and SAM domain-containing protein 1A GN=Anks1a PE=1 SV=3 - [ANS1A_MOUSE],5,6,0.1299,0.1625,0.1368,0.0765,0.1538,0.1011,0.0708,0.0737,0.0318,0.0631
P62046,Leucine-rich repeat and calponin homology domain-containing protein 1 GN=Lrch1 PE=1 SV=2 - [LRCH1_MOUSE],5,6,0.1057,0.1130,0.0991,0.0677,0.1262,0.1149,0.0755,0.1150,0.0704,0.1125
P70351,Histone-lysine N-methyltransferase EZH1 GN=Ezh1 PE=1 SV=1 - [EZH1_MOUSE],5,6,0.0869,0.0550,0.0572,0.0278,0.0752,0.0536,0.0931,0.1908,0.1680,0.1925
P70428,Exostosin-2 GN=Ext2 PE=1 SV=2 - [EXT2_MOUSE],5,6,0.0373,0.0644,0.0697,0.0506,0.1366,0.1706,0.1019,0.1447,0.0856,0.1387
P84102,Small EDRK-rich factor 2 GN=Serf2 PE=2 SV=1 - [SERF2_MOUSE],5,6,0.1480,0.0394,0.0512,0.0287,0.0630,0.0478,0.0702,0.2197,0.1152,0.2170
P98083-3,Isoform p47Shc of SHC-transforming protein 1 GN=Shc1 - [SHC1_MOUSE],5,6,0.1613,0.1727,0.1257,0.0571,0.0717,0.0704,0.0770,0.0919,0.0619,0.1103
Q0VGT2,Zinc finger protein GLI2 GN=Gli2 PE=1 SV=2 - [GLI2_MOUSE],5,6,0.0674,0.0718,0.0609,0.0305,0.0777,0.0700,0.1045,0.2045,0.1075,0.2052
Q3TL26,"Dimethyladenosine transferase 2, mitochondrial GN=Tfb2m PE=2 SV=1 - [TFB2M_MOUSE]",5,6,0.0454,0.0620,0.0662,0.0232,0.0568,0.1016,0.1953,0.1935,0.0672,0.1887
Q3TLR7,Denticleless protein homolog GN=Dtl PE=1 SV=2 - [DTL_MOUSE],5,6,0.1069,0.0483,0.0445,0.0227,0.0451,0.0786,0.1342,0.1859,0.1441,0.1898
Q3TYS2,Uncharacterized protein C17orf62 homolog PE=2 SV=2 - [CQ062_MOUSE],5,6,0.0344,0.0628,0.0741,0.0578,0.1509,0.1516,0.0880,0.1843,0.0422,0.1540
Q3UMR0,Ankyrin repeat domain-containing protein 27 GN=Ankrd27 PE=1 SV=2 - [ANR27_MOUSE],5,6,0.0949,0.0900,0.1293,0.0895,0.1932,0.1281,0.0651,0.0873,0.0406,0.0818
Q3V132,ADP/ATP translocase 4 GN=Slc25a31 PE=2 SV=1 - [ADT4_MOUSE],5,6,0.0409,0.0521,0.0407,0.0327,0.0653,0.0836,0.1520,0.2391,0.0845,0.2090
Q4PJX1,Protein odr-4 homolog GN=Odr4 PE=2 SV=2 - [ODR4_MOUSE],5,6,0.0566,0.0678,0.0847,0.0495,0.1255,0.1655,0.0919,0.1488,0.0658,0.1440
Q60790,Ras GTPase-activating protein 3 GN=Rasa3 PE=1 SV=2 - [RASA3_MOUSE],5,6,0.0337,0.2676,0.1561,0.1209,0.1178,0.0972,0.0506,0.0530,0.0536,0.0495
Q61009,Scavenger receptor class B member 1 GN=Scarb1 PE=1 SV=1 - [SCRB1_MOUSE],5,6,0.0257,0.1670,0.1952,0.1271,0.2237,0.0909,0.0488,0.0492,0.0223,0.0500
Q61069,Upstream stimulatory factor 1 GN=Usf1 PE=2 SV=1 - [USF1_MOUSE],5,6,0.0550,0.0199,0.0277,0.0149,0.0309,0.0419,0.1151,0.2522,0.2108,0.2316
Q61205,Platelet-activating factor acetylhydrolase IB subunit gamma GN=Pafah1b3 PE=1 SV=1 - [PA1B3_MOUSE],5,6,0.3491,0.0948,0.1172,0.0467,0.0736,0.0626,0.0660,0.0851,0.0247,0.0801
Q61982,Neurogenic locus notch homolog protein 3 GN=Notch3 PE=1 SV=1 - [NOTC3_MOUSE],5,6,0.0424,0.1166,0.1428,0.1017,0.1494,0.1359,0.0730,0.1046,0.0506,0.0829
Q62093,Serine/arginine-rich splicing factor 2 GN=Srsf2 PE=1 SV=4 - [SRSF2_MOUSE],5,6,0.4624,0.0332,0.0608,0.0201,0.0425,0.0405,0.0416,0.0813,0.1211,0.0964
Q62187,Transcription termination factor 1 GN=Ttf1 PE=1 SV=2 - [TTF1_MOUSE],5,6,0.1156,0.0360,0.0532,0.0200,0.0588,0.0459,0.0694,0.2024,0.1878,0.2109
Q62273,Sulfate transporter GN=Slc26a2 PE=1 SV=1 - [S26A2_MOUSE],5,6,0.0162,0.2348,0.1644,0.0949,0.1461,0.1393,0.0636,0.0708,0.0170,0.0529
Q64444,Carbonic anhydrase 4 GN=Ca4 PE=1 SV=1 - [CAH4_MOUSE],5,6,0.0626,0.2466,0.1654,0.0847,0.1004,0.0788,0.0517,0.0787,0.0465,0.0846
Q68FE8,Zinc finger protein 280D GN=Znf280d PE=2 SV=1 - [Z280D_MOUSE],5,6,0.0483,0.0128,0.0159,0.0000,0.0221,0.0518,0.0996,0.2925,0.2144,0.2427
Q6P5H6,FERM domain-containing protein 5 GN=Frmd5 PE=2 SV=1 - [FRMD5_MOUSE],5,6,0.0534,0.1230,0.0981,0.0609,0.1249,0.1760,0.0939,0.1157,0.0458,0.1081
Q6PIX5,Inactive rhomboid protein 1 GN=Rhbdf1 PE=1 SV=2 - [RHDF1_MOUSE],5,6,0.0499,0.1403,0.1111,0.0882,0.1436,0.1704,0.0826,0.0791,0.0532,0.0816
